ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.02,-7.07,-2.94,0.9,-1.72,-0.51,196193,5
0.02,-7.06,-2.86,0.93,-1.75,-0.52,196194,5
0,-7.08,-2.78,0.96,-1.79,-0.52,196195,5
0,-7.12,-2.69,0.99,-1.82,-0.52,196196,5
-0.01,-7.17,-2.6,1.01,-1.85,-0.52,196197,5
-0.02,-7.21,-2.54,1.04,-1.88,-0.52,196198,5
-0.02,-7.26,-2.49,1.07,-1.9,-0.52,196199,5
-0.02,-7.29,-2.44,1.1,-1.93,-0.52,196200,5
-0.02,-7.32,-2.39,1.12,-1.96,-0.53,196201,5
-0.03,-7.37,-2.32,1.15,-1.99,-0.53,196202,5
-0.04,-7.44,-2.23,1.17,-2.01,-0.54,196203,5
-0.05,-7.52,-2.14,1.19,-2.03,-0.54,196204,5
-0.06,-7.58,-2.07,1.21,-2.06,-0.55,196205,5
-0.07,-7.65,-2.02,1.24,-2.08,-0.56,196206,5
-0.09,-7.71,-1.96,1.26,-2.09,-0.56,196207,5
-0.1,-7.78,-1.9,1.29,-2.11,-0.57,196208,5
-0.11,-7.86,-1.82,1.31,-2.13,-0.58,196209,5
-0.12,-7.95,-1.74,1.32,-2.14,-0.59,196210,5
-0.14,-8.04,-1.66,1.34,-2.15,-0.6,196211,5
-0.17,-8.14,-1.58,1.36,-2.16,-0.61,196212,5
-0.19,-8.23,-1.5,1.38,-2.17,-0.62,196213,5
-0.21,-8.33,-1.42,1.4,-2.17,-0.63,196214,5
-0.22,-8.42,-1.34,1.42,-2.17,-0.64,196215,5
-0.24,-8.52,-1.25,1.43,-2.17,-0.64,196216,5
-0.26,-8.62,-1.16,1.45,-2.16,-0.65,196217,5
-0.27,-8.73,-1.07,1.46,-2.16,-0.66,196218,5
-0.29,-8.83,-0.98,1.47,-2.15,-0.67,196219,5
-0.3,-8.93,-0.89,1.49,-2.14,-0.67,196220,5
-0.31,-9.03,-0.79,1.5,-2.12,-0.68,196221,5
-0.33,-9.14,-0.7,1.51,-2.1,-0.68,196222,5
-0.34,-9.24,-0.6,1.52,-2.08,-0.69,196223,5
-0.34,-9.35,-0.49,1.52,-2.06,-0.69,196224,5
-0.35,-9.45,-0.37,1.53,-2.04,-0.69,196225,5
-0.36,-9.56,-0.26,1.54,-2.01,-0.68,196226,5
-0.37,-9.67,-0.14,1.54,-1.98,-0.68,196227,5
-0.38,-9.77,-0.03,1.55,-1.94,-0.68,196228,5
-0.38,-9.87,0.09,1.55,-1.91,-0.67,196229,5
-0.38,-9.97,0.21,1.56,-1.87,-0.66,196230,5
-0.38,-10.03,0.28,1.56,-1.85,-0.66,196231,4
-0.39,-10.14,0.4,1.56,-1.81,-0.65,196232,4
-0.4,-10.25,0.56,1.57,-1.75,-0.64,196233,6
-0.39,-10.36,0.73,1.57,-1.69,-0.63,196234,6
-0.41,-10.47,0.85,1.57,-1.64,-0.62,196235,5
-0.39,-10.55,0.98,1.57,-1.58,-0.61,196236,5
-0.39,-10.66,1.1,1.57,-1.53,-0.6,196237,5
-0.39,-10.75,1.24,1.56,-1.47,-0.58,196238,5
-0.4,-10.86,1.37,1.56,-1.41,-0.57,196239,5
-0.39,-10.94,1.5,1.55,-1.34,-0.55,196240,5
-0.4,-11.04,1.63,1.54,-1.28,-0.52,196241,5
-0.39,-11.13,1.76,1.53,-1.21,-0.5,196242,5
-0.4,-11.21,1.89,1.52,-1.14,-0.47,196243,5
-0.4,-11.28,2.03,1.5,-1.07,-0.44,196244,5
-0.4,-11.36,2.17,1.48,-1,-0.42,196245,5
-0.4,-11.42,2.28,1.47,-0.94,-0.39,196246,5
-0.39,-11.5,2.4,1.45,-0.86,-0.36,196247,5
-0.39,-11.55,2.53,1.43,-0.78,-0.33,196248,5
-0.39,-11.62,2.64,1.4,-0.7,-0.3,196249,5
-0.39,-11.68,2.75,1.37,-0.62,-0.27,196250,5
-0.38,-11.73,2.87,1.34,-0.54,-0.24,196251,5
-0.38,-11.78,3,1.31,-0.46,-0.21,196252,5
-0.39,-11.82,3.12,1.28,-0.37,-0.18,196253,5
-0.4,-11.87,3.24,1.24,-0.29,-0.15,196254,5
-0.4,-11.91,3.37,1.2,-0.21,-0.11,196255,5
-0.4,-11.93,3.48,1.16,-0.13,-0.07,196256,5
-0.4,-11.95,3.61,1.12,-0.05,-0.03,196257,5
-0.42,-11.97,3.73,1.07,0.03,0.01,196258,5
-0.43,-11.98,3.81,1.04,0.1,0.04,196259,4
-0.44,-11.98,3.89,1.01,0.16,0.07,196260,4
-0.46,-11.97,3.98,0.96,0.24,0.11,196261,5
-0.48,-11.97,4.05,0.91,0.32,0.14,196262,5
-0.5,-11.94,4.12,0.86,0.4,0.18,196263,5
-0.53,-11.91,4.2,0.81,0.48,0.23,196264,5
-0.56,-11.88,4.27,0.75,0.56,0.27,196265,5
-0.59,-11.85,4.32,0.71,0.62,0.3,196266,4
-0.62,-11.79,4.36,0.65,0.7,0.34,196267,5
-0.66,-11.71,4.39,0.57,0.8,0.39,196268,6
-0.71,-11.61,4.45,0.49,0.89,0.44,196269,6
-0.77,-11.53,4.5,0.43,0.97,0.48,196270,5
-0.81,-11.44,4.55,0.36,1.05,0.51,196271,5
-0.87,-11.33,4.6,0.3,1.13,0.55,196272,5
-0.94,-11.19,4.67,0.23,1.22,0.59,196273,6
-0.98,-11.08,4.71,0.18,1.28,0.62,196274,4
-1.03,-10.93,4.77,0.12,1.35,0.65,196275,5
-1.1,-10.76,4.83,0.06,1.42,0.69,196276,5
-1.23,-10.51,5.03,0.01,1.5,0.74,196277,6
-1.27,-10.27,5.21,-0.02,1.56,0.78,196278,5
-1.32,-10.08,5.16,-0.05,1.64,0.82,196279,5
-1.36,-9.88,5.13,-0.07,1.7,0.85,196280,5
-1.43,-9.71,5.18,-0.09,1.75,0.88,196281,4
-1.48,-9.5,5.16,-0.12,1.81,0.9,196282,5
-1.53,-9.3,5.15,-0.14,1.87,0.93,196283,5
-1.58,-9.11,5.18,-0.15,1.92,0.95,196284,5
-1.65,-8.93,5.17,-0.17,1.98,0.97,196285,5
-1.72,-8.73,5.13,-0.18,2.04,0.98,196286,6
-1.78,-8.59,5.09,-0.19,2.09,0.99,196287,5
-1.83,-8.5,5.06,-0.2,2.13,1,196288,4
-1.88,-8.39,5.02,-0.22,2.18,1,196289,5
-1.95,-8.29,4.95,-0.23,2.22,1.01,196290,5
-2.01,-8.21,4.87,-0.24,2.27,1.01,196291,5
-2.07,-8.13,4.75,-0.26,2.31,1.01,196292,5
-2.13,-8.09,4.72,-0.28,2.35,1.02,196293,4
-2.19,-8.04,4.61,-0.3,2.4,1.02,196294,6
-2.25,-8.01,4.48,-0.32,2.44,1.02,196295,5
-2.31,-7.96,4.37,-0.35,2.48,1.02,196296,5
-2.35,-7.96,4.23,-0.37,2.53,1.02,196297,5
-2.39,-7.94,4.18,-0.4,2.56,1.01,196298,5
-2.39,-7.93,4.07,-0.42,2.6,1,196299,5
-2.41,-7.97,3.89,-0.45,2.64,0.99,196300,5
-2.44,-8.01,3.76,-0.48,2.67,0.98,196301,5
-2.47,-8.05,3.64,-0.51,2.7,0.97,196302,5
-2.51,-8.05,3.5,-0.54,2.72,0.95,196303,5
-2.54,-8.11,3.37,-0.57,2.74,0.93,196304,5
-2.54,-8.16,3.22,-0.6,2.75,0.91,196305,5
-2.56,-8.19,3.11,-0.63,2.77,0.89,196306,4
-2.6,-8.25,2.95,-0.67,2.77,0.86,196307,6
-2.63,-8.32,2.81,-0.69,2.78,0.83,196308,5
-2.67,-8.42,2.63,-0.73,2.78,0.79,196309,6
-2.69,-8.49,2.48,-0.77,2.78,0.75,196310,5
-2.71,-8.57,2.33,-0.8,2.78,0.71,196311,5
-2.73,-8.65,2.17,-0.83,2.78,0.67,196312,5
-2.77,-8.72,2.04,-0.87,2.77,0.62,196313,5
-2.78,-8.78,1.89,-0.9,2.76,0.58,196314,5
-2.79,-8.82,1.75,-0.94,2.74,0.53,196315,5
-2.79,-8.84,1.62,-0.97,2.72,0.48,196316,5
-2.79,-8.85,1.51,-1,2.7,0.42,196317,5
-2.8,-8.84,1.39,-1.03,2.67,0.37,196318,5
-2.8,-8.82,1.27,-1.05,2.63,0.32,196319,5
-2.79,-8.79,1.18,-1.07,2.59,0.27,196320,5
-2.79,-8.76,1.08,-1.09,2.55,0.22,196321,5
-2.78,-8.77,0.99,-1.1,2.51,0.18,196322,4
-2.77,-8.78,0.91,-1.1,2.46,0.14,196323,4
-2.78,-8.77,0.83,-1.11,2.42,0.09,196324,4
-2.76,-8.76,0.71,-1.12,2.36,0.04,196325,5
-2.77,-8.79,0.61,-1.12,2.31,0,196326,4
-2.77,-8.82,0.48,-1.12,2.25,-0.06,196327,5
-2.73,-8.82,0.36,-1.13,2.18,-0.11,196328,5
-2.68,-8.78,0.14,-1.13,2.07,-0.2,196329,8
-2.67,-8.74,0.02,-1.13,2,-0.26,196330,5
-2.6,-8.63,-0.07,-1.12,1.91,-0.31,196331,5
-2.58,-8.59,-0.15,-1.12,1.84,-0.36,196332,5
-2.58,-8.58,-0.29,-1.11,1.75,-0.41,196333,5
-2.54,-8.52,-0.37,-1.09,1.66,-0.46,196334,5
-2.5,-8.43,-0.46,-1.06,1.55,-0.52,196335,6
-2.47,-8.38,-0.56,-1.03,1.46,-0.56,196336,5
