ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.34,-0.52,10.54,0.57,-0.01,-0.28,0,119557
0.32,-0.52,10.52,0.56,-0.04,-0.28,0,119562
0.31,-0.51,10.49,0.55,-0.06,-0.28,0,119567
0.29,-0.5,10.47,0.54,-0.08,-0.28,0,119572
0.28,-0.49,10.45,0.53,-0.1,-0.28,0,119577
0.25,-0.4,10.31,0.45,-0.2,-0.24,0,119596
0.27,-0.37,10.3,0.43,-0.23,-0.23,0,119600
0.69,-0.16,10.31,0.18,-0.34,-0.18,0,119637
0.78,-0.13,10.36,0.14,-0.35,-0.19,0,119642
0.88,-0.1,10.4,0.11,-0.36,-0.2,0,119647
0.97,-0.06,10.45,0.09,-0.38,-0.22,0,119652
1.04,-0.02,10.51,0.07,-0.4,-0.24,0,119657
1.08,0.02,10.55,0.05,-0.42,-0.26,0,119661
1.12,0.06,10.62,0.04,-0.46,-0.28,0,119666
1.15,0.08,10.66,0.03,-0.49,-0.3,0,119670
1.17,0.08,10.71,0.03,-0.54,-0.33,0,119675
1.18,0.06,10.77,0.04,-0.6,-0.36,0,119680
1.18,0.06,10.82,0.05,-0.65,-0.39,0,119684
1.17,0.05,10.9,0.06,-0.73,-0.42,0,119690
1.18,0.06,10.97,0.08,-0.78,-0.44,0,119695
1.21,0.11,11.05,0.1,-0.83,-0.45,0,119701
1.21,0.15,11.08,0.12,-0.84,-0.46,0,119706
1.2,0.19,11.07,0.15,-0.85,-0.46,0,119712
1.19,0.2,11.05,0.17,-0.86,-0.46,0,119717
1.19,0.21,11.02,0.18,-0.87,-0.46,0,119721
1.19,0.21,10.97,0.2,-0.9,-0.45,0,119726
1.2,0.22,10.93,0.21,-0.93,-0.44,0,119731
1.22,0.23,10.88,0.23,-0.97,-0.42,0,119736
1.26,0.25,10.83,0.23,-1.01,-0.4,0,119741
1.3,0.28,10.79,0.23,-1.06,-0.37,0,119746
1.36,0.31,10.75,0.23,-1.09,-0.33,0,119751
1.42,0.33,10.71,0.22,-1.12,-0.3,0,119756
1.47,0.33,10.67,0.21,-1.14,-0.27,0,119760
1.53,0.31,10.61,0.19,-1.16,-0.23,0,119765
1.6,0.28,10.54,0.17,-1.17,-0.2,0,119770
1.66,0.27,10.48,0.16,-1.18,-0.18,0,119774
1.74,0.26,10.4,0.13,-1.18,-0.16,0,119779
1.81,0.25,10.3,0.11,-1.17,-0.15,0,119784
1.86,0.24,10.2,0.08,-1.16,-0.15,0,119789
1.92,0.25,10.08,0.05,-1.15,-0.16,0,119795
1.95,0.27,10.01,0.02,-1.15,-0.17,0,119800
1.96,0.3,9.95,-0.02,-1.15,-0.18,0,119806
1.94,0.34,9.95,-0.05,-1.15,-0.18,0,119811
1.92,0.38,9.95,-0.09,-1.16,-0.18,0,119817
1.87,0.4,9.95,-0.12,-1.15,-0.17,0,119822
1.81,0.4,9.96,-0.14,-1.15,-0.16,0,119827
1.74,0.4,9.96,-0.15,-1.15,-0.14,0,119832
1.68,0.4,9.98,-0.15,-1.16,-0.11,0,119837
1.63,0.4,9.99,-0.15,-1.18,-0.07,0,119842
1.59,0.41,9.99,-0.14,-1.21,-0.02,0,119847
1.63,0.42,10.01,-0.13,-1.26,0.03,0,119852
1.72,0.45,10.04,-0.11,-1.3,0.1,0,119857
1.86,0.44,10.06,-0.1,-1.33,0.16,0,119862
2.01,0.4,10.03,-0.08,-1.35,0.22,0,119867
2.16,0.32,9.99,-0.06,-1.37,0.28,0,119872
2.28,0.25,9.95,-0.04,-1.39,0.31,0,119876
2.39,0.19,9.89,-0.02,-1.4,0.34,0,119880
2.53,0.15,9.85,-0.01,-1.42,0.36,0,119884
2.77,0.13,9.8,0.02,-1.41,0.37,0,119890
2.95,0.13,9.72,0.03,-1.38,0.37,0,119895
3.12,0.14,9.62,0.04,-1.34,0.36,0,119900
3.22,0.16,9.53,0.05,-1.29,0.34,0,119904
3.32,0.17,9.43,0.06,-1.24,0.29,0,119909
3.42,0.22,9.3,0.06,-1.17,0.23,0,119915
3.47,0.26,9.24,0.06,-1.13,0.19,0,119919
3.5,0.33,9.14,0.06,-1.08,0.13,0,119924
3.51,0.39,9.05,0.05,-1.04,0.08,0,119929
