ACX;ACY;ACZ;RTX;RTY;RTZ;muestra;muestreo
0.98;0.85;10.51;0.01;-0.35;-0.13;29261;5
1.02;0.87;10.56;0.01;-0.42;-0.15;29262;6
1.11;0.91;10.57;0;-0.49;-0.16;29263;5
1.25;0.94;10.59;-0.01;-0.55;-0.18;29264;5
1.38;0.92;10.58;-0.03;-0.6;-0.2;29265;5
1.46;0.82;10.57;-0.04;-0.65;-0.23;29266;5
1.45;0.64;10.57;-0.06;-0.69;-0.25;29267;5
1.4;0.38;10.56;-0.07;-0.73;-0.27;29268;5
1.26;0.12;10.56;-0.09;-0.75;-0.29;29269;4
1.07;-0.3;10.6;-0.12;-0.79;-0.31;29270;6
0.88;-0.64;10.72;-0.16;-0.83;-0.33;29271;5
0.69;-0.91;10.87;-0.19;-0.87;-0.34;29272;5
0.54;-1.06;10.98;-0.21;-0.92;-0.37;29273;5
0.29;-1.03;11.03;-0.22;-0.97;-0.42;29274;5
0.31;-0.91;11;-0.23;-1.05;-0.51;29275;6
0.61;-0.78;10.93;-0.25;-1.09;-0.59;29276;5
0.93;-0.69;10.88;-0.28;-1.1;-0.64;29277;4
1.24;-0.59;10.85;-0.34;-1.05;-0.69;29278;5
1.68;-0.51;10.8;-0.45;-0.89;-0.72;29279;6
2.09;-0.41;10.76;-0.55;-0.72;-0.72;29280;5
2.58;-0.24;10.75;-0.68;-0.47;-0.7;29281;6
3;-0.15;10.75;-0.79;-0.23;-0.67;29282;5
3.14;-0.18;10.64;-0.9;0.01;-0.62;29283;5
3.21;-0.34;10.43;-1.01;0.21;-0.57;29284;5
3.21;-0.62;10.24;-1.11;0.35;-0.52;29285;5
3.19;-1;10.29;-1.17;0.47;-0.46;29286;5
2.96;-1.4;10.27;-1.19;0.55;-0.4;29287;5
2.71;-1.7;10.19;-1.19;0.55;-0.36;29288;5
2.44;-1.96;10.14;-1.17;0.51;-0.32;29289;5
2.14;-2.17;10.15;-1.14;0.46;-0.3;29290;6
1.8;-2.3;10.25;-1.11;0.41;-0.28;29291;7
1.56;-2.36;10.33;-1.1;0.37;-0.27;29292;5
1.33;-2.41;10.45;-1.11;0.34;-0.27;29293;6
1.16;-2.45;10.56;-1.13;0.31;-0.28;29294;5
1.02;-2.47;10.7;-1.15;0.29;-0.29;29295;4
0.83;-2.47;10.82;-1.17;0.25;-0.3;29296;5
0.62;-2.43;10.92;-1.19;0.16;-0.33;29297;6
0.5;-2.33;10.98;-1.19;0.06;-0.35;29298;5
0.44;-2.23;11.01;-1.19;-0.02;-0.37;29299;4
0.39;-2.03;11.06;-1.19;-0.11;-0.4;29300;6
0.36;-1.83;11.08;-1.19;-0.16;-0.42;29301;5
0.34;-1.62;11.04;-1.18;-0.21;-0.43;29302;5
0.36;-1.36;10.9;-1.17;-0.3;-0.45;29303;6
0.43;-1.18;10.75;-1.15;-0.39;-0.46;29304;5
0.59;-1;10.57;-1.11;-0.53;-0.48;29305;6
0.79;-0.88;10.46;-1.08;-0.65;-0.49;29306;5
1.06;-0.8;10.42;-1.05;-0.75;-0.51;29307;5
1.4;-0.75;10.45;-1.02;-0.82;-0.52;29308;5
1.8;-0.73;10.52;-0.99;-0.85;-0.54;29309;5
2.21;-0.76;10.59;-0.97;-0.83;-0.55;29310;5
2.57;-0.85;10.62;-0.94;-0.77;-0.55;29311;5
2.82;-0.97;10.62;-0.91;-0.67;-0.55;29312;5
2.94;-1.12;10.62;-0.88;-0.56;-0.54;29313;5
2.96;-1.29;10.63;-0.85;-0.46;-0.52;29314;5
2.91;-1.46;10.67;-0.83;-0.39;-0.52;29315;5
2.84;-1.66;10.74;-0.8;-0.34;-0.52;29316;5
2.75;-1.89;10.85;-0.78;-0.32;-0.52;29317;6
2.69;-2.11;10.94;-0.76;-0.33;-0.54;29318;5
2.64;-2.33;11.02;-0.75;-0.35;-0.56;29319;5
2.61;-2.6;11.07;-0.72;-0.4;-0.6;29320;6
2.59;-2.84;11.08;-0.7;-0.48;-0.65;29321;6
2.62;-3.03;11.08;-0.67;-0.56;-0.7;29322;5
2.66;-3.19;11.08;-0.65;-0.64;-0.76;29323;5
2.69;-3.32;11.08;-0.62;-0.71;-0.83;29324;5
2.7;-3.4;11.06;-0.6;-0.77;-0.9;29325;5
2.68;-3.44;10.99;-0.59;-0.84;-0.98;29326;5
2.68;-3.43;10.92;-0.58;-0.89;-1.06;29327;5
2.69;-3.36;10.85;-0.57;-0.95;-1.13;29328;5
2.79;-3.23;10.82;-0.57;-0.98;-1.21;29329;6
2.93;-3.07;10.86;-0.59;-0.97;-1.27;29330;5
3.05;-2.88;10.92;-0.62;-0.91;-1.33;29331;5
3.1;-2.66;10.95;-0.65;-0.82;-1.38;29332;5
3.09;-2.45;10.92;-0.7;-0.71;-1.43;29333;5
2.99;-2.26;10.86;-0.75;-0.62;-1.47;29334;5
2.83;-2.11;10.76;-0.79;-0.55;-1.5;29335;5
2.65;-2;10.66;-0.84;-0.51;-1.52;29336;5
2.48;-1.96;10.56;-0.87;-0.5;-1.53;29337;5
2.34;-1.96;10.49;-0.9;-0.49;-1.52;29338;5
2.26;-2;10.43;-0.92;-0.49;-1.51;29339;4
2.17;-2.07;10.35;-0.93;-0.49;-1.48;29340;5
2.09;-2.16;10.25;-0.93;-0.49;-1.45;29341;5
2.02;-2.27;10.13;-0.92;-0.5;-1.4;29342;5
1.97;-2.38;9.99;-0.91;-0.52;-1.34;29343;5
