ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
-0.51,-10.57,-1.56,-0.13,-1.49,-0.06,221895,5
-0.55,-10.53,-1.56,-0.11,-1.52,-0.08,221896,5
-0.57,-10.5,-1.56,-0.08,-1.56,-0.1,221897,5
-0.6,-10.45,-1.57,-0.06,-1.59,-0.12,221898,5
-0.64,-10.4,-1.56,-0.04,-1.62,-0.15,221899,5
-0.68,-10.35,-1.53,-0.01,-1.66,-0.18,221900,5
-0.72,-10.31,-1.51,0.01,-1.68,-0.2,221901,5
-0.75,-10.28,-1.49,0.04,-1.71,-0.23,221902,5
-0.77,-10.23,-1.49,0.07,-1.73,-0.26,221903,5
-0.8,-10.18,-1.46,0.09,-1.76,-0.29,221904,5
-0.81,-10.13,-1.43,0.12,-1.78,-0.32,221905,5
-0.84,-10.1,-1.4,0.14,-1.8,-0.35,221906,5
-0.85,-10.07,-1.38,0.17,-1.82,-0.37,221907,5
-0.87,-10.03,-1.35,0.19,-1.84,-0.4,221908,5
-0.88,-9.99,-1.3,0.22,-1.86,-0.42,221909,5
-0.9,-9.94,-1.26,0.24,-1.88,-0.45,221910,5
-0.91,-9.9,-1.22,0.26,-1.89,-0.47,221911,5
-0.92,-9.86,-1.18,0.29,-1.91,-0.5,221912,5
-0.93,-9.81,-1.13,0.31,-1.92,-0.52,221913,5
-0.93,-9.76,-1.08,0.33,-1.93,-0.55,221914,5
-0.94,-9.72,-1.02,0.35,-1.94,-0.58,221915,5
-0.94,-9.69,-0.97,0.36,-1.95,-0.59,221916,4
-0.93,-9.65,-0.93,0.38,-1.95,-0.61,221917,4
-0.92,-9.62,-0.87,0.39,-1.95,-0.63,221918,5
-0.91,-9.58,-0.82,0.41,-1.96,-0.65,221919,5
-0.89,-9.54,-0.76,0.42,-1.96,-0.67,221920,5
-0.88,-9.5,-0.71,0.43,-1.96,-0.69,221921,5
-0.71,-9.26,-0.36,0.46,-1.94,-0.78,221922,28
-0.67,-9.22,-0.3,0.46,-1.94,-0.79,221923,5
-0.61,-9.17,-0.23,0.46,-1.93,-0.81,221924,6
-0.56,-9.12,-0.17,0.46,-1.92,-0.82,221925,5
-0.5,-9.09,-0.12,0.46,-1.91,-0.83,221926,5
-0.44,-9.05,-0.08,0.46,-1.9,-0.84,221927,6
-0.37,-9,-0.06,0.45,-1.88,-0.85,221928,5
-0.29,-8.94,-0.03,0.44,-1.87,-0.87,221929,5
-0.23,-8.9,0.02,0.42,-1.85,-0.88,221930,6
-0.17,-8.85,0.07,0.41,-1.84,-0.89,221931,5
-0.09,-8.79,0.14,0.4,-1.82,-0.9,221932,6
-0.02,-8.74,0.2,0.39,-1.8,-0.91,221933,5
0.04,-8.69,0.25,0.39,-1.78,-0.91,221934,5
0.1,-8.65,0.31,0.38,-1.76,-0.92,221935,5
0.17,-8.6,0.34,0.38,-1.74,-0.92,221936,5
0.24,-8.55,0.36,0.38,-1.72,-0.92,221937,5
0.31,-8.5,0.37,0.37,-1.7,-0.93,221938,5
0.38,-8.46,0.38,0.37,-1.67,-0.93,221939,5
0.44,-8.42,0.39,0.36,-1.65,-0.93,221940,4
0.49,-8.38,0.39,0.36,-1.63,-0.93,221941,4
0.56,-8.35,0.4,0.35,-1.61,-0.94,221942,5
0.63,-8.32,0.42,0.34,-1.58,-0.93,221943,5
0.72,-8.29,0.44,0.33,-1.55,-0.93,221944,6
0.8,-8.26,0.46,0.33,-1.53,-0.92,221945,5
0.89,-8.23,0.48,0.32,-1.5,-0.91,221946,6
0.96,-8.21,0.48,0.31,-1.48,-0.9,221947,5
1.03,-8.18,0.49,0.3,-1.46,-0.89,221948,5
1.1,-8.15,0.48,0.3,-1.43,-0.89,221949,5
1.16,-8.12,0.47,0.29,-1.4,-0.88,221950,5
1.23,-8.1,0.47,0.28,-1.37,-0.88,221951,5
1.29,-8.08,0.46,0.28,-1.34,-0.87,221952,5
1.34,-8.04,0.46,0.27,-1.3,-0.87,221953,5
1.4,-8.01,0.45,0.26,-1.27,-0.86,221954,5
1.47,-8,0.45,0.25,-1.23,-0.85,221955,5
1.55,-7.99,0.45,0.24,-1.2,-0.83,221956,5
1.63,-7.97,0.44,0.24,-1.17,-0.81,221957,5
1.68,-7.97,0.42,0.23,-1.14,-0.78,221958,5
1.72,-7.98,0.39,0.22,-1.12,-0.76,221959,5
1.76,-7.99,0.36,0.21,-1.08,-0.73,221960,5
1.81,-8.01,0.32,0.2,-1.05,-0.71,221961,5
1.86,-8.02,0.3,0.19,-1.01,-0.7,221962,5
1.88,-8.02,0.28,0.18,-0.97,-0.68,221963,4
1.9,-8.03,0.26,0.17,-0.94,-0.67,221964,4
1.92,-8.04,0.25,0.16,-0.9,-0.65,221965,4
1.93,-8.05,0.24,0.15,-0.87,-0.64,221966,4
1.97,-8.06,0.23,0.14,-0.82,-0.61,221967,5
1.98,-8.06,0.22,0.13,-0.78,-0.59,221968,4
2.02,-8.06,0.2,0.12,-0.74,-0.56,221969,4
2.44,-9.13,-0.18,0.02,0.36,0.5,221970,124
2.43,-9.22,-0.2,0.02,0.4,0.53,221971,5
2.43,-9.3,-0.22,0.02,0.44,0.56,221972,5
2.43,-9.37,-0.25,0.02,0.48,0.59,221973,5
2.43,-9.45,-0.28,0.02,0.52,0.62,221974,5
2.42,-9.55,-0.3,0.02,0.56,0.65,221975,6
2.39,-9.66,-0.31,0.01,0.61,0.69,221976,6
2.38,-9.72,-0.32,0.01,0.63,0.71,221977,5
2.36,-9.78,-0.33,0,0.66,0.73,221978,4
2.34,-9.85,-0.33,0,0.69,0.75,221979,5
2.31,-9.92,-0.33,0,0.72,0.77,221980,5
2.29,-10,-0.33,-0.01,0.75,0.79,221981,5
2.26,-10.07,-0.32,-0.01,0.78,0.82,221982,5
2.21,-10.14,-0.31,-0.01,0.81,0.84,221983,5
2.16,-10.23,-0.3,-0.01,0.84,0.87,221984,6
2.13,-10.3,-0.31,-0.01,0.86,0.89,221985,5
2.09,-10.37,-0.31,-0.01,0.88,0.91,221986,5
2.04,-10.45,-0.3,-0.01,0.9,0.93,221987,5
1.98,-10.52,-0.3,-0.01,0.91,0.96,221988,5
1.92,-10.6,-0.3,-0.01,0.93,0.98,221989,5
1.85,-10.67,-0.3,-0.01,0.94,1,221990,5
1.79,-10.75,-0.31,0,0.95,1.01,221991,5
1.72,-10.82,-0.33,0,0.96,1.03,221992,5
1.65,-10.89,-0.34,0,0.96,1.05,221993,5
1.56,-10.96,-0.36,0,0.96,1.06,221994,5
1.48,-11.03,-0.38,0,0.96,1.08,221995,5
1.4,-11.1,-0.39,0,0.96,1.09,221996,5
1.31,-11.16,-0.41,0,0.96,1.1,221997,5
1.22,-11.23,-0.41,0,0.95,1.11,221998,5
1.13,-11.29,-0.42,0,0.94,1.11,221999,5
1.03,-11.34,-0.42,0,0.93,1.12,222000,5
0.93,-11.39,-0.42,0,0.91,1.13,222001,5
0.84,-11.44,-0.43,0,0.9,1.13,222002,5
0.73,-11.48,-0.42,0,0.88,1.14,222003,5
0.63,-11.51,-0.42,0,0.86,1.14,222004,5
0.54,-11.54,-0.41,0,0.84,1.15,222005,4
0.43,-11.56,-0.39,0,0.81,1.15,222006,5
0.32,-11.58,-0.37,0,0.78,1.15,222007,5
0.19,-11.6,-0.36,0,0.75,1.15,222008,6
0.07,-11.62,-0.34,0,0.72,1.14,222009,5
-0.04,-11.63,-0.32,0.01,0.68,1.14,222010,5
-0.15,-11.64,-0.29,0.01,0.65,1.13,222011,5
-0.27,-11.65,-0.27,0.02,0.62,1.12,222012,5
-0.39,-11.66,-0.25,0.02,0.58,1.11,222013,5
-0.51,-11.65,-0.22,0.03,0.54,1.09,222014,5
