ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
-2.36,-10.69,0.53,-0.22,-0.54,-0.95,135860,5
-1.49,-10.25,0.52,-0.18,-0.12,-0.51,135861,65
-1.45,-10.2,0.51,-0.17,-0.09,-0.48,135862,5
-1.4,-10.16,0.51,-0.17,-0.05,-0.44,135863,5
-1.37,-10.11,0.52,-0.16,-0.02,-0.41,135864,5
-1.34,-10.05,0.53,-0.15,0.02,-0.38,135865,5
-1.31,-9.99,0.54,-0.14,0.06,-0.35,135866,5
-1.29,-9.92,0.55,-0.13,0.1,-0.32,135867,5
-1.27,-9.85,0.57,-0.12,0.14,-0.28,135868,5
-1.25,-9.78,0.58,-0.12,0.18,-0.25,135869,5
-1.24,-9.72,0.59,-0.11,0.22,-0.22,135870,5
-1.23,-9.66,0.61,-0.1,0.27,-0.18,135871,5
-1.21,-9.6,0.62,-0.1,0.31,-0.15,135872,5
-1.21,-9.55,0.63,-0.09,0.35,-0.11,135873,5
-1.2,-9.49,0.64,-0.09,0.39,-0.08,135874,5
-1.21,-9.44,0.66,-0.08,0.44,-0.05,135875,5
-1.21,-9.37,0.67,-0.08,0.48,-0.02,135876,5
-1.21,-9.29,0.69,-0.08,0.53,0.02,135877,5
-1.22,-9.23,0.7,-0.07,0.58,0.05,135878,5
-1.23,-9.16,0.71,-0.07,0.62,0.08,135879,5
-1.24,-9.09,0.71,-0.07,0.67,0.12,135880,5
-1.25,-9.01,0.72,-0.08,0.71,0.15,135881,5
-1.27,-8.94,0.74,-0.08,0.76,0.18,135882,5
-1.29,-8.88,0.75,-0.08,0.8,0.21,135883,5
-1.31,-8.82,0.75,-0.08,0.84,0.25,135884,5
-1.33,-8.74,0.75,-0.09,0.88,0.28,135885,5
-1.35,-8.68,0.75,-0.09,0.92,0.3,135886,4
-1.37,-8.61,0.76,-0.1,0.96,0.33,135887,5
-1.39,-8.54,0.77,-0.1,0.99,0.36,135888,5
-1.42,-8.5,0.76,-0.11,1.02,0.38,135889,4
-1.45,-8.43,0.76,-0.11,1.06,0.41,135890,5
-1.48,-8.37,0.76,-0.12,1.09,0.44,135891,5
-1.51,-8.3,0.76,-0.13,1.12,0.46,135892,5
-1.54,-8.22,0.74,-0.13,1.15,0.48,135893,5
-1.59,-8.16,0.74,-0.14,1.18,0.5,135894,5
-1.62,-8.08,0.73,-0.15,1.21,0.52,135895,5
-1.65,-8.02,0.72,-0.15,1.23,0.54,135896,5
-1.7,-7.94,0.7,-0.16,1.25,0.55,135897,6
-1.74,-7.88,0.68,-0.16,1.27,0.57,135898,5
-1.78,-7.82,0.66,-0.16,1.29,0.58,135899,5
-1.83,-7.76,0.64,-0.17,1.3,0.59,135900,5
-1.87,-7.7,0.61,-0.17,1.31,0.59,135901,5
-1.93,-7.64,0.59,-0.17,1.32,0.6,135902,5
-1.97,-7.58,0.57,-0.18,1.32,0.61,135903,5
-2.02,-7.54,0.53,-0.18,1.33,0.61,135904,5
-2.07,-7.51,0.49,-0.19,1.33,0.62,135905,5
-2.12,-7.46,0.46,-0.19,1.33,0.62,135906,5
-2.17,-7.42,0.41,-0.19,1.32,0.62,135907,5
-2.23,-7.39,0.38,-0.19,1.32,0.62,135908,5
-2.27,-7.37,0.33,-0.19,1.31,0.62,135909,5
-2.32,-7.35,0.29,-0.19,1.3,0.62,135910,4
