ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
-7.68,-7.18,0.89,-0.27,0.01,-0.22,188149,5
-7.69,-7.22,0.87,-0.29,-0.03,-0.31,188150,5
-7.69,-7.26,0.85,-0.31,-0.08,-0.43,188151,6
-7.69,-7.3,0.84,-0.33,-0.12,-0.52,188152,5
-7.69,-7.35,0.83,-0.35,-0.17,-0.64,188153,6
-7.67,-7.39,0.82,-0.37,-0.21,-0.73,188154,5
-7.65,-7.44,0.82,-0.39,-0.25,-0.82,188155,5
-7.62,-7.48,0.82,-0.41,-0.29,-0.91,188156,5
-7.59,-7.54,0.81,-0.43,-0.33,-1,188157,5
-7.56,-7.59,0.8,-0.45,-0.36,-1.09,188158,5
-7.52,-7.65,0.8,-0.47,-0.4,-1.17,188159,5
-7.47,-7.7,0.8,-0.49,-0.44,-1.25,188160,5
-7.41,-7.77,0.79,-0.51,-0.48,-1.33,188161,5
-7.34,-7.84,0.78,-0.53,-0.52,-1.41,188162,5
-7.27,-7.92,0.79,-0.55,-0.56,-1.48,188163,5
-7.19,-8,0.78,-0.57,-0.6,-1.55,188164,5
-7.1,-8.09,0.77,-0.59,-0.64,-1.62,188165,5
-7.02,-8.19,0.76,-0.61,-0.68,-1.69,188166,5
-6.92,-8.3,0.75,-0.63,-0.72,-1.75,188167,5
-6.82,-8.41,0.75,-0.64,-0.76,-1.81,188168,5
-6.7,-8.52,0.73,-0.66,-0.8,-1.88,188169,5
-6.58,-8.65,0.71,-0.67,-0.84,-1.94,188170,5
-6.48,-8.81,0.69,-0.68,-0.87,-1.99,188171,5
-6.29,-9.04,0.61,-0.7,-0.91,-2.07,188172,7
-6.16,-9.19,0.55,-0.71,-0.95,-2.12,188173,5
-6.03,-9.33,0.54,-0.72,-0.98,-2.17,188174,5
-5.9,-9.47,0.5,-0.73,-1.01,-2.22,188175,5
-5.74,-9.62,0.45,-0.75,-1.04,-2.27,188176,6
-5.6,-9.74,0.42,-0.76,-1.07,-2.31,188177,5
-5.44,-9.88,0.39,-0.77,-1.09,-2.34,188178,5
-5.29,-10.03,0.3,-0.78,-1.11,-2.37,188179,5
-5.11,-10.2,0.2,-0.79,-1.14,-2.41,188180,6
-4.96,-10.32,0.16,-0.79,-1.16,-2.44,188181,5
-4.82,-10.42,0.13,-0.8,-1.17,-2.47,188182,5
-4.68,-10.54,0.05,-0.8,-1.18,-2.49,188183,5
-4.53,-10.65,-0.04,-0.8,-1.18,-2.51,188184,5
-4.36,-10.75,-0.09,-0.81,-1.18,-2.53,188185,5
-4.2,-10.84,-0.16,-0.81,-1.17,-2.54,188186,5
-4.05,-10.93,-0.24,-0.81,-1.16,-2.54,188187,5
-3.86,-11,-0.33,-0.81,-1.15,-2.54,188188,5
-3.67,-11.08,-0.42,-0.81,-1.14,-2.53,188189,5
-3.47,-11.14,-0.51,-0.81,-1.13,-2.52,188190,5
-3.26,-11.17,-0.59,-0.8,-1.12,-2.51,188191,5
-3.01,-11.17,-0.68,-0.79,-1.11,-2.49,188192,6
-2.81,-11.16,-0.75,-0.79,-1.11,-2.46,188193,5
-2.62,-11.15,-0.84,-0.78,-1.1,-2.43,188194,5
-2.43,-11.14,-0.93,-0.77,-1.1,-2.4,188195,5
-2.24,-11.12,-1.03,-0.76,-1.09,-2.36,188196,5
-2.05,-11.09,-1.12,-0.74,-1.09,-2.32,188197,5
-1.86,-11.04,-1.21,-0.73,-1.09,-2.27,188198,5
-1.66,-10.98,-1.3,-0.71,-1.09,-2.22,188199,5
-1.48,-10.93,-1.39,-0.7,-1.09,-2.17,188200,5
-1.32,-10.86,-1.49,-0.68,-1.09,-2.11,188201,5
-1.14,-10.79,-1.55,-0.65,-1.09,-2.05,188202,5
-1,-10.74,-1.6,-0.63,-1.09,-1.98,188203,5
-0.84,-10.71,-1.68,-0.6,-1.09,-1.91,188204,6
-0.71,-10.68,-1.73,-0.57,-1.09,-1.84,188205,5
-0.55,-10.65,-1.8,-0.53,-1.09,-1.76,188206,6
-0.43,-10.64,-1.85,-0.49,-1.08,-1.69,188207,5
-0.3,-10.63,-1.94,-0.45,-1.07,-1.61,188208,6
-0.2,-10.6,-2,-0.41,-1.06,-1.55,188209,5
-0.09,-10.55,-2.06,-0.37,-1.05,-1.49,188210,5
0.02,-10.51,-2.12,-0.33,-1.03,-1.42,188211,5
0.11,-10.47,-2.18,-0.3,-1.02,-1.36,188212,5
0.2,-10.41,-2.22,-0.26,-1.01,-1.29,188213,5
0.3,-10.35,-2.24,-0.22,-1,-1.21,188214,6
0.38,-10.27,-2.26,-0.19,-1,-1.14,188215,5
0.42,-10.19,-2.26,-0.15,-0.99,-1.08,188216,5
0.46,-10.1,-2.26,-0.12,-0.99,-1.01,188217,5
0.49,-10,-2.24,-0.08,-0.98,-0.95,188218,5
0.54,-9.9,-2.23,-0.04,-0.97,-0.88,188219,5
0.59,-9.77,-2.21,0,-0.96,-0.8,188220,6
0.62,-9.65,-2.17,0.05,-0.96,-0.73,188221,5
0.63,-9.56,-2.12,0.08,-0.96,-0.68,188222,4
0.63,-9.49,-2.07,0.12,-0.96,-0.63,188223,4
0.62,-9.41,-2,0.16,-0.96,-0.56,188224,5
0.62,-9.33,-1.94,0.2,-0.95,-0.5,188225,5
0.61,-9.26,-1.9,0.25,-0.95,-0.43,188226,5
0.59,-9.19,-1.87,0.3,-0.95,-0.37,188227,5
0.57,-9.11,-1.84,0.34,-0.94,-0.31,188228,5
0.55,-9.04,-1.8,0.38,-0.94,-0.26,188229,5
0.52,-8.97,-1.73,0.42,-0.94,-0.2,188230,6
0.48,-8.94,-1.67,0.45,-0.93,-0.15,188231,5
0.45,-8.9,-1.62,0.49,-0.93,-0.11,188232,5
0.41,-8.84,-1.57,0.51,-0.93,-0.07,188233,5
0.36,-8.79,-1.5,0.54,-0.92,-0.03,188234,5
0.31,-8.75,-1.42,0.56,-0.91,0,188235,5
0.26,-8.72,-1.34,0.59,-0.9,0.03,188236,5
0.2,-8.68,-1.27,0.61,-0.89,0.06,188237,5
0.14,-8.63,-1.19,0.62,-0.87,0.08,188238,5
0.09,-8.59,-1.11,0.64,-0.85,0.1,188239,5
0.04,-8.54,-1.05,0.65,-0.83,0.12,188240,4
-0.01,-8.48,-0.97,0.66,-0.81,0.14,188241,5
-0.06,-8.4,-0.9,0.67,-0.79,0.17,188242,5
-0.1,-8.32,-0.82,0.68,-0.76,0.19,188243,5
-0.13,-8.24,-0.75,0.68,-0.73,0.21,188244,5
-0.18,-8.15,-0.67,0.68,-0.71,0.23,188245,5
-0.21,-8.04,-0.58,0.68,-0.68,0.25,188246,5
-0.25,-7.95,-0.48,0.68,-0.65,0.27,188247,5
-0.29,-7.85,-0.37,0.68,-0.63,0.29,188248,5
-0.34,-7.75,-0.26,0.68,-0.6,0.31,188249,5
-0.38,-7.66,-0.16,0.68,-0.57,0.33,188250,5
-0.44,-7.57,-0.04,0.69,-0.54,0.35,188251,5
-0.49,-7.49,0.08,0.69,-0.5,0.36,188252,5
-0.54,-7.43,0.19,0.7,-0.47,0.38,188253,5
-0.59,-7.38,0.28,0.71,-0.43,0.4,188254,5
-0.64,-7.34,0.36,0.72,-0.39,0.42,188255,5
-0.67,-7.3,0.41,0.73,-0.35,0.44,188256,5
-0.7,-7.28,0.45,0.74,-0.32,0.45,188257,4
-0.73,-7.25,0.49,0.74,-0.29,0.46,188258,4
-0.78,-7.21,0.57,0.74,-0.23,0.48,188259,7
-0.81,-7.2,0.62,0.74,-0.19,0.49,188260,5
-0.85,-7.18,0.68,0.74,-0.14,0.51,188261,5
-0.87,-7.17,0.72,0.74,-0.11,0.52,188262,4
-0.91,-7.15,0.78,0.73,-0.05,0.53,188263,6
-0.95,-7.14,0.83,0.73,-0.01,0.55,188264,5
-1,-7.14,0.9,0.72,0.04,0.56,188265,5
-1.04,-7.13,0.97,0.71,0.09,0.58,188266,5
-1.08,-7.13,1.04,0.7,0.14,0.59,188267,5
-1.12,-7.14,1.1,0.7,0.19,0.61,188268,4
-1.16,-7.14,1.15,0.69,0.23,0.62,188269,4
-1.19,-7.15,1.21,0.68,0.27,0.63,188270,4
-1.22,-7.17,1.26,0.68,0.32,0.65,188271,4
-1.25,-7.18,1.31,0.67,0.36,0.66,188272,4
-1.29,-7.2,1.36,0.66,0.41,0.68,188273,4
-1.33,-7.22,1.4,0.65,0.45,0.69,188274,4
-2.86,-8.85,2.48,0.19,1.85,1.07,188275,125
-2.93,-8.93,2.5,0.17,1.89,1.08,188276,5
-3,-9.01,2.51,0.14,1.93,1.09,188277,5
-3.08,-9.08,2.52,0.11,1.97,1.09,188278,5
-3.16,-9.16,2.51,0.09,2,1.1,188279,5
-3.22,-9.22,2.51,0.06,2.03,1.1,188280,4
-3.29,-9.29,2.51,0.04,2.06,1.1,188281,5
-3.37,-9.35,2.5,0.01,2.09,1.1,188282,5
-3.45,-9.43,2.49,-0.02,2.11,1.09,188283,5
-3.52,-9.49,2.46,-0.05,2.14,1.08,188284,5
-3.59,-9.55,2.43,-0.08,2.16,1.08,188285,5
-3.67,-9.61,2.41,-0.11,2.18,1.07,188286,5
-3.73,-9.66,2.38,-0.14,2.19,1.05,188287,5
-3.79,-9.72,2.33,-0.16,2.2,1.04,188288,5
