ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
-1.82,-7.48,1.99,-0.1,0.17,0.29,205154,6
-1.87,-7.42,2.04,-0.16,0.18,0.27,205155,5
-1.92,-7.37,2.08,-0.21,0.19,0.25,205156,5
-1.98,-7.32,2.12,-0.26,0.2,0.23,205157,6
-2.03,-7.28,2.17,-0.31,0.21,0.22,205158,5
-2.09,-7.25,2.2,-0.36,0.22,0.2,205159,5
-2.13,-7.23,2.21,-0.41,0.23,0.18,205160,5
-2.18,-7.2,2.22,-0.46,0.24,0.17,205161,5
-2.22,-7.19,2.22,-0.51,0.25,0.15,205162,5
-2.26,-7.18,2.23,-0.56,0.26,0.13,205163,5
-2.3,-7.17,2.23,-0.61,0.27,0.11,205164,5
-2.34,-7.17,2.23,-0.66,0.28,0.09,205165,5
-2.38,-7.17,2.23,-0.71,0.29,0.07,205166,5
-2.42,-7.18,2.22,-0.75,0.3,0.04,205167,5
-2.46,-7.18,2.21,-0.8,0.31,0.02,205168,5
-2.49,-7.19,2.21,-0.84,0.32,-0.01,205169,4
-2.53,-7.2,2.2,-0.87,0.33,-0.03,205170,4
-2.56,-7.22,2.19,-0.91,0.35,-0.06,205171,4
-2.58,-7.23,2.18,-0.94,0.36,-0.08,205172,4
-2.6,-7.25,2.16,-0.97,0.37,-0.11,205173,4
-2.61,-7.29,2.12,-1.01,0.39,-0.14,205174,5
-2.63,-7.34,2.05,-1.07,0.41,-0.19,205175,8
-2.63,-7.47,1.88,-1.19,0.46,-0.29,205176,16
-2.63,-7.52,1.81,-1.23,0.48,-0.32,205177,6
-2.61,-7.55,1.75,-1.27,0.5,-0.35,205178,5
-2.6,-7.59,1.69,-1.29,0.51,-0.38,205179,5
-2.58,-7.61,1.63,-1.31,0.52,-0.4,205180,4
-2.56,-7.65,1.57,-1.34,0.54,-0.43,205181,5
-2.54,-7.7,1.5,-1.36,0.56,-0.45,205182,5
-2.51,-7.74,1.44,-1.37,0.57,-0.48,205183,5
-2.48,-7.78,1.37,-1.39,0.59,-0.5,205184,5
-2.44,-7.83,1.29,-1.4,0.61,-0.52,205185,5
-2.39,-7.9,1.19,-1.41,0.64,-0.55,205186,6
-2.35,-7.96,1.13,-1.41,0.66,-0.56,205187,5
-2.31,-8.03,1.04,-1.41,0.69,-0.57,205188,5
-2.27,-8.11,0.94,-1.41,0.72,-0.58,205189,5
-2.22,-8.21,0.82,-1.41,0.75,-0.59,205190,5
-2.16,-8.31,0.69,-1.41,0.78,-0.6,205191,5
-2.1,-8.42,0.58,-1.4,0.82,-0.6,205192,5
-2.03,-8.55,0.44,-1.39,0.86,-0.61,205193,6
-1.97,-8.66,0.32,-1.38,0.9,-0.61,205194,5
-1.89,-8.75,0.18,-1.36,0.94,-0.61,205195,5
-1.82,-8.83,0.04,-1.33,0.99,-0.61,205196,5
-1.77,-8.97,-0.09,-1.3,1.04,-0.6,205197,5
-1.68,-9.11,-0.23,-1.27,1.09,-0.6,205198,5
-1.56,-9.24,-0.4,-1.23,1.14,-0.59,205199,5
-1.45,-9.37,-0.61,-1.18,1.19,-0.58,205200,5
-1.33,-9.51,-0.84,-1.14,1.23,-0.57,205201,5
-1.2,-9.65,-1.1,-1.09,1.28,-0.56,205202,5
-1.06,-9.78,-1.38,-1.05,1.32,-0.55,205203,5
-0.91,-9.93,-1.68,-1.03,1.36,-0.54,205204,5
-0.77,-10.1,-2.06,-1,1.41,-0.54,205205,5
-0.64,-10.29,-2.45,-0.97,1.44,-0.53,205206,5
-0.5,-10.46,-2.8,-0.93,1.46,-0.52,205207,5
-0.35,-10.61,-3.1,-0.89,1.48,-0.51,205208,5
-0.2,-10.72,-3.36,-0.85,1.5,-0.5,205209,5
-0.04,-10.81,-3.59,-0.81,1.51,-0.48,205210,5
0.11,-10.88,-3.79,-0.76,1.52,-0.47,205211,5
0.25,-10.93,-3.97,-0.71,1.53,-0.45,205212,5
0.39,-10.98,-4.14,-0.66,1.54,-0.44,205213,5
0.53,-11.03,-4.31,-0.59,1.55,-0.42,205214,5
0.67,-11.08,-4.48,-0.52,1.55,-0.39,205215,5
0.81,-11.13,-4.64,-0.44,1.56,-0.36,205216,5
0.95,-11.18,-4.81,-0.35,1.56,-0.33,205217,5
1.08,-11.23,-4.98,-0.26,1.56,-0.29,205218,5
1.21,-11.26,-5.15,-0.17,1.56,-0.25,205219,5
1.35,-11.3,-5.3,-0.08,1.56,-0.21,205220,5
1.49,-11.31,-5.46,0,1.55,-0.17,205221,5
1.61,-11.32,-5.6,0.09,1.53,-0.12,205222,5
1.69,-11.31,-5.68,0.16,1.51,-0.08,205223,4
1.75,-11.31,-5.76,0.25,1.48,-0.03,205224,5
1.8,-11.3,-5.78,0.34,1.44,0.02,205225,5
1.83,-11.28,-5.76,0.44,1.41,0.07,205226,5
1.86,-11.25,-5.7,0.53,1.36,0.13,205227,5
1.87,-11.2,-5.64,0.63,1.32,0.18,205228,5
1.87,-11.17,-5.58,0.74,1.27,0.24,205229,5
1.86,-11.15,-5.51,0.84,1.21,0.29,205230,5
1.83,-11.12,-5.45,0.95,1.15,0.34,205231,5
1.81,-11.1,-5.39,1.05,1.08,0.39,205232,5
1.79,-11.08,-5.31,1.15,1.01,0.44,205233,5
1.75,-11.06,-5.22,1.25,0.94,0.48,205234,5
1.71,-11.04,-5.11,1.35,0.86,0.53,205235,5
1.64,-11.01,-4.98,1.43,0.77,0.56,205236,5
1.57,-10.99,-4.85,1.52,0.69,0.6,205237,5
1.49,-10.97,-4.73,1.58,0.62,0.62,205238,4
1.4,-10.95,-4.57,1.66,0.53,0.65,205239,5
1.32,-10.93,-4.43,1.71,0.46,0.67,205240,4
1.22,-10.9,-4.24,1.78,0.37,0.69,205241,5
1.1,-10.86,-4.03,1.84,0.27,0.7,205242,5
0.99,-10.83,-3.82,1.9,0.18,0.72,205243,5
0.85,-10.8,-3.6,1.95,0.09,0.73,205244,5
0.74,-10.76,-3.42,1.98,0.02,0.73,205245,4
0.59,-10.71,-3.15,2.03,-0.09,0.73,205246,6
0.45,-10.65,-2.93,2.06,-0.18,0.73,205247,5
0.33,-10.58,-2.69,2.09,-0.27,0.73,205248,5
0.19,-10.51,-2.46,2.11,-0.36,0.72,205249,5
0.06,-10.43,-2.23,2.12,-0.45,0.7,205250,5
-0.08,-10.35,-1.99,2.13,-0.54,0.69,205251,5
-0.22,-10.27,-1.75,2.14,-0.63,0.67,205252,5
-0.36,-10.19,-1.49,2.14,-0.72,0.64,205253,5
-0.49,-10.1,-1.23,2.13,-0.81,0.62,205254,5
-0.64,-9.99,-0.91,2.13,-0.92,0.58,205255,6
-0.77,-9.9,-0.64,2.12,-1,0.55,205256,5
-0.89,-9.81,-0.38,2.1,-1.09,0.51,205257,5
-1.01,-9.72,-0.14,2.09,-1.17,0.48,205258,5
-1.13,-9.64,0.1,2.07,-1.25,0.44,205259,5
-1.24,-9.57,0.34,2.05,-1.33,0.4,205260,5
-1.34,-9.51,0.57,2.02,-1.41,0.36,205261,5
-1.41,-9.46,0.76,2,-1.47,0.33,205262,4
-1.49,-9.43,0.94,1.97,-1.53,0.29,205263,4
-1.56,-9.39,1.13,1.95,-1.59,0.26,205264,4
-1.64,-9.35,1.32,1.91,-1.65,0.21,205265,5
-1.72,-9.29,1.5,1.87,-1.72,0.17,205266,5
-1.78,-9.25,1.76,1.82,-1.79,0.12,205267,5
-1.86,-9.25,1.95,1.77,-1.85,0.08,205268,5
-0.99,-8.7,3.22,-0.42,-0.93,-0.35,205269,119
-0.87,-8.67,3.2,-0.53,-0.81,-0.33,205270,5
-0.75,-8.62,3.2,-0.63,-0.68,-0.31,205271,5
-0.66,-8.53,3.22,-0.73,-0.55,-0.29,205272,5
-0.57,-8.44,3.23,-0.83,-0.42,-0.26,205273,5
-0.5,-8.35,3.26,-0.92,-0.28,-0.24,205274,5
-0.41,-8.28,3.29,-1,-0.14,-0.22,205275,5
-0.35,-8.21,3.31,-1.06,-0.02,-0.2,205276,4
-0.28,-8.16,3.35,-1.13,0.12,-0.17,205277,5
-0.21,-8.11,3.39,-1.19,0.27,-0.15,205278,5
-0.14,-8.08,3.43,-1.25,0.42,-0.12,205279,5
-0.06,-8.05,3.46,-1.31,0.57,-0.09,205280,5
0.01,-8.01,3.47,-1.36,0.72,-0.05,205281,5
0.08,-7.98,3.47,-1.39,0.84,-0.02,205282,4
0.13,-7.97,3.47,-1.42,0.92,0,205283,4
0.2,-7.93,3.43,-1.47,1.06,0.04,205284,4
0.23,-7.9,3.4,-1.49,1.15,0.07,205285,4
0.27,-7.84,3.35,-1.52,1.29,0.11,205286,4
0.31,-7.8,3.32,-1.55,1.43,0.16,205287,5
0.34,-7.76,3.31,-1.59,1.59,0.22,205288,6
0.38,-7.76,3.26,-1.61,1.72,0.26,205289,5
0.4,-7.77,3.22,-1.63,1.83,0.3,205290,4
0.43,-7.79,3.15,-1.64,1.96,0.35,205291,5
0.46,-7.8,3.07,-1.65,2.08,0.39,205292,5
0.48,-7.81,2.97,-1.66,2.19,0.44,205293,5
0.47,-7.82,2.88,-1.67,2.28,0.47,205294,5
0.46,-7.82,2.77,-1.68,2.38,0.5,205295,5
0.47,-7.84,2.67,-1.68,2.5,0.54,205296,6
0.51,-7.86,2.56,-1.68,2.58,0.56,205297,5
0.5,-7.9,2.43,-1.68,2.66,0.59,205298,5
0.46,-7.92,2.32,-1.68,2.72,0.61,205299,4
0.45,-7.97,2.22,-1.67,2.78,0.63,205300,5
0.48,-8.02,2.08,-1.66,2.84,0.65,205301,5
0.48,-8.08,1.92,-1.66,2.88,0.67,205302,5
0.47,-8.16,1.74,-1.65,2.93,0.69,205303,5
0.43,-8.26,1.49,-1.64,2.96,0.71,205304,6
0.44,-8.31,1.28,-1.64,2.98,0.73,205305,5
0.43,-8.35,1.09,-1.63,3,0.74,205306,4
0.41,-8.41,0.85,-1.63,3,0.75,205307,5
0.39,-8.46,0.62,-1.63,3,0.75,205308,5
0.36,-8.5,0.38,-1.63,2.99,0.75,205309,5
0.34,-8.54,0.17,-1.62,2.97,0.74,205310,5
0.31,-8.59,0.02,-1.62,2.95,0.73,205311,4
0.28,-8.68,-0.15,-1.62,2.92,0.72,205312,4
0.26,-8.78,-0.36,-1.6,2.87,0.7,205313,6
0.22,-8.83,-0.57,-1.59,2.83,0.68,205314,5
0.18,-8.88,-0.78,-1.57,2.77,0.66,205315,5
0.15,-8.92,-0.96,-1.55,2.72,0.64,205316,4
0.11,-8.96,-1.18,-1.52,2.65,0.61,205317,5
0.03,-9.04,-1.46,-1.49,2.56,0.57,205318,6
-0.02,-9.12,-1.72,-1.47,2.48,0.53,205319,5
-0.04,-9.17,-1.98,-1.44,2.39,0.5,205320,6
-0.08,-9.18,-2.21,-1.42,2.31,0.47,205321,5
-0.13,-9.22,-2.54,-1.39,2.2,0.44,205322,6
-0.18,-9.26,-2.8,-1.35,2.1,0.41,205323,5
-0.24,-9.3,-3.02,-1.3,2,0.38,205324,5
-0.33,-9.32,-3.22,-1.25,1.9,0.36,205325,5
-0.4,-9.35,-3.41,-1.2,1.79,0.33,205326,5
-0.48,-9.37,-3.59,-1.15,1.69,0.31,205327,5
-0.55,-9.39,-3.75,-1.09,1.59,0.29,205328,5
-0.62,-9.37,-3.93,-1.03,1.49,0.27,205329,5
-0.69,-9.33,-4.1,-0.97,1.4,0.25,205330,5
-0.79,-9.29,-4.26,-0.9,1.31,0.24,205331,5
-0.88,-9.28,-4.41,-0.83,1.22,0.22,205332,5
-0.96,-9.25,-4.54,-0.75,1.13,0.21,205333,5
-1.04,-9.22,-4.65,-0.66,1.05,0.2,205334,5
-1.11,-9.21,-4.75,-0.57,0.97,0.19,205335,5
-1.18,-9.24,-4.84,-0.48,0.89,0.18,205336,5
-1.26,-9.28,-4.93,-0.39,0.82,0.17,205337,5
-1.34,-9.32,-5.02,-0.3,0.75,0.16,205338,5
-1.42,-9.32,-5.1,-0.21,0.68,0.14,205339,5
-1.47,-9.33,-5.15,-0.13,0.63,0.13,205340,4
-1.54,-9.35,-5.2,-0.06,0.58,0.12,205341,4
-1.58,-9.36,-5.26,0.03,0.53,0.1,205342,5
-1.61,-9.38,-5.31,0.1,0.49,0.09,205343,4
-1.64,-9.4,-5.35,0.17,0.44,0.07,205344,4
-1.71,-9.42,-5.26,0.48,0.28,0.01,205345,17
-1.17,-9.39,-3.54,1.49,-0.38,-0.29,205346,70
-1.07,-9.37,-3.28,1.57,-0.45,-0.32,205347,7
-0.98,-9.36,-3.1,1.62,-0.5,-0.34,205348,5
-0.9,-9.35,-2.92,1.67,-0.54,-0.36,205349,5
-0.82,-9.34,-2.74,1.71,-0.59,-0.38,205350,5
-0.74,-9.33,-2.56,1.74,-0.63,-0.39,205351,5
-0.66,-9.32,-2.37,1.78,-0.67,-0.4,205352,5
-0.59,-9.32,-2.17,1.8,-0.71,-0.42,205353,5
-0.53,-9.32,-1.96,1.83,-0.75,-0.43,205354,5
-0.46,-9.32,-1.75,1.85,-0.78,-0.43,205355,5
-0.4,-9.32,-1.54,1.86,-0.81,-0.44,205356,5
-0.34,-9.33,-1.32,1.88,-0.84,-0.44,205357,5
-0.28,-9.34,-1.1,1.89,-0.86,-0.44,205358,5
-0.23,-9.35,-0.89,1.9,-0.88,-0.43,205359,5
-0.18,-9.36,-0.69,1.91,-0.89,-0.43,205360,5
-0.14,-9.38,-0.51,1.91,-0.9,-0.41,205361,5
-0.09,-9.39,-0.33,1.9,-0.9,-0.4,205362,5
-0.06,-9.42,-0.15,1.89,-0.9,-0.38,205363,5
-0.01,-9.44,0.04,1.87,-0.9,-0.36,205364,5
0.03,-9.49,0.27,1.85,-0.9,-0.34,205365,6
0.06,-9.53,0.47,1.83,-0.89,-0.31,205366,5
0.08,-9.58,0.65,1.81,-0.88,-0.29,205367,5
0.12,-9.63,0.84,1.78,-0.86,-0.25,205368,6
0.16,-9.67,1.01,1.74,-0.84,-0.21,205369,6
0.18,-9.73,1.15,1.7,-0.83,-0.18,205370,5
0.19,-9.77,1.32,1.66,-0.8,-0.14,205371,6
0.21,-9.81,1.46,1.61,-0.77,-0.1,205372,5
0.21,-9.86,1.61,1.56,-0.74,-0.06,205373,6
0.21,-9.9,1.73,1.51,-0.71,-0.03,205374,5
0.21,-9.92,1.85,1.47,-0.68,0,205375,5
0.21,-9.95,1.94,1.42,-0.64,0.04,205376,5
0.19,-9.98,2.05,1.37,-0.61,0.07,205377,5
0.18,-10.01,2.15,1.32,-0.57,0.1,205378,5
0.17,-10.04,2.25,1.26,-0.53,0.12,205379,5
0.14,-10.07,2.33,1.21,-0.49,0.15,205380,5
0.12,-10.09,2.4,1.15,-0.44,0.18,205381,5
0.09,-10.11,2.47,1.09,-0.4,0.21,205382,5
0.06,-10.13,2.54,1.03,-0.35,0.23,205383,5
0.03,-10.15,2.6,0.97,-0.3,0.26,205384,5
0.01,-10.17,2.65,0.92,-0.27,0.28,205385,4
-0.02,-10.18,2.7,0.87,-0.23,0.3,205386,4
-0.05,-10.19,2.74,0.82,-0.19,0.33,205387,4
-0.07,-10.2,2.77,0.77,-0.15,0.35,205388,4
-0.1,-10.21,2.8,0.72,-0.11,0.37,205389,4
-0.13,-10.22,2.83,0.66,-0.07,0.39,205390,4
-0.16,-10.23,2.85,0.61,-0.03,0.41,205391,4
-0.19,-10.23,2.87,0.56,0.01,0.44,205392,4
-0.22,-10.23,2.88,0.51,0.05,0.46,205393,4
-0.66,-10.18,2.65,-0.2,0.51,0.72,205394,54
-0.71,-10.15,2.6,-0.26,0.55,0.74,205395,5
-0.73,-10.13,2.55,-0.33,0.59,0.75,205396,5
-0.77,-10.11,2.47,-0.39,0.62,0.77,205397,5
-0.83,-10.08,2.43,-0.44,0.66,0.78,205398,5
-0.88,-10.05,2.36,-0.51,0.7,0.79,205399,6
-0.96,-10,2.27,-0.59,0.74,0.8,205400,7
-1.02,-9.96,2.2,-0.65,0.78,0.81,205401,6
-1.07,-9.94,2.13,-0.7,0.81,0.81,205402,5
-1.13,-9.9,2.05,-0.76,0.84,0.81,205403,6
-1.17,-9.86,1.98,-0.81,0.87,0.81,205404,5
-1.22,-9.82,1.89,-0.86,0.9,0.81,205405,5
-1.26,-9.78,1.81,-0.9,0.92,0.81,205406,5
-1.31,-9.73,1.72,-0.95,0.94,0.8,205407,5
-1.36,-9.7,1.65,-0.99,0.97,0.8,205408,5
-1.41,-9.64,1.57,-1.03,0.99,0.79,205409,5
-1.47,-9.59,1.5,-1.07,1.01,0.78,205410,5
-1.51,-9.54,1.41,-1.11,1.03,0.77,205411,5
-1.55,-9.49,1.32,-1.14,1.05,0.76,205412,5
-1.6,-9.45,1.22,-1.17,1.07,0.75,205413,5
-1.65,-9.39,1.13,-1.2,1.09,0.73,205414,5
-1.69,-9.33,1.03,-1.23,1.11,0.72,205415,5
-1.73,-9.28,0.93,-1.25,1.13,0.71,205416,5
-1.77,-9.23,0.83,-1.27,1.14,0.69,205417,5
-1.81,-9.18,0.73,-1.29,1.15,0.67,205418,5
-1.86,-9.13,0.63,-1.3,1.16,0.66,205419,5
