ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.19,0.41,10.86,0.53,-0.23,-0.19,61561,5
0.18,0.42,10.83,0.56,-0.16,-0.2,61562,5
0.16,0.42,10.79,0.59,-0.1,-0.22,61563,5
0.04,0.5,10.08,0.59,0.73,-0.36,61564,99
0.04,0.51,10.08,0.56,0.76,-0.36,61565,5
0.05,0.51,10.08,0.54,0.78,-0.36,61566,5
0.05,0.5,10.08,0.52,0.8,-0.35,61567,5
0.05,0.51,10.08,0.5,0.81,-0.35,61568,5
0.06,0.5,10.1,0.47,0.84,-0.35,61569,6
0.06,0.5,10.12,0.44,0.86,-0.34,61570,5
0.06,0.5,10.14,0.42,0.88,-0.33,61571,5
0.07,0.49,10.16,0.4,0.9,-0.33,61572,5
0.07,0.48,10.19,0.38,0.91,-0.32,61573,5
0.07,0.48,10.21,0.36,0.94,-0.3,61574,6
0.07,0.48,10.25,0.34,0.96,-0.29,61575,5
0.07,0.48,10.29,0.32,0.98,-0.28,61576,6
0.07,0.47,10.31,0.3,1,-0.26,61577,5
0.06,0.47,10.33,0.28,1.01,-0.25,61578,5
0.06,0.47,10.35,0.27,1.03,-0.24,61579,5
0.05,0.46,10.38,0.26,1.05,-0.22,61580,5
0.05,0.47,10.41,0.25,1.06,-0.21,61581,5
0.04,0.47,10.42,0.24,1.07,-0.19,61582,5
0.03,0.47,10.44,0.23,1.08,-0.17,61583,5
0.02,0.47,10.45,0.22,1.09,-0.16,61584,5
0.01,0.46,10.46,0.22,1.09,-0.14,61585,5
-0.01,0.46,10.47,0.21,1.09,-0.12,61586,5
-0.02,0.46,10.48,0.21,1.09,-0.1,61587,5
-0.04,0.45,10.49,0.21,1.09,-0.09,61588,5
-0.06,0.45,10.5,0.21,1.08,-0.07,61589,5
-0.08,0.45,10.5,0.21,1.07,-0.05,61590,5
-0.11,0.45,10.5,0.21,1.05,-0.04,61591,5
-0.13,0.44,10.5,0.21,1.03,-0.02,61592,5
-0.16,0.44,10.49,0.21,1.01,0,61593,5
-0.19,0.43,10.48,0.22,0.98,0.01,61594,5
-0.22,0.44,10.47,0.22,0.95,0.03,61595,5
-0.25,0.44,10.46,0.22,0.92,0.04,61596,5
-0.27,0.45,10.45,0.23,0.88,0.06,61597,5
-0.3,0.45,10.45,0.23,0.83,0.07,61598,5
-0.32,0.46,10.43,0.23,0.79,0.09,61599,5
-0.35,0.46,10.41,0.24,0.74,0.1,61600,5
-0.38,0.47,10.4,0.24,0.68,0.11,61601,5
-0.41,0.48,10.38,0.24,0.63,0.12,61602,5
-0.43,0.49,10.36,0.24,0.57,0.13,61603,5
-0.45,0.5,10.33,0.25,0.5,0.14,61604,5
-0.47,0.51,10.31,0.25,0.44,0.15,61605,5
-0.5,0.53,10.3,0.25,0.37,0.16,61606,5
-0.52,0.54,10.28,0.25,0.3,0.16,61607,5
-0.53,0.55,10.25,0.25,0.23,0.17,61608,5
-0.55,0.56,10.23,0.24,0.15,0.17,61609,5
-0.56,0.58,10.2,0.24,0.08,0.18,61610,5
-0.57,0.6,10.17,0.24,0,0.18,61611,5
-0.58,0.62,10.14,0.23,-0.08,0.18,61612,5
-0.59,0.64,10.11,0.22,-0.16,0.18,61613,5
-0.59,0.66,10.08,0.21,-0.24,0.18,61614,5
-0.59,0.68,10.05,0.2,-0.32,0.18,61615,5
-0.58,0.69,10.03,0.19,-0.4,0.18,61616,5
-0.58,0.71,10,0.18,-0.48,0.17,61617,5
-0.57,0.72,9.98,0.17,-0.56,0.17,61618,5
-0.57,0.73,9.95,0.15,-0.64,0.16,61619,5
-0.56,0.73,9.92,0.14,-0.71,0.15,61620,5
-0.55,0.74,9.89,0.12,-0.79,0.14,61621,5
-0.53,0.74,9.87,0.1,-0.86,0.14,61622,5
-0.52,0.74,9.84,0.08,-0.94,0.13,61623,5
-0.51,0.74,9.82,0.06,-1.01,0.12,61624,5
-0.48,0.74,9.8,0.03,-1.11,0.1,61625,7
-0.45,0.74,9.79,0,-1.17,0.09,61626,5
-0.42,0.73,9.79,-0.03,-1.24,0.07,61627,6
-0.39,0.72,9.79,-0.06,-1.3,0.06,61628,5
-0.36,0.71,9.79,-0.09,-1.35,0.05,61629,5
-0.33,0.7,9.8,-0.12,-1.4,0.04,61630,5
-0.3,0.69,9.81,-0.15,-1.44,0.03,61631,5
-0.28,0.68,9.83,-0.18,-1.47,0.02,61632,5
-0.25,0.66,9.85,-0.22,-1.5,0.01,61633,5
-0.22,0.65,9.88,-0.25,-1.52,0,61634,5
-0.17,0.63,9.92,-0.3,-1.54,-0.02,61635,6
-0.14,0.61,9.97,-0.34,-1.55,-0.03,61636,6
-0.11,0.59,10.01,-0.38,-1.56,-0.04,61637,5
-0.07,0.57,10.04,-0.42,-1.55,-0.05,61638,5
-0.03,0.56,10.08,-0.45,-1.54,-0.06,61639,5
0,0.55,10.13,-0.49,-1.52,-0.07,61640,5
0.04,0.54,10.18,-0.53,-1.49,-0.08,61641,6
0.08,0.52,10.23,-0.58,-1.44,-0.09,61642,6
0.11,0.51,10.27,-0.62,-1.4,-0.09,61643,5
0.14,0.5,10.32,-0.66,-1.34,-0.1,61644,6
0.17,0.49,10.37,-0.69,-1.28,-0.11,61645,5
0.21,0.48,10.42,-0.73,-1.2,-0.11,61646,6
0.23,0.47,10.47,-0.77,-1.13,-0.12,61647,5
0.26,0.46,10.51,-0.8,-1.05,-0.12,61648,5
0.28,0.45,10.55,-0.83,-0.97,-0.13,61649,5
0.3,0.45,10.59,-0.85,-0.88,-0.13,61650,5
0.33,0.44,10.63,-0.88,-0.79,-0.14,61651,5
0.34,0.43,10.67,-0.9,-0.69,-0.14,61652,5
0.36,0.43,10.72,-0.93,-0.57,-0.14,61653,6
0.37,0.42,10.76,-0.94,-0.47,-0.14,61654,5
0.39,0.42,10.8,-0.96,-0.36,-0.15,61655,5
0.39,0.41,10.83,-0.97,-0.24,-0.15,61656,6
0.4,0.41,10.85,-0.98,-0.13,-0.15,61657,5
0.4,0.4,10.88,-0.99,-0.02,-0.15,61658,5
0.41,0.39,10.91,-0.99,0.11,-0.16,61659,6
0.4,0.38,10.93,-0.98,0.21,-0.16,61660,5
0.4,0.37,10.95,-0.98,0.34,-0.16,61661,6
0.4,0.37,10.95,-0.96,0.46,-0.16,61662,6
0.4,0.37,10.96,-0.95,0.56,-0.17,61663,5
0.39,0.36,10.97,-0.93,0.66,-0.17,61664,5
0.39,0.36,10.97,-0.91,0.75,-0.17,61665,5
0.38,0.35,10.96,-0.89,0.84,-0.17,61666,5
0.37,0.35,10.95,-0.86,0.93,-0.18,61667,5
0.35,0.34,10.95,-0.84,1.01,-0.18,61668,5
0.33,0.34,10.93,-0.8,1.08,-0.18,61669,5
