ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.63,0.19,10.93,0.24,-0.85,-0.07,96061,5
0.65,0.21,10.96,0.25,-0.78,-0.07,96062,5
0.68,0.22,10.98,0.26,-0.7,-0.08,96063,5
0.7,0.24,11.01,0.27,-0.62,-0.08,96064,5
0.72,0.25,11.02,0.27,-0.53,-0.08,96065,5
0.74,0.26,11.04,0.28,-0.44,-0.09,96066,5
0.75,0.28,11.06,0.28,-0.35,-0.09,96067,5
0.77,0.29,11.07,0.28,-0.26,-0.09,96068,5
0.78,0.31,11.07,0.27,-0.16,-0.1,96069,5
0.79,0.32,11.07,0.27,-0.06,-0.1,96070,5
0.79,0.32,11.07,0.26,0.04,-0.11,96071,5
0.79,0.33,11.07,0.25,0.14,-0.11,96072,5
0.78,0.34,11.05,0.24,0.24,-0.12,96073,5
0.78,0.35,11.04,0.23,0.34,-0.12,96074,5
0.77,0.36,11.02,0.21,0.44,-0.13,96075,5
0.76,0.37,11,0.2,0.53,-0.13,96076,5
0.74,0.38,10.98,0.18,0.62,-0.13,96077,5
0.73,0.38,10.94,0.16,0.71,-0.14,96078,5
0.71,0.39,10.91,0.14,0.79,-0.14,96079,5
0.68,0.4,10.86,0.13,0.87,-0.15,96080,5
0.66,0.4,10.83,0.11,0.94,-0.15,96081,5
0.63,0.4,10.79,0.09,1.01,-0.15,96082,5
0.59,0.41,10.75,0.07,1.07,-0.16,96083,5
0.56,0.41,10.69,0.05,1.12,-0.16,96084,5
0.51,0.4,10.64,0.03,1.16,-0.17,96085,5
0.47,0.4,10.59,0.01,1.2,-0.17,96086,5
0.43,0.4,10.55,0,1.23,-0.17,96087,5
0.39,0.4,10.49,-0.02,1.25,-0.18,96088,5
0.34,0.4,10.43,-0.03,1.26,-0.18,96089,5
0.3,0.39,10.38,-0.04,1.26,-0.18,96090,5
0.25,0.38,10.33,-0.06,1.25,-0.19,96091,5
0.21,0.37,10.28,-0.07,1.24,-0.19,96092,5
0.16,0.37,10.24,-0.08,1.22,-0.19,96093,5
0.12,0.35,10.19,-0.08,1.19,-0.2,96094,5
0.07,0.34,10.14,-0.09,1.15,-0.2,96095,5
0.03,0.34,10.11,-0.09,1.11,-0.21,96096,5
0,0.33,10.07,-0.1,1.06,-0.21,96097,5
-0.03,0.31,10.04,-0.1,1,-0.21,96098,5
-0.07,0.29,10.01,-0.1,0.94,-0.21,96099,5
-0.11,0.28,9.98,-0.1,0.87,-0.22,96100,5
-0.14,0.26,9.96,-0.1,0.8,-0.22,96101,5
-0.17,0.24,9.94,-0.09,0.72,-0.22,96102,5
-0.2,0.23,9.92,-0.09,0.64,-0.22,96103,5
-0.22,0.21,9.9,-0.08,0.56,-0.22,96104,5
-0.24,0.19,9.88,-0.07,0.47,-0.22,96105,5
-0.26,0.17,9.88,-0.07,0.38,-0.22,96106,5
-0.27,0.16,9.88,-0.06,0.29,-0.22,96107,5
-0.28,0.15,9.87,-0.05,0.2,-0.22,96108,5
-0.29,0.13,9.88,-0.03,0.1,-0.22,96109,5
-0.29,0.12,9.88,-0.02,-0.01,-0.22,96110,6
-0.29,0.11,9.9,0,-0.12,-0.22,96111,6
-0.28,0.09,9.92,0.01,-0.21,-0.21,96112,5
-0.26,0.08,9.95,0.02,-0.32,-0.21,96113,6
-0.25,0.08,9.97,0.04,-0.41,-0.21,96114,5
-0.23,0.06,10.01,0.06,-0.51,-0.2,96115,6
-0.21,0.06,10.04,0.07,-0.59,-0.2,96116,5
-0.18,0.05,10.07,0.08,-0.66,-0.2,96117,5
-0.16,0.05,10.1,0.1,-0.73,-0.19,96118,5
-0.12,0.04,10.15,0.11,-0.8,-0.19,96119,5
-0.09,0.04,10.19,0.12,-0.86,-0.18,96120,5
-0.06,0.05,10.25,0.13,-0.92,-0.18,96121,5
-0.03,0.05,10.3,0.14,-0.97,-0.18,96122,5
0.01,0.05,10.35,0.15,-1.01,-0.17,96123,5
0.05,0.06,10.39,0.16,-1.05,-0.17,96124,5
0.08,0.06,10.44,0.16,-1.07,-0.17,96125,5
0.12,0.07,10.49,0.17,-1.1,-0.16,96126,5
0.16,0.08,10.54,0.17,-1.11,-0.16,96127,5
0.2,0.1,10.59,0.18,-1.12,-0.16,96128,5
0.24,0.12,10.63,0.18,-1.12,-0.15,96129,5
0.28,0.13,10.68,0.18,-1.12,-0.15,96130,5
0.32,0.14,10.71,0.18,-1.1,-0.15,96131,5
0.36,0.16,10.75,0.17,-1.09,-0.15,96132,5
0.4,0.19,10.8,0.17,-1.06,-0.15,96133,6
0.44,0.21,10.83,0.16,-1.02,-0.15,96134,5
0.46,0.22,10.87,0.15,-0.99,-0.14,96135,5
0.5,0.24,10.9,0.14,-0.94,-0.14,96136,5
0.52,0.27,10.93,0.13,-0.89,-0.15,96137,5
0.55,0.28,10.95,0.12,-0.84,-0.15,96138,5
0.57,0.3,10.96,0.1,-0.79,-0.15,96139,5
0.59,0.31,10.96,0.09,-0.73,-0.15,96140,5
0.62,0.33,10.98,0.07,-0.66,-0.15,96141,5
0.63,0.35,10.98,0.05,-0.6,-0.16,96142,5
0.65,0.37,10.98,0.03,-0.53,-0.16,96143,5
0.66,0.38,10.97,0.01,-0.46,-0.16,96144,5
0.67,0.4,10.97,-0.02,-0.38,-0.17,96145,5
0.68,0.41,10.96,-0.04,-0.31,-0.17,96146,5
0.68,0.42,10.94,-0.06,-0.24,-0.18,96147,5
0.67,0.42,10.93,-0.09,-0.16,-0.18,96148,5
0.67,0.43,10.92,-0.12,-0.09,-0.18,96149,5
0.67,0.44,10.91,-0.14,-0.02,-0.19,96150,5
0.66,0.44,10.88,-0.17,0.06,-0.19,96151,5
0.64,0.44,10.85,-0.2,0.14,-0.2,96152,6
0.62,0.45,10.83,-0.23,0.21,-0.2,96153,5
0.6,0.44,10.8,-0.26,0.28,-0.21,96154,6
0.58,0.44,10.77,-0.29,0.34,-0.21,96155,5
0.56,0.43,10.74,-0.31,0.4,-0.21,96156,5
0.54,0.42,10.71,-0.34,0.46,-0.22,96157,5
0.51,0.41,10.68,-0.36,0.5,-0.22,96158,5
0.48,0.4,10.65,-0.38,0.55,-0.22,96159,5
0.45,0.38,10.62,-0.4,0.59,-0.22,96160,5
0.42,0.37,10.58,-0.42,0.62,-0.22,96161,5
0.39,0.35,10.55,-0.43,0.65,-0.22,96162,5
0.36,0.34,10.51,-0.44,0.67,-0.22,96163,5
0.33,0.32,10.47,-0.45,0.69,-0.22,96164,5
0.29,0.3,10.43,-0.46,0.7,-0.22,96165,5
0.25,0.28,10.39,-0.47,0.7,-0.22,96166,5
0.21,0.26,10.35,-0.47,0.7,-0.22,96167,5
0.16,0.23,10.3,-0.47,0.69,-0.22,96168,7
0.13,0.21,10.27,-0.47,0.67,-0.21,96169,5
0.1,0.2,10.24,-0.46,0.65,-0.21,96170,5
0.07,0.18,10.22,-0.46,0.63,-0.21,96171,5
0.04,0.17,10.2,-0.45,0.6,-0.2,96172,5
0.02,0.15,10.18,-0.44,0.56,-0.2,96173,5
-0.01,0.13,10.16,-0.43,0.53,-0.19,96174,5
-0.03,0.11,10.15,-0.41,0.49,-0.19,96175,5
-0.05,0.1,10.13,-0.39,0.45,-0.18,96176,5
-0.07,0.09,10.12,-0.38,0.4,-0.18,96177,5
-0.08,0.08,10.12,-0.36,0.36,-0.17,96178,5
-0.09,0.07,10.11,-0.34,0.31,-0.16,96179,5
-0.1,0.06,10.1,-0.31,0.26,-0.16,96180,5
-0.11,0.05,10.1,-0.29,0.21,-0.15,96181,5
-0.11,0.04,10.1,-0.27,0.16,-0.15,96182,5
