ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.19,0.13,10.65,-0.04,-0.18,-0.37,109009,5
0.2,0.12,10.65,-0.03,-0.18,-0.36,109010,5
0.21,0.12,10.65,-0.02,-0.17,-0.35,109011,5
0.21,0.11,10.64,-0.01,-0.17,-0.34,109012,5
0.21,0.11,10.63,0,-0.16,-0.33,109013,5
0.22,0.11,10.63,0.01,-0.15,-0.33,109014,5
0.22,0.1,10.62,0.02,-0.15,-0.32,109015,5
0.23,0.1,10.61,0.03,-0.14,-0.31,109016,5
0.23,0.1,10.61,0.04,-0.13,-0.3,109017,5
0.23,0.1,10.6,0.06,-0.11,-0.29,109018,6
0.23,0.1,10.59,0.07,-0.1,-0.28,109019,5
0.23,0.1,10.57,0.08,-0.09,-0.27,109020,5
0.24,0.11,10.56,0.09,-0.08,-0.26,109021,5
0.24,0.11,10.55,0.11,-0.06,-0.25,109022,5
0.24,0.11,10.54,0.12,-0.05,-0.24,109023,5
0.25,0.11,10.53,0.13,-0.04,-0.24,109024,5
0.25,0.11,10.52,0.14,-0.02,-0.23,109025,5
0.25,0.12,10.5,0.15,-0.01,-0.22,109026,5
0.26,0.13,10.48,0.17,0,-0.21,109027,5
0.26,0.13,10.46,0.18,0.02,-0.21,109028,5
0.27,0.14,10.43,0.19,0.03,-0.2,109029,5
0.27,0.15,10.41,0.2,0.05,-0.19,109030,5
0.27,0.15,10.38,0.21,0.06,-0.19,109031,5
0.27,0.16,10.36,0.22,0.07,-0.18,109032,5
0.27,0.17,10.33,0.23,0.08,-0.18,109033,5
0.27,0.17,10.31,0.24,0.09,-0.17,109034,5
0.27,0.18,10.29,0.24,0.11,-0.17,109035,5
0.27,0.19,10.28,0.25,0.12,-0.17,109036,5
0.27,0.2,10.26,0.26,0.13,-0.17,109037,5
0.27,0.21,10.24,0.26,0.14,-0.17,109038,5
0.27,0.21,10.23,0.27,0.15,-0.16,109039,5
0.28,0.21,10.2,0.27,0.16,-0.16,109040,5
0.28,0.22,10.18,0.28,0.17,-0.16,109041,5
0.29,0.23,10.16,0.28,0.18,-0.17,109042,5
0.29,0.24,10.14,0.28,0.19,-0.17,109043,5
0.29,0.24,10.12,0.29,0.19,-0.17,109044,5
0.29,0.26,10.08,0.29,0.2,-0.17,109045,5
0.29,0.26,10.06,0.29,0.21,-0.18,109046,5
0.28,0.27,10.03,0.29,0.21,-0.18,109047,4
0.28,0.27,10,0.29,0.22,-0.19,109048,5
0.28,0.28,9.97,0.29,0.22,-0.19,109049,5
0.27,0.29,9.95,0.29,0.22,-0.2,109050,5
0.26,0.3,9.92,0.29,0.22,-0.21,109051,5
0.26,0.3,9.9,0.29,0.22,-0.22,109052,5
0.26,0.31,9.87,0.29,0.22,-0.23,109053,5
0.26,0.32,9.84,0.29,0.21,-0.24,109054,5
0.26,0.33,9.81,0.29,0.2,-0.25,109055,5
0.26,0.33,9.77,0.29,0.2,-0.27,109056,5
0.25,0.34,9.74,0.29,0.18,-0.28,109057,5
0.25,0.34,9.71,0.29,0.17,-0.3,109058,5
0.25,0.35,9.67,0.29,0.15,-0.31,109059,5
0.25,0.36,9.66,0.29,0.14,-0.33,109060,5
0.24,0.36,9.62,0.29,0.12,-0.35,109061,5
0.24,0.37,9.57,0.29,0.09,-0.37,109062,5
0.24,0.38,9.54,0.29,0.07,-0.39,109063,5
0.23,0.38,9.5,0.29,0.03,-0.42,109064,6
0.23,0.39,9.47,0.29,0,-0.44,109065,5
0.22,0.39,9.44,0.29,-0.03,-0.46,109066,5
0.22,0.4,9.42,0.28,-0.07,-0.48,109067,5
0.21,0.41,9.4,0.28,-0.11,-0.51,109068,5
0.21,0.42,9.39,0.28,-0.15,-0.53,109069,5
0.21,0.42,9.39,0.27,-0.19,-0.55,109070,5
0.2,0.43,9.38,0.26,-0.23,-0.58,109071,5
0.2,0.44,9.38,0.25,-0.27,-0.6,109072,5
0.21,0.45,9.4,0.24,-0.32,-0.63,109073,5
0.21,0.45,9.42,0.23,-0.36,-0.65,109074,5
0.21,0.47,9.45,0.21,-0.4,-0.68,109075,5
0.22,0.48,9.48,0.19,-0.44,-0.7,109076,5
0.22,0.49,9.52,0.17,-0.48,-0.72,109077,5
0.21,0.49,9.57,0.15,-0.52,-0.75,109078,5
0.22,0.5,9.64,0.12,-0.56,-0.77,109079,5
0.22,0.5,9.72,0.09,-0.59,-0.79,109080,5
0.23,0.51,9.8,0.06,-0.61,-0.81,109081,5
0.26,0.5,9.91,0.02,-0.63,-0.83,109082,5
0.27,0.51,10.01,-0.02,-0.65,-0.85,109083,5
0.29,0.51,10.11,-0.06,-0.66,-0.87,109084,5
