ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.17,0.21,10.43,0.01,-0.06,-0.03,166456,5
0.18,0.21,10.44,0.01,-0.06,-0.03,166457,5
0.18,0.21,10.44,0.01,-0.06,-0.02,166458,5
0.17,0.21,10.44,0.01,-0.05,-0.02,166459,5
0.17,0.21,10.44,0.01,-0.05,-0.02,166460,5
0.17,0.22,10.43,0.01,-0.05,-0.02,166461,5
0.18,0.23,10.43,0.01,-0.05,-0.02,166462,5
0.18,0.22,10.44,0.01,-0.05,-0.02,166463,5
0.19,0.22,10.44,0.01,-0.06,-0.02,166464,5
0.19,0.22,10.44,0.01,-0.06,-0.03,166465,5
0.19,0.22,10.44,0.01,-0.06,-0.03,166466,5
0.19,0.22,10.43,0.01,-0.06,-0.03,166467,5
0.19,0.23,10.44,0.01,-0.06,-0.03,166468,5
0.18,0.23,10.44,0.01,-0.06,-0.03,166469,5
0.19,0.23,10.44,0.01,-0.06,-0.03,166470,5
0.19,0.23,10.44,0.01,-0.06,-0.03,166471,5
0.18,0.23,10.44,0.01,-0.06,-0.03,166472,5
0.18,0.23,10.44,0.01,-0.06,-0.03,166473,5
0.18,0.23,10.44,0.01,-0.05,-0.03,166474,5
0.18,0.23,10.45,0.01,-0.05,-0.03,166475,5
0.17,0.23,10.44,0.01,-0.05,-0.03,166476,5
0.17,0.24,10.45,0.01,-0.05,-0.03,166477,5
0.16,0.24,10.45,0.01,-0.05,-0.02,166478,5
0.16,0.24,10.45,0.01,-0.05,-0.02,166479,5
0.14,0.24,10.45,0.01,-0.05,-0.02,166480,5
0.13,0.24,10.44,0.01,-0.04,-0.02,166481,5
0.12,0.23,10.45,0.01,-0.04,-0.01,166482,5
0.11,0.23,10.45,0.01,-0.04,-0.01,166483,5
0.1,0.23,10.45,0.01,-0.04,0,166484,5
0.09,0.23,10.45,0.01,-0.03,0,166485,5
0.08,0.23,10.45,0.01,-0.03,0,166486,5
0.08,0.23,10.45,0.01,-0.03,0.01,166487,5
0.08,0.24,10.45,0,-0.03,0.01,166488,5
0.09,0.24,10.45,0,-0.02,0.02,166489,5
0.09,0.24,10.44,0,-0.02,0.02,166490,5
0.1,0.24,10.44,0,-0.02,0.02,166491,5
0.11,0.24,10.44,-0.01,-0.01,0.03,166492,5
0.13,0.25,10.44,-0.01,-0.01,0.03,166493,5
0.14,0.24,10.44,-0.01,-0.01,0.03,166494,5
0.15,0.23,10.43,-0.01,0,0.03,166495,5
0.17,0.22,10.43,-0.01,0,0.03,166496,5
0.18,0.21,10.43,-0.01,0,0.03,166497,5
0.19,0.2,10.43,-0.01,0,0.03,166498,5
0.21,0.19,10.43,-0.01,0,0.02,166499,4
0.22,0.19,10.43,-0.01,0,0.02,166500,4
0.23,0.18,10.43,-0.01,0.01,0.02,166501,5
0.24,0.18,10.43,-0.01,0.01,0.02,166502,5
0.25,0.18,10.43,-0.01,0.01,0.02,166503,5
0.26,0.18,10.44,-0.01,0,0.01,166504,4
0.28,0.18,10.44,-0.01,0,0.01,166505,5
0.3,0.17,10.42,0,-0.01,-0.03,166506,45
0.31,0.17,10.42,0,-0.01,-0.03,166507,5
0.31,0.17,10.42,0,-0.02,-0.04,166508,6
0.31,0.17,10.41,0,-0.02,-0.04,166509,5
0.31,0.17,10.41,0,-0.02,-0.04,166510,5
0.3,0.18,10.41,0,-0.03,-0.05,166511,5
0.3,0.18,10.41,0,-0.03,-0.05,166512,5
0.3,0.17,10.4,0,-0.04,-0.05,166513,6
0.3,0.17,10.4,0,-0.04,-0.06,166514,6
0.3,0.16,10.4,0.01,-0.05,-0.06,166515,5
0.3,0.16,10.39,0.01,-0.06,-0.06,166516,5
0.3,0.15,10.39,0.01,-0.06,-0.06,166517,5
0.29,0.16,10.38,0.01,-0.07,-0.06,166518,5
0.28,0.16,10.38,0.01,-0.07,-0.06,166519,5
0.28,0.17,10.39,0.01,-0.07,-0.06,166520,5
0.28,0.17,10.39,0,-0.08,-0.06,166521,5
0.27,0.17,10.4,0,-0.08,-0.06,166522,5
0.26,0.17,10.41,0,-0.08,-0.06,166523,5
0.26,0.17,10.42,0,-0.08,-0.06,166524,5
0.25,0.16,10.42,0,-0.08,-0.05,166525,5
0.24,0.16,10.43,0,-0.08,-0.05,166526,5
0.23,0.15,10.43,0,-0.07,-0.05,166527,5
0.22,0.14,10.44,0,-0.07,-0.04,166528,5
0.21,0.14,10.45,0,-0.06,-0.04,166529,5
0.22,0.15,10.46,0,-0.06,-0.03,166530,5
0.22,0.15,10.46,0,-0.05,-0.03,166531,5
0.22,0.16,10.47,-0.01,-0.04,-0.02,166532,5
0.23,0.16,10.47,-0.01,-0.04,-0.02,166533,5
0.24,0.17,10.47,-0.01,-0.03,-0.01,166534,5
0.25,0.17,10.47,-0.01,-0.02,-0.01,166535,5
0.25,0.17,10.47,-0.01,-0.01,-0.01,166536,5
0.26,0.18,10.47,-0.01,0,-0.01,166537,5
0.27,0.17,10.47,-0.01,0,0,166538,5
0.28,0.17,10.48,-0.01,0.01,0,166539,5
0.28,0.18,10.47,0,0.02,0,166540,5
0.3,0.18,10.47,0,0.02,-0.01,166541,5
0.3,0.18,10.47,0,0.03,-0.01,166542,5
0.31,0.18,10.45,0,0.03,-0.01,166543,6
0.31,0.18,10.44,0,0.03,-0.01,166544,5
0.31,0.19,10.44,0.01,0.03,-0.02,166545,5
0.32,0.2,10.44,0.01,0.04,-0.02,166546,5
0.32,0.2,10.43,0.01,0.04,-0.02,166547,5
0.33,0.21,10.42,0.02,0.04,-0.03,166548,5
