ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.14,0.28,10.47,0.01,-0.02,-0.02,188626,5
0.14,0.28,10.47,0.01,-0.02,-0.02,188627,5
0.13,0.28,10.47,0.01,-0.02,-0.02,188628,6
0.13,0.28,10.47,0.01,-0.02,-0.02,188629,5
0.13,0.28,10.46,0.01,-0.02,-0.02,188630,5
0.13,0.28,10.46,0.01,-0.02,-0.02,188631,5
0.14,0.28,10.46,0.01,-0.02,-0.02,188632,4
0.14,0.28,10.46,0.01,-0.02,-0.02,188633,5
0.14,0.28,10.45,0.01,-0.02,-0.02,188634,5
0.14,0.28,10.45,0.01,-0.02,-0.02,188635,5
0.13,0.28,10.46,0,-0.02,-0.02,188636,5
0.14,0.28,10.46,0,-0.02,-0.02,188637,5
0.14,0.28,10.45,0,-0.02,-0.02,188638,5
0.14,0.28,10.46,0,-0.02,-0.02,188639,5
0.15,0.28,10.45,0,-0.02,-0.02,188640,5
0.15,0.28,10.46,0,-0.02,-0.02,188641,5
0.15,0.27,10.45,0,-0.02,-0.02,188642,5
0.15,0.27,10.45,0,-0.02,-0.02,188643,5
0.14,0.27,10.45,0,-0.02,-0.02,188644,5
0.14,0.27,10.45,0,-0.02,-0.02,188645,5
0.14,0.27,10.45,0,-0.02,-0.02,188646,5
0.13,0.27,10.45,0,-0.02,-0.02,188647,5
0.13,0.27,10.45,0,-0.02,-0.02,188648,5
0.14,0.27,10.45,0,-0.02,-0.02,188649,5
0.14,0.27,10.45,0,-0.02,-0.02,188650,5
0.14,0.27,10.45,0,-0.02,-0.02,188651,5
0.14,0.27,10.45,0.01,-0.02,-0.02,188652,5
0.14,0.27,10.44,0.01,-0.02,-0.02,188653,5
0.14,0.27,10.44,0.01,-0.02,-0.02,188654,5
0.15,0.26,10.44,0.01,-0.02,-0.02,188655,6
0.14,0.27,10.44,0.01,-0.02,-0.02,188656,6
0.14,0.27,10.44,0.01,-0.02,-0.02,188657,7
0.14,0.26,10.43,0.01,-0.02,-0.02,188658,5
0.14,0.26,10.43,0.01,-0.02,-0.02,188659,5
0.14,0.26,10.43,0.01,-0.02,-0.02,188660,6
0.14,0.26,10.44,0.01,-0.02,-0.02,188661,5
0.14,0.26,10.43,0.01,-0.01,-0.02,188662,5
0.14,0.26,10.43,0.01,-0.01,-0.02,188663,5
0.14,0.26,10.43,0.01,-0.01,-0.02,188664,5
0.14,0.26,10.43,0.01,-0.01,-0.02,188665,5
0.15,0.27,10.43,0.01,-0.01,-0.02,188666,5
0.15,0.26,10.43,0.01,-0.01,-0.02,188667,5
0.15,0.26,10.43,0.01,-0.01,-0.02,188668,5
0.14,0.26,10.42,0.01,-0.01,-0.02,188669,5
0.14,0.26,10.42,0.01,-0.01,-0.02,188670,6
0.15,0.26,10.41,0.02,-0.01,-0.02,188671,5
0.15,0.26,10.41,0.02,-0.01,-0.02,188672,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188673,5
0.14,0.26,10.4,0.02,-0.01,-0.02,188674,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188675,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188676,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188677,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188678,5
0.15,0.26,10.41,0.02,-0.01,-0.02,188679,5
0.15,0.26,10.4,0.02,-0.01,-0.02,188680,5
0.15,0.27,10.4,0.02,-0.01,-0.02,188681,5
