ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
2.35,8.65,-1.79,0.29,-0.46,-0.23,248675,5
2.31,8.64,-1.85,0.3,-0.52,-0.21,248676,5
2.1,8.6,-2.41,0.42,-0.88,0.08,248677,59
2.12,8.62,-2.44,0.41,-0.88,0.12,248678,6
2.13,8.65,-2.47,0.41,-0.86,0.16,248679,5
2.15,8.67,-2.49,0.39,-0.84,0.19,248680,5
2.18,8.7,-2.51,0.38,-0.81,0.23,248681,5
2.21,8.72,-2.53,0.36,-0.78,0.26,248682,5
2.23,8.74,-2.55,0.34,-0.74,0.3,248683,5
2.27,8.77,-2.56,0.32,-0.69,0.33,248684,5
2.31,8.8,-2.56,0.29,-0.64,0.37,248685,5
2.35,8.84,-2.58,0.27,-0.59,0.41,248686,5
2.4,8.89,-2.59,0.24,-0.53,0.44,248687,5
2.44,8.92,-2.6,0.22,-0.46,0.46,248688,5
2.47,8.94,-2.61,0.2,-0.41,0.49,248689,5
2.52,8.98,-2.61,0.18,-0.35,0.51,248690,5
2.56,9,-2.62,0.17,-0.28,0.53,248691,5
2.59,9.01,-2.64,0.17,-0.23,0.54,248692,5
2.63,9.04,-2.65,0.17,-0.17,0.55,248693,5
2.7,9.09,-2.65,0.17,-0.12,0.56,248694,5
2.75,9.13,-2.66,0.17,-0.07,0.55,248695,5
2.79,9.16,-2.68,0.18,-0.02,0.54,248696,5
2.85,9.17,-2.71,0.18,0.03,0.54,248697,5
2.93,9.2,-2.73,0.18,0.07,0.54,248698,5
3,9.24,-2.75,0.19,0.11,0.53,248699,5
3.08,9.29,-2.77,0.19,0.16,0.51,248700,5
3.15,9.31,-2.82,0.19,0.2,0.49,248701,5
3.21,9.31,-2.84,0.19,0.23,0.48,248702,5
3.32,9.33,-2.88,0.19,0.27,0.46,248703,6
3.41,9.36,-2.92,0.2,0.3,0.44,248704,5
3.5,9.39,-2.96,0.2,0.33,0.42,248705,5
3.58,9.42,-3,0.2,0.36,0.4,248706,5
3.68,9.46,-3.04,0.19,0.39,0.38,248707,5
3.78,9.5,-3.09,0.19,0.42,0.35,248708,5
3.84,9.48,-3.15,0.18,0.45,0.33,248709,5
3.92,9.48,-3.2,0.18,0.47,0.31,248710,5
4.02,9.5,-3.24,0.17,0.49,0.29,248711,5
4.13,9.53,-3.3,0.16,0.51,0.26,248712,5
4.23,9.54,-3.38,0.15,0.54,0.22,248713,6
4.31,9.54,-3.43,0.13,0.55,0.2,248714,5
4.41,9.54,-3.49,0.12,0.56,0.17,248715,6
4.49,9.53,-3.55,0.11,0.57,0.14,248716,5
4.55,9.52,-3.61,0.1,0.58,0.11,248717,5
4.62,9.51,-3.65,0.08,0.58,0.08,248718,5
4.7,9.5,-3.69,0.07,0.57,0.05,248719,5
4.75,9.5,-3.73,0.07,0.56,0.02,248720,5
4.8,9.5,-3.76,0.06,0.55,-0.01,248721,5
4.84,9.5,-3.79,0.05,0.53,-0.04,248722,5
4.88,9.48,-3.82,0.05,0.51,-0.07,248723,5
4.92,9.45,-3.86,0.05,0.48,-0.11,248724,5
4.94,9.42,-3.88,0.06,0.45,-0.14,248725,5
4.96,9.39,-3.9,0.06,0.41,-0.18,248726,5
