ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
2.75,8.88,-1.45,-0.16,0.33,0.03,273618,5
2.74,8.92,-1.39,-0.16,0.34,0.03,273619,5
2.74,8.95,-1.33,-0.17,0.34,0.03,273620,5
2.75,8.97,-1.27,-0.17,0.34,0.03,273621,5
2.77,9,-1.21,-0.17,0.35,0.04,273622,5
2.78,9.03,-1.16,-0.17,0.35,0.04,273623,5
2.8,9.06,-1.11,-0.16,0.35,0.03,273624,5
2.8,9.07,-1.07,-0.16,0.36,0.03,273625,5
2.82,9.08,-1.04,-0.16,0.36,0.03,273626,5
2.85,9.1,-0.99,-0.15,0.35,0.03,273627,5
2.86,9.11,-0.96,-0.15,0.36,0.02,273628,5
2.87,9.12,-0.93,-0.15,0.36,0.02,273629,5
2.89,9.16,-0.9,-0.15,0.36,0.03,273630,5
2.91,9.18,-0.87,-0.14,0.37,0.02,273631,5
2.91,9.19,-0.85,-0.14,0.37,0.01,273632,5
2.88,9.18,-0.85,-0.13,0.37,0,273633,5
2.88,9.18,-0.84,-0.12,0.37,0,273634,5
2.86,9.18,-0.83,-0.11,0.36,-0.01,273635,5
2.84,9.19,-0.83,-0.09,0.35,-0.03,273636,5
2.82,9.2,-0.84,-0.07,0.34,-0.04,273637,5
2.81,9.22,-0.84,-0.05,0.32,-0.05,273638,5
2.79,9.23,-0.84,-0.02,0.3,-0.07,273639,6
2.77,9.27,-0.85,0,0.28,-0.09,273640,5
2.75,9.29,-0.85,0.03,0.25,-0.1,273641,5
2.73,9.31,-0.86,0.06,0.23,-0.12,273642,5
2.72,9.33,-0.86,0.09,0.21,-0.14,273643,5
2.71,9.36,-0.87,0.13,0.18,-0.15,273644,5
2.69,9.39,-0.89,0.16,0.16,-0.17,273645,5
2.68,9.42,-0.89,0.19,0.14,-0.18,273646,5
2.67,9.45,-0.89,0.23,0.11,-0.2,273647,6
2.68,9.48,-0.91,0.26,0.09,-0.21,273648,5
2.68,9.5,-0.92,0.28,0.08,-0.21,273649,5
2.68,9.54,-0.93,0.3,0.07,-0.21,273650,5
2.7,9.57,-0.95,0.32,0.06,-0.21,273651,5
2.72,9.6,-0.97,0.33,0.06,-0.2,273652,5
2.74,9.63,-1,0.34,0.06,-0.19,273653,5
2.76,9.65,-1.03,0.34,0.07,-0.17,273654,5
2.79,9.69,-1.06,0.34,0.07,-0.15,273655,5
2.81,9.73,-1.09,0.34,0.09,-0.13,273656,5
2.81,9.76,-1.14,0.34,0.11,-0.11,273657,5
2.79,9.77,-1.19,0.34,0.12,-0.09,273658,5
2.78,9.76,-1.25,0.34,0.14,-0.07,273659,5
2.76,9.75,-1.3,0.34,0.15,-0.05,273660,5
2.76,9.76,-1.37,0.34,0.17,-0.03,273661,5
2.74,9.76,-1.47,0.35,0.18,-0.02,273662,6
2.74,9.74,-1.56,0.35,0.19,-0.01,273663,5
2.74,9.73,-1.65,0.34,0.2,0.01,273664,5
2.74,9.72,-1.75,0.33,0.21,0.02,273665,5
2.75,9.72,-1.85,0.31,0.22,0.03,273666,5
2.77,9.71,-1.96,0.29,0.22,0.05,273667,5
2.77,9.67,-2.07,0.26,0.23,0.07,273668,5
2.78,9.64,-2.19,0.22,0.23,0.08,273669,5
2.8,9.59,-2.31,0.19,0.23,0.1,273670,5
2.83,9.55,-2.42,0.16,0.22,0.12,273671,5
2.85,9.5,-2.54,0.12,0.22,0.14,273672,5
2.89,9.46,-2.65,0.1,0.2,0.15,273673,5
2.93,9.42,-2.74,0.07,0.18,0.16,273674,5
2.99,9.38,-2.83,0.06,0.16,0.17,273675,5
3.04,9.32,-2.92,0.05,0.13,0.17,273676,5
3.09,9.26,-3.01,0.04,0.1,0.17,273677,5
3.15,9.2,-3.08,0.04,0.07,0.17,273678,5
3.25,9.17,-3.14,0.05,0.03,0.17,273679,5
3.32,9.14,-3.2,0.06,0,0.16,273680,5
3.39,9.1,-3.26,0.07,-0.04,0.14,273681,5
3.47,9.05,-3.31,0.08,-0.08,0.13,273682,5
3.58,9.01,-3.36,0.1,-0.13,0.12,273683,6
3.67,8.99,-3.4,0.12,-0.17,0.11,273684,5
3.74,8.94,-3.46,0.14,-0.21,0.09,273685,6
3.82,8.9,-3.49,0.15,-0.25,0.08,273686,5
3.89,8.86,-3.52,0.16,-0.28,0.06,273687,5
3.96,8.83,-3.55,0.18,-0.31,0.05,273688,5
4.02,8.79,-3.58,0.18,-0.34,0.04,273689,5
4.07,8.76,-3.61,0.19,-0.37,0.03,273690,5
4.13,8.73,-3.62,0.18,-0.39,0.02,273691,5
4.18,8.69,-3.65,0.18,-0.41,0.01,273692,5
4.21,8.65,-3.68,0.17,-0.43,0,273693,5
4.24,8.62,-3.7,0.16,-0.45,0,273694,5
4.27,8.59,-3.72,0.15,-0.46,0,273695,5
4.29,8.57,-3.74,0.13,-0.47,-0.01,273696,5
4.3,8.54,-3.75,0.12,-0.48,-0.01,273697,5
4.28,8.52,-3.75,0.1,-0.49,-0.02,273698,5
4.26,8.48,-3.76,0.07,-0.49,-0.02,273699,5
4.23,8.46,-3.75,0.05,-0.5,-0.03,273700,5
4.19,8.43,-3.74,0.03,-0.51,-0.03,273701,5
4.13,8.42,-3.73,0.01,-0.52,-0.04,273702,5
4.08,8.4,-3.73,-0.02,-0.53,-0.04,273703,5
4.02,8.39,-3.71,-0.04,-0.54,-0.05,273704,5
3.96,8.38,-3.68,-0.06,-0.55,-0.05,273705,5
3.9,8.37,-3.66,-0.08,-0.56,-0.07,273706,5
3.81,8.33,-3.63,-0.11,-0.57,-0.07,273707,6
3.75,8.32,-3.6,-0.13,-0.58,-0.07,273708,5
3.71,8.34,-3.55,-0.15,-0.59,-0.07,273709,5
3.66,8.37,-3.51,-0.17,-0.58,-0.07,273710,5
3.59,8.39,-3.45,-0.21,-0.58,-0.07,273711,6
3.56,8.42,-3.39,-0.24,-0.56,-0.07,273712,5
3.51,8.44,-3.32,-0.28,-0.55,-0.06,273713,5
3.45,8.47,-3.22,-0.32,-0.51,-0.05,273714,6
3.37,8.5,-3.11,-0.37,-0.48,-0.04,273715,6
3.32,8.52,-3,-0.4,-0.44,-0.03,273716,5
3.26,8.56,-2.86,-0.44,-0.39,-0.02,273717,6
3.2,8.59,-2.73,-0.47,-0.34,-0.01,273718,5
3.15,8.64,-2.59,-0.49,-0.29,-0.01,273719,5
3.11,8.69,-2.45,-0.52,-0.24,0,273720,5
3.06,8.73,-2.31,-0.54,-0.18,0,273721,5
3.01,8.77,-2.15,-0.57,-0.12,0.01,273722,5
2.97,8.8,-2,-0.59,-0.05,0.01,273723,5
2.94,8.83,-1.83,-0.62,0.01,0.02,273724,5
2.91,8.88,-1.65,-0.64,0.08,0.02,273725,5
2.85,8.89,-1.48,-0.66,0.15,0.02,273726,5
2.82,8.89,-1.34,-0.67,0.22,0.02,273727,5
2.78,8.89,-1.18,-0.69,0.28,0.02,273728,5
2.76,8.9,-1.01,-0.69,0.34,0.03,273729,5
2.74,8.92,-0.85,-0.7,0.4,0.03,273730,5
2.72,8.91,-0.71,-0.7,0.46,0.02,273731,5
2.69,8.89,-0.57,-0.7,0.52,0.02,273732,5
2.67,8.88,-0.43,-0.69,0.57,0.02,273733,5
2.66,8.87,-0.29,-0.68,0.62,0.02,273734,5
3.67,8.88,-3.93,-0.21,-0.85,-0.07,273735,356
3.65,8.8,-3.91,-0.25,-0.87,-0.09,273736,6
3.62,8.71,-3.89,-0.28,-0.88,-0.1,273737,5
3.61,8.63,-3.86,-0.31,-0.89,-0.1,273738,5
3.59,8.54,-3.82,-0.34,-0.89,-0.11,273739,6
3.57,8.47,-3.77,-0.37,-0.88,-0.11,273740,6
3.56,8.4,-3.72,-0.4,-0.88,-0.12,273741,5
3.53,8.33,-3.67,-0.42,-0.86,-0.13,273742,5
3.52,8.28,-3.61,-0.44,-0.85,-0.13,273743,5
3.51,8.22,-3.53,-0.45,-0.82,-0.13,273744,6
3.49,8.19,-3.46,-0.46,-0.79,-0.14,273745,5
3.47,8.14,-3.39,-0.47,-0.76,-0.14,273746,5
3.45,8.09,-3.32,-0.47,-0.73,-0.14,273747,5
3.44,8.06,-3.25,-0.48,-0.69,-0.15,273748,5
3.42,8.03,-3.18,-0.47,-0.65,-0.15,273749,5
3.39,8,-3.11,-0.47,-0.6,-0.15,273750,5
3.37,7.97,-3.03,-0.47,-0.55,-0.14,273751,5
3.35,7.95,-2.95,-0.47,-0.5,-0.14,273752,5
3.32,7.94,-2.87,-0.46,-0.45,-0.14,273753,5
3.29,7.92,-2.8,-0.46,-0.39,-0.14,273754,5
3.27,7.92,-2.72,-0.45,-0.34,-0.13,273755,5
3.23,7.92,-2.65,-0.44,-0.28,-0.12,273756,5
3.2,7.92,-2.58,-0.43,-0.23,-0.12,273757,5
3.17,7.92,-2.51,-0.42,-0.18,-0.12,273758,5
3.14,7.93,-2.45,-0.4,-0.13,-0.11,273759,5
3.11,7.94,-2.39,-0.38,-0.08,-0.11,273760,5
3.09,7.96,-2.33,-0.36,-0.03,-0.11,273761,5
3.06,7.98,-2.27,-0.34,0.01,-0.11,273762,5
