ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
5.87,8.72,-3.09,-0.57,-1.04,0.06,460230,5
5.85,8.63,-3.02,-0.62,-1.03,0.05,460231,5
5.82,8.53,-2.95,-0.67,-1.01,0.04,460232,5
5.77,8.44,-2.86,-0.73,-0.99,0.03,460233,5
5.73,8.35,-2.77,-0.77,-0.96,0.02,460234,5
5.47,7.99,-2.29,-0.97,-0.8,-0.01,460235,22
5.4,7.92,-2.16,-1,-0.76,-0.02,460236,5
5.15,7.71,-1.69,-1.09,-0.59,-0.06,460237,17
4.72,7.41,-0.64,-1.08,-0.19,-0.16,460238,34
4.62,7.37,-0.42,-1.06,-0.1,-0.18,460239,7
4.56,7.34,-0.26,-1.03,-0.03,-0.19,460240,5
4.49,7.3,-0.11,-1,0.03,-0.21,460241,5
4.42,7.27,0.05,-0.96,0.1,-0.22,460242,5
4.36,7.24,0.19,-0.92,0.17,-0.24,460243,5
4.29,7.2,0.34,-0.87,0.24,-0.25,460244,5
4.23,7.16,0.48,-0.82,0.3,-0.26,460245,5
4.16,7.13,0.61,-0.77,0.37,-0.27,460246,5
4.1,7.11,0.74,-0.71,0.44,-0.28,460247,5
4.02,7.09,0.86,-0.65,0.5,-0.28,460248,5
3.94,7.08,0.95,-0.59,0.56,-0.28,460249,5
3.85,7.07,1.03,-0.53,0.62,-0.28,460250,5
3.76,7.07,1.09,-0.47,0.67,-0.27,460251,5
3.67,7.08,1.14,-0.41,0.71,-0.26,460252,5
3.57,7.09,1.17,-0.34,0.74,-0.26,460253,5
3.49,7.12,1.19,-0.27,0.76,-0.25,460254,5
3.43,7.17,1.22,-0.2,0.77,-0.24,460255,5
3.38,7.23,1.25,-0.12,0.77,-0.23,460256,5
3.34,7.31,1.28,-0.04,0.77,-0.22,460257,5
3.32,7.4,1.31,0.03,0.76,-0.21,460258,5
3.33,7.52,1.34,0.12,0.74,-0.19,460259,6
3.34,7.63,1.37,0.2,0.73,-0.18,460260,5
3.37,7.75,1.39,0.27,0.71,-0.17,460261,5
