ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
3.42,8.91,-1.83,0.13,0.61,0.26,139276,5
3.45,8.9,-1.83,0.12,0.62,0.25,139277,5
3.47,8.88,-1.83,0.12,0.62,0.24,139278,5
3.5,8.88,-1.84,0.11,0.62,0.23,139279,5
3.53,8.87,-1.85,0.1,0.63,0.22,139280,5
3.56,8.85,-1.83,0.09,0.63,0.22,139281,5
3.58,8.85,-1.83,0.08,0.63,0.21,139282,5
3.61,8.84,-1.84,0.07,0.63,0.2,139283,5
3.64,8.83,-1.85,0.06,0.64,0.2,139284,5
3.67,8.83,-1.85,0.05,0.64,0.19,139285,5
3.69,8.81,-1.84,0.04,0.64,0.18,139286,5
3.72,8.8,-1.84,0.03,0.64,0.17,139287,5
3.75,8.8,-1.84,0.02,0.64,0.16,139288,5
3.77,8.79,-1.84,0.01,0.63,0.16,139289,5
3.8,8.78,-1.84,0,0.62,0.14,139290,7
3.82,8.77,-1.85,0,0.61,0.13,139291,5
3.84,8.76,-1.85,-0.01,0.6,0.12,139292,5
3.86,8.76,-1.87,0,0.58,0.1,139293,6
3.89,8.75,-1.87,0,0.56,0.09,139294,5
3.9,8.75,-1.89,0.01,0.54,0.07,139295,6
3.92,8.76,-1.9,0.02,0.51,0.05,139296,5
3.94,8.77,-1.92,0.04,0.48,0.04,139297,5
3.96,8.78,-1.93,0.05,0.45,0.02,139298,5
3.96,8.79,-1.95,0.07,0.41,-0.01,139299,6
3.98,8.8,-1.97,0.08,0.37,-0.03,139300,5
3.98,8.82,-1.99,0.1,0.32,-0.05,139301,6
3.99,8.84,-2.01,0.11,0.28,-0.07,139302,5
3.99,8.86,-2.03,0.13,0.23,-0.08,139303,5
3.99,8.88,-2.05,0.13,0.19,-0.1,139304,5
3.99,8.9,-2.06,0.14,0.14,-0.12,139305,5
3.99,8.92,-2.08,0.15,0.09,-0.13,139306,5
3.99,8.95,-2.1,0.15,0.05,-0.15,139307,5
3.98,8.97,-2.12,0.15,0,-0.16,139308,5
3.98,9,-2.13,0.14,-0.05,-0.17,139309,5
3.98,9.02,-2.14,0.14,-0.09,-0.18,139310,5
3.97,9.05,-2.15,0.13,-0.14,-0.19,139311,5
3.97,9.07,-2.15,0.12,-0.18,-0.2,139312,5
3.96,9.1,-2.16,0.11,-0.22,-0.21,139313,5
3.96,9.12,-2.15,0.09,-0.26,-0.22,139314,5
3.96,9.14,-2.15,0.08,-0.29,-0.22,139315,5
3.96,9.17,-2.14,0.07,-0.33,-0.23,139316,5
3.95,9.18,-2.14,0.05,-0.36,-0.23,139317,5
3.94,9.21,-2.14,0.04,-0.39,-0.24,139318,5
3.94,9.23,-2.15,0.02,-0.41,-0.24,139319,5
3.93,9.25,-2.14,0,-0.43,-0.24,139320,5
3.91,9.26,-2.15,-0.01,-0.45,-0.24,139321,5
3.89,9.28,-2.15,-0.03,-0.47,-0.24,139322,5
3.87,9.28,-2.14,-0.05,-0.48,-0.24,139323,5
3.85,9.29,-2.14,-0.07,-0.49,-0.24,139324,5
3.83,9.3,-2.14,-0.09,-0.5,-0.24,139325,5
3.8,9.32,-2.14,-0.11,-0.51,-0.23,139326,6
3.76,9.32,-2.14,-0.13,-0.51,-0.23,139327,6
3.74,9.33,-2.14,-0.14,-0.51,-0.23,139328,5
3.71,9.32,-2.14,-0.15,-0.51,-0.23,139329,6
3.68,9.32,-2.13,-0.15,-0.51,-0.23,139330,6
3.65,9.32,-2.13,-0.16,-0.51,-0.23,139331,5
3.63,9.32,-2.12,-0.16,-0.5,-0.23,139332,5
3.61,9.32,-2.11,-0.16,-0.5,-0.23,139333,5
3.58,9.32,-2.11,-0.17,-0.49,-0.22,139334,5
3.54,9.32,-2.1,-0.17,-0.48,-0.22,139335,6
