ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
5.65,8.69,0.14,-0.04,0.29,0.22,434718,5
5.66,8.65,0.19,-0.04,0.31,0.2,434719,5
5.66,8.6,0.23,-0.04,0.33,0.18,434720,5
5.65,8.54,0.27,-0.04,0.36,0.16,434721,5
5.64,8.5,0.31,-0.04,0.38,0.14,434722,5
5.63,8.45,0.34,-0.04,0.39,0.12,434723,5
5.61,8.4,0.35,-0.04,0.41,0.1,434724,5
5.59,8.36,0.36,-0.03,0.42,0.08,434725,5
5.56,8.32,0.36,-0.03,0.43,0.06,434726,5
5.54,8.28,0.35,-0.02,0.44,0.03,434727,5
5.5,8.24,0.34,-0.01,0.45,0,434728,5
5.47,8.2,0.31,0,0.44,-0.02,434729,5
5.42,8.16,0.28,0.02,0.44,-0.05,434730,5
5.38,8.13,0.25,0.03,0.43,-0.08,434731,5
5.34,8.1,0.22,0.04,0.42,-0.11,434732,5
5.3,8.07,0.18,0.06,0.41,-0.14,434733,5
5.26,8.05,0.13,0.07,0.39,-0.16,434734,5
5.23,8.03,0.08,0.08,0.37,-0.19,434735,5
5.19,8.03,0.03,0.09,0.34,-0.21,434736,5
5.15,8.01,-0.02,0.1,0.32,-0.23,434737,5
5.12,8.01,-0.06,0.1,0.29,-0.25,434738,5
5.09,8,-0.12,0.11,0.26,-0.27,434739,5
5.05,8,-0.17,0.11,0.23,-0.28,434740,5
5.01,8,-0.23,0.11,0.19,-0.3,434741,6
4.98,8.01,-0.28,0.11,0.15,-0.31,434742,5
4.95,8.02,-0.33,0.11,0.12,-0.32,434743,5
4.92,8.04,-0.37,0.11,0.08,-0.33,434744,5
4.89,8.05,-0.43,0.11,0.04,-0.34,434745,5
4.87,8.07,-0.47,0.11,0,-0.34,434746,5
4.85,8.09,-0.51,0.11,-0.05,-0.35,434747,5
4.83,8.13,-0.56,0.11,-0.09,-0.35,434748,5
4.82,8.15,-0.61,0.11,-0.13,-0.35,434749,5
4.81,8.19,-0.65,0.11,-0.17,-0.35,434750,5
4.79,8.22,-0.69,0.11,-0.22,-0.35,434751,5
4.78,8.26,-0.72,0.11,-0.26,-0.34,434752,5
4.77,8.3,-0.75,0.1,-0.3,-0.34,434753,5
4.77,8.34,-0.79,0.1,-0.34,-0.33,434754,5
4.77,8.38,-0.81,0.1,-0.38,-0.33,434755,5
4.91,8.79,-1.14,0.01,-0.75,-0.09,434756,89
4.91,8.78,-1.15,0,-0.75,-0.08,434757,5
4.92,8.77,-1.17,0,-0.75,-0.06,434758,5
4.93,8.76,-1.18,0,-0.75,-0.05,434759,5
4.94,8.75,-1.18,0,-0.74,-0.04,434760,5
4.96,8.73,-1.17,0,-0.73,-0.02,434761,5
4.96,8.72,-1.16,-0.01,-0.72,-0.01,434762,5
4.98,8.7,-1.15,-0.02,-0.7,0.01,434763,5
4.99,8.69,-1.13,-0.02,-0.68,0.02,434764,5
5,8.67,-1.1,-0.03,-0.66,0.04,434765,5
5,8.66,-1.07,-0.04,-0.63,0.05,434766,5
5.02,8.64,-1.05,-0.05,-0.6,0.07,434767,5
5.03,8.63,-1.01,-0.06,-0.56,0.08,434768,6
5.03,8.63,-0.98,-0.08,-0.52,0.09,434769,5
5.04,8.62,-0.94,-0.09,-0.48,0.11,434770,5
5.04,8.61,-0.9,-0.1,-0.44,0.12,434771,5
5.05,8.6,-0.85,-0.11,-0.39,0.13,434772,5
5.05,8.6,-0.8,-0.12,-0.34,0.14,434773,5
