ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
2.1,9.3,0.85,0.38,0.61,-0.66,110500,5
2,9.26,0.7,0.42,0.61,-0.7,110501,5
1.91,9.23,0.55,0.45,0.61,-0.73,110502,5
1.78,9.25,0.4,0.48,0.62,-0.77,110503,5
1.63,9.28,0.25,0.5,0.62,-0.81,110504,5
1.45,9.32,0.12,0.52,0.61,-0.84,110505,5
1.25,9.36,0.01,0.52,0.6,-0.87,110506,5
1.07,9.37,-0.06,0.52,0.59,-0.89,110507,5
0.9,9.37,-0.08,0.52,0.57,-0.91,110508,5
0.73,9.39,-0.1,0.52,0.55,-0.92,110509,5
0.56,9.4,-0.1,0.51,0.52,-0.93,110510,5
0.39,9.4,-0.1,0.51,0.49,-0.93,110511,5
0.24,9.39,-0.09,0.5,0.46,-0.93,110512,5
0.12,9.37,-0.06,0.5,0.43,-0.91,110513,5
0.03,9.33,-0.03,0.5,0.38,-0.88,110514,6
-0.02,9.28,0,0.5,0.34,-0.85,110515,5
-0.05,9.21,0.02,0.51,0.3,-0.81,110516,6
-0.03,9.14,0.02,0.52,0.26,-0.77,110517,5
0.01,9.09,0.01,0.53,0.23,-0.73,110518,5
0.08,9.06,-0.02,0.56,0.21,-0.69,110519,5
0.18,9.04,-0.07,0.58,0.19,-0.66,110520,5
0.31,9.03,-0.16,0.61,0.17,-0.63,110521,5
0.46,9.02,-0.27,0.64,0.16,-0.6,110522,5
0.62,9.03,-0.4,0.68,0.16,-0.58,110523,5
0.77,9.07,-0.55,0.71,0.17,-0.56,110524,5
0.91,9.15,-0.73,0.74,0.18,-0.55,110525,5
1.02,9.28,-0.92,0.77,0.19,-0.55,110526,5
1.06,9.46,-1.15,0.79,0.21,-0.55,110527,5
1.12,9.54,-1.35,0.8,0.23,-0.57,110528,5
1.19,9.61,-1.53,0.8,0.25,-0.57,110529,5
1.22,9.76,-1.74,0.79,0.27,-0.57,110530,6
1.23,9.89,-1.88,0.77,0.3,-0.58,110531,5
1.18,10.07,-2.06,0.75,0.34,-0.59,110532,6
1.07,10.22,-2.2,0.72,0.36,-0.6,110533,5
0.9,10.38,-2.29,0.67,0.39,-0.6,110534,6
0.74,10.5,-2.32,0.62,0.4,-0.59,110535,5
0.57,10.56,-2.32,0.58,0.42,-0.59,110536,5
