ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
2.96,8.77,-1.16,0,0.07,-0.06,240837,5
2.99,8.82,-1.14,0.02,0.04,-0.06,240838,6
3.01,8.85,-1.15,0.04,0.02,-0.06,240839,5
3.03,8.87,-1.15,0.06,-0.01,-0.06,240840,5
3.07,8.9,-1.16,0.09,-0.04,-0.07,240841,6
3.1,8.94,-1.16,0.12,-0.07,-0.07,240842,6
3.12,9,-1.18,0.14,-0.09,-0.08,240843,5
3.13,9.02,-1.21,0.17,-0.12,-0.09,240844,6
3.15,9.06,-1.23,0.19,-0.15,-0.09,240845,5
3.17,9.12,-1.25,0.21,-0.18,-0.09,240846,5
3.18,9.16,-1.29,0.23,-0.19,-0.1,240847,5
3.18,9.2,-1.33,0.24,-0.22,-0.1,240848,5
3.19,9.24,-1.37,0.26,-0.24,-0.11,240849,5
3.2,9.28,-1.41,0.28,-0.26,-0.11,240850,5
3.21,9.31,-1.46,0.29,-0.28,-0.12,240851,5
3.2,9.33,-1.5,0.3,-0.29,-0.12,240852,5
3.21,9.36,-1.56,0.31,-0.31,-0.12,240853,5
3.21,9.4,-1.61,0.32,-0.33,-0.12,240854,5
3.2,9.43,-1.66,0.33,-0.34,-0.12,240855,5
3.2,9.46,-1.73,0.33,-0.35,-0.12,240856,5
3.2,9.49,-1.79,0.33,-0.37,-0.12,240857,5
3.25,9.29,-2.82,0.01,-0.34,0.06,240858,112
3.23,9.27,-2.81,0.02,-0.34,0.06,240859,6
3.23,9.25,-2.8,0.02,-0.33,0.07,240860,5
3.2,9.22,-2.78,0.02,-0.32,0.07,240861,5
3.21,9.22,-2.76,0.02,-0.31,0.08,240862,5
3.19,9.22,-2.73,0.01,-0.29,0.08,240863,6
3.15,9.17,-2.71,0,-0.26,0.09,240864,6
3.14,9.15,-2.68,-0.02,-0.24,0.1,240865,5
3.12,9.14,-2.65,-0.03,-0.21,0.11,240866,5
3.11,9.13,-2.61,-0.05,-0.18,0.12,240867,5
3.08,9.12,-2.56,-0.07,-0.15,0.13,240868,5
3.05,9.11,-2.51,-0.09,-0.11,0.14,240869,5
3.03,9.09,-2.46,-0.12,-0.06,0.15,240870,5
3,9.07,-2.4,-0.14,-0.02,0.16,240871,5
2.96,9.04,-2.34,-0.16,0.03,0.18,240872,5
2.93,9.02,-2.27,-0.19,0.08,0.19,240873,5
2.9,9.01,-2.2,-0.21,0.13,0.2,240874,5
2.87,9,-2.13,-0.23,0.19,0.22,240875,5
2.83,8.98,-2.08,-0.25,0.24,0.23,240876,5
2.79,8.96,-2,-0.27,0.3,0.24,240877,5
2.75,8.93,-1.93,-0.29,0.36,0.25,240878,5
2.72,8.92,-1.85,-0.31,0.41,0.27,240879,5
2.68,8.9,-1.78,-0.32,0.46,0.28,240880,5
2.64,8.88,-1.7,-0.34,0.52,0.29,240881,5
2.59,8.85,-1.62,-0.35,0.58,0.31,240882,6
2.55,8.82,-1.55,-0.35,0.62,0.32,240883,5
2.51,8.78,-1.48,-0.35,0.67,0.33,240884,5
2.48,8.74,-1.42,-0.35,0.7,0.34,240885,5
2.45,8.7,-1.35,-0.34,0.74,0.34,240886,5
2.43,8.67,-1.28,-0.33,0.77,0.35,240887,5
2.42,8.63,-1.21,-0.32,0.79,0.35,240888,5
2.41,8.58,-1.14,-0.3,0.81,0.36,240889,5
2.4,8.54,-1.07,-0.28,0.82,0.36,240890,5
2.41,8.5,-1.02,-0.25,0.83,0.36,240891,5
2.4,8.47,-0.98,-0.23,0.83,0.36,240892,5
2.41,8.43,-0.93,-0.2,0.83,0.36,240893,5
2.42,8.4,-0.89,-0.17,0.82,0.36,240894,5
2.44,8.37,-0.87,-0.13,0.8,0.36,240895,5
2.47,8.34,-0.85,-0.1,0.78,0.35,240896,5
2.51,8.33,-0.83,-0.06,0.76,0.34,240897,5
2.55,8.32,-0.82,-0.02,0.72,0.34,240898,5
2.61,8.32,-0.81,0.02,0.69,0.33,240899,5
4.67,9.67,-2.52,0.48,-0.57,-0.05,240900,129
4.74,9.7,-2.63,0.46,-0.6,-0.06,240901,5
4.85,9.72,-2.78,0.42,-0.65,-0.07,240902,8
4.9,9.73,-2.87,0.39,-0.68,-0.07,240903,5
4.96,9.73,-2.97,0.35,-0.7,-0.08,240904,5
5.02,9.72,-3.05,0.31,-0.72,-0.08,240905,5
5.07,9.72,-3.12,0.27,-0.73,-0.08,240906,5
5.12,9.71,-3.19,0.23,-0.74,-0.08,240907,5
5.16,9.69,-3.27,0.17,-0.74,-0.08,240908,6
5.2,9.67,-3.33,0.12,-0.75,-0.08,240909,5
5.22,9.64,-3.39,0.07,-0.74,-0.08,240910,5
5.24,9.6,-3.44,0.02,-0.74,-0.08,240911,5
5.26,9.55,-3.5,-0.03,-0.73,-0.09,240912,6
5.27,9.51,-3.53,-0.08,-0.72,-0.09,240913,5
5.27,9.46,-3.55,-0.12,-0.7,-0.09,240914,5
5.27,9.42,-3.56,-0.16,-0.69,-0.1,240915,5
5.26,9.37,-3.57,-0.2,-0.67,-0.1,240916,5
5.25,9.33,-3.57,-0.24,-0.65,-0.11,240917,5
5.24,9.28,-3.57,-0.27,-0.63,-0.11,240918,5
5.21,9.23,-3.56,-0.31,-0.6,-0.12,240919,5
5.17,9.18,-3.53,-0.35,-0.57,-0.13,240920,6
5.13,9.13,-3.5,-0.38,-0.54,-0.14,240921,5
5.08,9.07,-3.46,-0.41,-0.5,-0.15,240922,6
5.03,9.02,-3.42,-0.44,-0.47,-0.15,240923,5
4.97,8.97,-3.37,-0.46,-0.44,-0.16,240924,5
4.9,8.92,-3.31,-0.49,-0.41,-0.18,240925,6
4.84,8.87,-3.24,-0.51,-0.37,-0.19,240926,5
4.78,8.83,-3.18,-0.53,-0.34,-0.2,240927,5
4.71,8.78,-3.11,-0.55,-0.31,-0.21,240928,5
4.64,8.74,-3.04,-0.57,-0.28,-0.23,240929,5
4.57,8.69,-2.96,-0.58,-0.25,-0.24,240930,5
4.49,8.65,-2.87,-0.59,-0.22,-0.26,240931,5
4.42,8.6,-2.78,-0.6,-0.19,-0.27,240932,5
4.34,8.56,-2.7,-0.61,-0.16,-0.28,240933,5
4.24,8.52,-2.58,-0.61,-0.13,-0.3,240934,6
4.15,8.49,-2.49,-0.61,-0.1,-0.32,240935,5
4.06,8.45,-2.38,-0.61,-0.07,-0.33,240936,5
3.97,8.41,-2.28,-0.6,-0.05,-0.35,240937,5
3.87,8.37,-2.19,-0.59,-0.02,-0.36,240938,5
3.77,8.33,-2.06,-0.57,0.01,-0.38,240939,6
3.67,8.3,-1.96,-0.56,0.03,-0.39,240940,5
3.58,8.26,-1.86,-0.53,0.05,-0.41,240941,5
3.49,8.23,-1.75,-0.51,0.08,-0.42,240942,5
3.39,8.2,-1.65,-0.49,0.1,-0.43,240943,5
3.3,8.17,-1.56,-0.46,0.13,-0.44,240944,5
3.21,8.14,-1.46,-0.44,0.15,-0.44,240945,5
3.13,8.12,-1.36,-0.42,0.18,-0.44,240946,5
3.05,8.09,-1.28,-0.4,0.21,-0.44,240947,5
2.97,8.06,-1.2,-0.39,0.24,-0.44,240948,5
2.89,8.05,-1.13,-0.37,0.28,-0.43,240949,5
2.83,8.03,-1.06,-0.36,0.31,-0.41,240950,5
2.76,8.02,-0.99,-0.35,0.34,-0.4,240951,5
2.7,8,-0.93,-0.34,0.37,-0.38,240952,5
2.62,7.98,-0.86,-0.32,0.41,-0.35,240953,6
2.58,7.98,-0.8,-0.31,0.43,-0.33,240954,5
2.53,7.98,-0.75,-0.3,0.46,-0.3,240955,5
2.49,7.98,-0.69,-0.28,0.49,-0.28,240956,5
2.44,7.99,-0.64,-0.26,0.51,-0.25,240957,5
2.41,8,-0.58,-0.24,0.53,-0.22,240958,5
2.39,8.03,-0.53,-0.22,0.55,-0.2,240959,5
2.38,8.04,-0.49,-0.19,0.56,-0.17,240960,5
2.36,8.06,-0.45,-0.17,0.58,-0.15,240961,5
2.35,8.09,-0.39,-0.14,0.59,-0.12,240962,5
2.35,8.15,-0.34,-0.12,0.6,-0.09,240963,5
2.34,8.2,-0.28,-0.09,0.62,-0.07,240964,5
2.34,8.25,-0.24,-0.07,0.63,-0.04,240965,5
2.33,8.29,-0.21,-0.05,0.64,-0.02,240966,5
2.33,8.32,-0.17,-0.02,0.65,0.01,240967,5
2.34,8.38,-0.14,0,0.65,0.04,240968,5
2.35,8.48,-0.1,0.03,0.66,0.06,240969,5
2.35,8.56,-0.08,0.05,0.66,0.08,240970,5
2.35,8.61,-0.06,0.07,0.67,0.09,240971,5
2.37,8.65,-0.04,0.1,0.66,0.11,240972,5
2.4,8.71,-0.03,0.13,0.66,0.12,240973,5
2.42,8.75,-0.04,0.16,0.65,0.13,240974,5
2.43,8.8,-0.06,0.19,0.63,0.14,240975,5
2.48,8.87,-0.08,0.22,0.61,0.14,240976,5
2.51,8.93,-0.1,0.25,0.59,0.14,240977,5
2.55,8.98,-0.14,0.28,0.57,0.14,240978,5
2.58,9.03,-0.18,0.3,0.53,0.14,240979,5
2.61,9.08,-0.23,0.33,0.5,0.14,240980,5
2.66,9.14,-0.27,0.35,0.46,0.13,240981,5
2.69,9.19,-0.32,0.38,0.42,0.13,240982,5
2.86,9.87,-1.52,0.53,-0.34,-0.03,240983,72
2.86,9.91,-1.63,0.52,-0.38,-0.04,240984,5
2.86,9.93,-1.75,0.49,-0.43,-0.03,240985,5
2.89,9.96,-1.86,0.47,-0.47,-0.03,240986,5
2.9,9.99,-1.98,0.43,-0.51,-0.02,240987,6
2.91,10.01,-2.1,0.4,-0.55,-0.01,240988,5
2.93,10.02,-2.2,0.37,-0.58,-0.01,240989,5
2.95,10.02,-2.3,0.34,-0.61,0,240990,5
2.97,10.02,-2.41,0.31,-0.63,0.01,240991,5
3,10.01,-2.53,0.27,-0.66,0.02,240992,6
3.04,10,-2.63,0.24,-0.68,0.03,240993,5
3.09,10,-2.71,0.22,-0.7,0.04,240994,5
3.14,10,-2.8,0.19,-0.71,0.05,240995,5
3.19,9.98,-2.88,0.16,-0.72,0.06,240996,5
3.24,9.96,-2.96,0.13,-0.73,0.07,240997,5
3.32,9.96,-3.03,0.11,-0.73,0.08,240998,5
3.38,9.95,-3.09,0.08,-0.73,0.08,240999,5
3.42,9.9,-3.16,0.06,-0.73,0.09,241000,5
3.49,9.85,-3.22,0.04,-0.73,0.1,241001,5
3.57,9.83,-3.25,0.02,-0.72,0.1,241002,5
3.64,9.81,-3.3,0.01,-0.71,0.1,241003,5
3.7,9.77,-3.34,-0.01,-0.7,0.1,241004,5
3.79,9.72,-3.39,-0.04,-0.68,0.11,241005,6
3.88,9.69,-3.4,-0.06,-0.66,0.11,241006,5
3.95,9.64,-3.42,-0.08,-0.64,0.11,241007,5
4.02,9.59,-3.45,-0.1,-0.62,0.11,241008,5
4.08,9.54,-3.47,-0.12,-0.6,0.11,241009,5
4.16,9.47,-3.48,-0.14,-0.57,0.11,241010,5
4.23,9.42,-3.47,-0.15,-0.54,0.11,241011,5
4.28,9.38,-3.47,-0.17,-0.52,0.1,241012,5
4.33,9.32,-3.47,-0.18,-0.49,0.1,241013,5
4.41,9.28,-3.45,-0.2,-0.46,0.1,241014,5
4.47,9.23,-3.43,-0.22,-0.42,0.09,241015,5
4.51,9.16,-3.41,-0.24,-0.39,0.08,241016,5
4.55,9.11,-3.39,-0.25,-0.36,0.08,241017,5
4.6,9.06,-3.36,-0.27,-0.32,0.07,241018,5
4.63,9,-3.33,-0.28,-0.28,0.07,241019,5
4.66,8.96,-3.29,-0.29,-0.25,0.06,241020,5
4.68,8.93,-3.24,-0.3,-0.21,0.05,241021,5
4.7,8.88,-3.19,-0.3,-0.17,0.04,241022,5
4.71,8.85,-3.14,-0.31,-0.13,0.03,241023,5
4.71,8.83,-3.06,-0.31,-0.09,0.02,241024,5
4.7,8.81,-2.99,-0.31,-0.04,0,241025,5
4.67,8.78,-2.91,-0.32,0.01,-0.01,241026,5
4.64,8.75,-2.82,-0.32,0.05,-0.02,241027,5
4.61,8.75,-2.72,-0.33,0.1,-0.03,241028,5
4.57,8.76,-2.59,-0.34,0.15,-0.04,241029,5
4.5,8.78,-2.47,-0.35,0.21,-0.05,241030,5
4.42,8.8,-2.33,-0.36,0.26,-0.05,241031,5
4.34,8.84,-2.17,-0.37,0.32,-0.06,241032,5
4.23,8.87,-2,-0.39,0.39,-0.07,241033,5
4.09,8.88,-1.82,-0.41,0.45,-0.08,241034,5
3.95,8.92,-1.62,-0.42,0.52,-0.08,241035,5
3.79,8.98,-1.4,-0.44,0.59,-0.09,241036,5
3.63,9.03,-1.19,-0.46,0.66,-0.1,241037,5
3.48,9.06,-1.01,-0.47,0.74,-0.11,241038,5
3.34,9.1,-0.84,-0.49,0.82,-0.11,241039,5
3.18,9.13,-0.65,-0.51,0.89,-0.1,241040,5
3.07,9.14,-0.51,-0.53,0.96,-0.1,241041,5
2.94,9.15,-0.36,-0.54,1.03,-0.1,241042,5
2.8,9.14,-0.23,-0.55,1.1,-0.09,241043,5
2.66,9.14,-0.08,-0.56,1.15,-0.09,241044,5
2.54,9.12,0.05,-0.56,1.2,-0.08,241045,5
2.43,9.08,0.15,-0.55,1.25,-0.07,241046,5
2.33,9.04,0.23,-0.54,1.29,-0.07,241047,5
2.27,8.99,0.29,-0.52,1.31,-0.06,241048,5
2.23,8.93,0.34,-0.49,1.33,-0.05,241049,5
2.19,8.83,0.37,-0.45,1.33,-0.04,241050,6
2.17,8.74,0.38,-0.41,1.33,-0.04,241051,5
2.15,8.64,0.37,-0.36,1.31,-0.03,241052,5
2.15,8.54,0.37,-0.31,1.28,-0.02,241053,5
2.15,8.44,0.35,-0.25,1.25,-0.02,241054,5
2.14,8.34,0.33,-0.19,1.2,-0.01,241055,5
2.13,8.24,0.3,-0.13,1.14,0,241056,5
2.1,8.14,0.29,-0.07,1.08,0.01,241057,5
2.06,8.02,0.29,0,1,0.02,241058,6
2.02,7.9,0.28,0.07,0.9,0.04,241059,6
1.99,7.8,0.27,0.13,0.82,0.07,241060,5
1.98,7.71,0.26,0.19,0.73,0.09,241061,5
1.96,7.62,0.26,0.25,0.62,0.12,241062,6
1.95,7.55,0.26,0.31,0.53,0.15,241063,5
1.96,7.5,0.27,0.36,0.44,0.17,241064,5
1.96,7.45,0.27,0.42,0.35,0.19,241065,5
1.97,7.41,0.27,0.47,0.26,0.22,241066,5
2,7.39,0.28,0.53,0.17,0.25,241067,5
2.04,7.4,0.28,0.58,0.09,0.28,241068,5
2.09,7.43,0.27,0.63,0.01,0.31,241069,5
2.15,7.48,0.25,0.68,-0.06,0.34,241070,5
2.22,7.55,0.23,0.72,-0.13,0.37,241071,5
2.29,7.63,0.2,0.76,-0.19,0.39,241072,5
2.36,7.71,0.15,0.79,-0.25,0.42,241073,5
2.43,7.81,0.08,0.82,-0.31,0.44,241074,5
2.51,7.93,0,0.86,-0.36,0.47,241075,5
2.59,8.07,-0.09,0.9,-0.41,0.48,241076,5
2.66,8.21,-0.22,0.94,-0.47,0.49,241077,5
3.11,9.06,-1.13,1.22,-0.8,0.43,241078,28
3.2,9.22,-1.32,1.27,-0.85,0.4,241079,5
3.29,9.37,-1.54,1.32,-0.91,0.37,241080,5
3.38,9.5,-1.79,1.35,-0.96,0.34,241081,5
3.48,9.63,-2.04,1.38,-1,0.32,241082,5
3.59,9.77,-2.28,1.39,-1.04,0.3,241083,5
3.7,9.92,-2.54,1.39,-1.08,0.28,241084,5
3.84,10.06,-2.85,1.36,-1.11,0.27,241085,6
3.97,10.2,-3.15,1.32,-1.13,0.27,241086,6
4.08,10.3,-3.39,1.27,-1.14,0.27,241087,5
4.19,10.38,-3.64,1.21,-1.14,0.27,241088,5
4.3,10.46,-3.89,1.15,-1.13,0.28,241089,5
4.42,10.53,-4.16,1.07,-1.11,0.28,241090,6
4.52,10.57,-4.39,1,-1.09,0.28,241091,5
4.6,10.57,-4.6,0.93,-1.05,0.29,241092,5
4.69,10.57,-4.79,0.86,-1.02,0.3,241093,5
4.78,10.56,-4.96,0.77,-0.98,0.31,241094,5
4.88,10.55,-5.12,0.69,-0.93,0.32,241095,5
4.97,10.52,-5.26,0.6,-0.88,0.33,241096,5
5.06,10.48,-5.39,0.5,-0.83,0.34,241097,5
5.15,10.43,-5.49,0.4,-0.77,0.36,241098,5
5.22,10.36,-5.58,0.29,-0.71,0.37,241099,5
5.3,10.28,-5.65,0.18,-0.66,0.39,241100,5
5.38,10.2,-5.68,0.07,-0.6,0.41,241101,5
5.46,10.13,-5.7,-0.04,-0.53,0.41,241102,5
5.52,10.04,-5.72,-0.14,-0.47,0.41,241103,5
5.57,9.95,-5.72,-0.24,-0.41,0.41,241104,5
5.62,9.85,-5.71,-0.34,-0.35,0.4,241105,5
5.66,9.74,-5.66,-0.43,-0.3,0.38,241106,5
5.7,9.64,-5.61,-0.5,-0.24,0.36,241107,5
5.72,9.53,-5.54,-0.58,-0.2,0.33,241108,5
5.73,9.43,-5.48,-0.64,-0.15,0.3,241109,5
5.74,9.34,-5.4,-0.7,-0.11,0.27,241110,5
5.75,9.25,-5.31,-0.76,-0.07,0.24,241111,5
5.75,9.17,-5.22,-0.82,-0.04,0.2,241112,5
5.73,9.07,-5.12,-0.87,-0.02,0.16,241113,5
5.71,8.98,-5,-0.91,0,0.13,241114,5
5.67,8.89,-4.88,-0.94,0.02,0.08,241115,5
5.62,8.78,-4.75,-0.97,0.02,0.03,241116,5
5.55,8.68,-4.61,-0.98,0.02,-0.02,241117,5
5.48,8.59,-4.47,-0.98,0.01,-0.08,241118,5
5.42,8.53,-4.32,-0.97,0,-0.14,241119,5
5.33,8.46,-4.18,-0.95,-0.01,-0.21,241120,5
5.24,8.38,-4.03,-0.93,-0.02,-0.27,241121,5
5.15,8.32,-3.88,-0.91,-0.04,-0.34,241122,5
5.08,8.26,-3.73,-0.88,-0.05,-0.4,241123,5
4.98,8.2,-3.59,-0.86,-0.06,-0.46,241124,5
4.89,8.15,-3.44,-0.84,-0.07,-0.51,241125,5
4.79,8.09,-3.26,-0.83,-0.08,-0.57,241126,6
4.7,8.05,-3.1,-0.83,-0.08,-0.6,241127,5
4.61,8,-2.92,-0.84,-0.08,-0.64,241128,6
4.52,7.96,-2.76,-0.86,-0.07,-0.67,241129,5
4.41,7.92,-2.58,-0.88,-0.06,-0.69,241130,6
4.32,7.87,-2.42,-0.9,-0.04,-0.71,241131,5
4.21,7.82,-2.24,-0.92,-0.02,-0.72,241132,6
4.12,7.76,-2.08,-0.94,0,-0.74,241133,5
4.02,7.71,-1.93,-0.94,0.02,-0.75,241134,5
3.91,7.66,-1.78,-0.94,0.04,-0.75,241135,5
3.81,7.61,-1.65,-0.93,0.06,-0.76,241136,5
3.71,7.57,-1.52,-0.92,0.08,-0.77,241137,5
3.62,7.52,-1.4,-0.9,0.1,-0.78,241138,5
3.49,7.43,-1.27,-0.87,0.12,-0.78,241139,6
3.4,7.38,-1.17,-0.83,0.13,-0.78,241140,5
3.3,7.33,-1.06,-0.79,0.15,-0.78,241141,5
3.23,7.31,-0.97,-0.75,0.16,-0.77,241142,5
3.15,7.3,-0.89,-0.71,0.17,-0.76,241143,5
3.07,7.28,-0.82,-0.66,0.18,-0.75,241144,5
3,7.25,-0.75,-0.62,0.19,-0.74,241145,5
2.93,7.24,-0.69,-0.57,0.2,-0.72,241146,5
2.85,7.23,-0.65,-0.52,0.21,-0.7,241147,5
2.77,7.23,-0.6,-0.46,0.21,-0.67,241148,5
2.7,7.23,-0.57,-0.41,0.21,-0.65,241149,5
2.64,7.24,-0.53,-0.35,0.21,-0.62,241150,5
2.58,7.25,-0.51,-0.29,0.2,-0.6,241151,5
2.53,7.27,-0.49,-0.23,0.2,-0.57,241152,5
2.48,7.3,-0.45,-0.17,0.19,-0.54,241153,5
2.44,7.35,-0.43,-0.11,0.18,-0.51,241154,5
2.42,7.41,-0.41,-0.05,0.18,-0.48,241155,5
2.38,7.47,-0.39,0.01,0.18,-0.45,241156,5
2.35,7.55,-0.36,0.05,0.17,-0.41,241157,5
2.33,7.63,-0.33,0.09,0.17,-0.37,241158,5
2.31,7.73,-0.3,0.13,0.18,-0.34,241159,5
2.27,7.81,-0.28,0.16,0.18,-0.3,241160,5
2.24,7.9,-0.27,0.18,0.18,-0.26,241161,5
2.21,8,-0.24,0.2,0.18,-0.22,241162,5
2.18,8.09,-0.22,0.21,0.19,-0.18,241163,5
