ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
6.14,9.42,1.11,0.13,-0.33,0.65,338332,5
6.22,9.42,1.03,0.19,-0.33,0.58,338333,5
6.3,9.42,0.95,0.24,-0.33,0.52,338334,5
6.39,9.44,0.89,0.27,-0.33,0.48,338335,5
6.48,9.45,0.84,0.28,-0.32,0.43,338336,5
6.55,9.41,0.76,0.29,-0.3,0.36,338337,6
6.58,9.34,0.69,0.29,-0.28,0.31,338338,5
6.62,9.28,0.61,0.28,-0.26,0.26,338339,6
6.67,9.23,0.54,0.27,-0.24,0.2,338340,6
6.72,9.19,0.49,0.25,-0.22,0.15,338341,5
6.76,9.15,0.44,0.23,-0.19,0.1,338342,5
6.79,9.11,0.38,0.2,-0.15,0.06,338343,5
6.84,9.06,0.32,0.17,-0.12,0.02,338344,5
6.89,9.03,0.28,0.13,-0.08,-0.02,338345,5
6.94,9,0.23,0.09,-0.04,-0.06,338346,5
6.99,8.98,0.19,0.05,0.01,-0.1,338347,5
7.04,8.95,0.14,0.01,0.06,-0.14,338348,5
7.07,8.9,0.1,-0.02,0.11,-0.19,338349,5
7.1,8.86,0.06,-0.05,0.16,-0.23,338350,5
7.12,8.82,0.02,-0.08,0.21,-0.27,338351,5
7.14,8.77,-0.01,-0.1,0.26,-0.3,338352,5
7.15,8.74,-0.04,-0.12,0.31,-0.34,338353,5
7.15,8.71,-0.06,-0.13,0.35,-0.37,338354,5
7.13,8.67,-0.08,-0.14,0.4,-0.41,338355,5
7.11,8.64,-0.11,-0.15,0.44,-0.44,338356,5
7.09,8.61,-0.14,-0.16,0.48,-0.47,338357,5
7.05,8.58,-0.15,-0.17,0.51,-0.5,338358,5
7,8.54,-0.17,-0.18,0.55,-0.54,338359,6
6.95,8.5,-0.18,-0.2,0.58,-0.57,338360,5
6.89,8.46,-0.2,-0.22,0.6,-0.6,338361,5
6.84,8.44,-0.21,-0.24,0.62,-0.62,338362,5
6.79,8.42,-0.21,-0.26,0.63,-0.64,338363,5
6.73,8.41,-0.21,-0.29,0.65,-0.65,338364,5
6.68,8.39,-0.21,-0.31,0.66,-0.67,338365,5
6.61,8.36,-0.2,-0.33,0.66,-0.69,338366,5
6.54,8.33,-0.19,-0.35,0.67,-0.71,338367,6
6.48,8.3,-0.17,-0.36,0.67,-0.73,338368,5
6.39,8.27,-0.15,-0.37,0.67,-0.75,338369,6
6.28,8.23,-0.13,-0.38,0.66,-0.77,338370,6
6.19,8.21,-0.11,-0.39,0.65,-0.78,338371,5
6.11,8.19,-0.08,-0.4,0.64,-0.78,338372,5
6.04,8.17,-0.06,-0.41,0.63,-0.77,338373,5
5.95,8.15,-0.04,-0.43,0.62,-0.77,338374,5
5.85,8.13,0.02,-0.46,0.6,-0.75,338375,6
5.77,8.11,0.07,-0.48,0.58,-0.73,338376,5
5.68,8.08,0.13,-0.5,0.56,-0.72,338377,5
5.59,8.04,0.19,-0.52,0.54,-0.7,338378,5
5.5,8,0.25,-0.53,0.52,-0.69,338379,5
5.42,7.95,0.3,-0.53,0.5,-0.68,338380,5
5.31,7.91,0.39,-0.52,0.47,-0.66,338381,6
5.23,7.88,0.46,-0.51,0.44,-0.64,338382,5
5.16,7.86,0.54,-0.49,0.42,-0.63,338383,5
5.09,7.84,0.61,-0.46,0.39,-0.61,338384,5
5.01,7.81,0.69,-0.44,0.37,-0.6,338385,5
4.94,7.78,0.78,-0.41,0.35,-0.58,338386,5
4.86,7.76,0.86,-0.37,0.33,-0.56,338387,5
4.79,7.75,0.94,-0.33,0.31,-0.54,338388,5
4.71,7.74,1.02,-0.3,0.3,-0.52,338389,5
4.63,7.73,1.1,-0.26,0.29,-0.5,338390,5
4.55,7.72,1.17,-0.23,0.28,-0.48,338391,5
4.46,7.72,1.24,-0.19,0.27,-0.45,338392,5
4.36,7.71,1.32,-0.16,0.27,-0.43,338393,5
4.27,7.71,1.39,-0.13,0.27,-0.4,338394,5
4.18,7.71,1.46,-0.1,0.26,-0.37,338395,5
4.09,7.71,1.54,-0.08,0.26,-0.34,338396,5
3.99,7.71,1.59,-0.05,0.26,-0.31,338397,5
3.9,7.71,1.63,-0.03,0.26,-0.28,338398,5
3.8,7.72,1.67,-0.01,0.26,-0.25,338399,5
3.7,7.72,1.7,0.01,0.25,-0.22,338400,5
3.61,7.72,1.73,0.03,0.25,-0.19,338401,5
