ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
3.94,9.11,-2.04,0.16,0.24,0.3,180642,5
3.97,9.14,-2.07,0.17,0.23,0.3,180643,5
4.01,9.18,-2.1,0.19,0.21,0.29,180644,5
4.03,9.21,-2.14,0.22,0.18,0.27,180645,5
4.04,9.22,-2.17,0.25,0.15,0.24,180646,5
4.05,9.23,-2.19,0.29,0.1,0.21,180647,5
4.06,9.25,-2.22,0.33,0.05,0.18,180648,5
4.06,9.27,-2.28,0.37,0,0.15,180649,5
4.05,9.29,-2.32,0.42,-0.07,0.11,180650,5
4.04,9.31,-2.38,0.46,-0.13,0.08,180651,5
4.02,9.32,-2.43,0.49,-0.19,0.04,180652,5
4.01,9.33,-2.5,0.52,-0.25,0.01,180653,5
3.99,9.35,-2.57,0.54,-0.32,-0.03,180654,5
3.96,9.37,-2.64,0.56,-0.39,-0.06,180655,5
3.94,9.39,-2.72,0.57,-0.46,-0.09,180656,5
3.92,9.41,-2.78,0.57,-0.52,-0.12,180657,5
3.89,9.43,-2.85,0.57,-0.58,-0.14,180658,5
3.86,9.45,-2.91,0.56,-0.63,-0.17,180659,5
3.83,9.46,-2.97,0.54,-0.68,-0.19,180660,5
3.79,9.48,-3.04,0.51,-0.72,-0.2,180661,5
3.77,9.5,-3.09,0.48,-0.76,-0.21,180662,5
3.73,9.51,-3.16,0.44,-0.78,-0.22,180663,5
3.69,9.53,-3.21,0.39,-0.79,-0.22,180664,5
3.64,9.53,-3.27,0.34,-0.8,-0.22,180665,5
3.59,9.53,-3.32,0.28,-0.8,-0.21,180666,5
3.54,9.53,-3.36,0.21,-0.78,-0.19,180667,5
3.48,9.54,-3.39,0.14,-0.77,-0.17,180668,5
3.42,9.55,-3.42,0.07,-0.74,-0.15,180669,5
3.34,9.55,-3.43,0,-0.71,-0.13,180670,5
3.25,9.52,-3.46,-0.06,-0.67,-0.11,180671,5
3.16,9.49,-3.49,-0.12,-0.63,-0.09,180672,5
3.08,9.45,-3.5,-0.17,-0.6,-0.07,180673,5
3,9.41,-3.52,-0.21,-0.56,-0.05,180674,5
2.91,9.37,-3.53,-0.25,-0.52,-0.04,180675,5
2.82,9.32,-3.53,-0.28,-0.48,-0.02,180676,6
2.75,9.27,-3.53,-0.31,-0.44,-0.01,180677,5
2.69,9.21,-3.52,-0.33,-0.41,0.01,180678,5
2.62,9.15,-3.51,-0.36,-0.37,0.02,180679,6
2.55,9.07,-3.49,-0.38,-0.34,0.04,180680,6
2.51,9,-3.47,-0.39,-0.31,0.05,180681,5
2.47,8.94,-3.43,-0.41,-0.28,0.07,180682,6
2.47,8.9,-3.38,-0.42,-0.26,0.09,180683,5
2.47,8.86,-3.33,-0.43,-0.23,0.1,180684,5
2.46,8.81,-3.28,-0.44,-0.21,0.12,180685,5
2.48,8.76,-3.22,-0.45,-0.19,0.13,180686,5
2.5,8.71,-3.15,-0.45,-0.17,0.15,180687,5
2.53,8.67,-3.08,-0.45,-0.14,0.16,180688,5
2.57,8.63,-3.01,-0.45,-0.12,0.17,180689,5
2.61,8.59,-2.93,-0.45,-0.09,0.19,180690,5
2.68,8.58,-2.84,-0.45,-0.07,0.2,180691,5
2.74,8.57,-2.76,-0.44,-0.04,0.21,180692,5
2.81,8.54,-2.67,-0.43,0,0.21,180693,6
2.86,8.51,-2.62,-0.42,0.03,0.22,180694,5
2.92,8.49,-2.55,-0.41,0.06,0.23,180695,5
2.99,8.49,-2.48,-0.4,0.09,0.24,180696,5
3.06,8.5,-2.42,-0.39,0.12,0.24,180697,5
3.12,8.5,-2.38,-0.38,0.16,0.25,180698,5
3.18,8.5,-2.34,-0.36,0.19,0.25,180699,5
3.23,8.5,-2.31,-0.34,0.22,0.25,180700,5
3.29,8.51,-2.28,-0.32,0.25,0.25,180701,5
3.35,8.53,-2.25,-0.3,0.27,0.25,180702,5
3.42,8.54,-2.23,-0.28,0.3,0.24,180703,5
3.48,8.56,-2.21,-0.26,0.32,0.24,180704,5
3.55,8.58,-2.19,-0.23,0.34,0.24,180705,5
3.61,8.59,-2.18,-0.21,0.35,0.23,180706,5
3.67,8.62,-2.16,-0.18,0.37,0.22,180707,5
3.76,8.64,-2.15,-0.14,0.37,0.2,180708,6
3.83,8.67,-2.14,-0.11,0.38,0.19,180709,5
3.9,8.7,-2.14,-0.07,0.38,0.17,180710,5
3.99,8.74,-2.14,-0.04,0.38,0.15,180711,5
4.08,8.78,-2.13,-0.01,0.37,0.13,180712,5
4.17,8.83,-2.13,0.03,0.37,0.11,180713,5
4.26,8.87,-2.12,0.06,0.36,0.08,180714,5
4.37,8.93,-2.12,0.1,0.35,0.06,180715,6
4.51,8.98,-2.11,0.13,0.34,0.03,180716,6
4.61,9.02,-2.11,0.16,0.33,0,180717,5
4.74,9.06,-2.1,0.19,0.31,-0.04,180718,6
4.85,9.09,-2.1,0.21,0.3,-0.06,180719,5
4.98,9.14,-2.09,0.22,0.29,-0.09,180720,5
5.11,9.18,-2.07,0.22,0.28,-0.11,180721,5
5.22,9.22,-2.05,0.22,0.27,-0.14,180722,5
5.33,9.25,-2.05,0.22,0.27,-0.16,180723,5
5.43,9.26,-2.04,0.21,0.27,-0.18,180724,5
5.53,9.26,-2.04,0.19,0.27,-0.2,180725,5
5.61,9.25,-2.03,0.17,0.27,-0.22,180726,5
5.7,9.24,-2.02,0.15,0.27,-0.24,180727,5
5.78,9.23,-2.02,0.13,0.27,-0.25,180728,5
5.86,9.24,-2.02,0.1,0.28,-0.27,180729,5
5.91,9.22,-2.02,0.07,0.29,-0.28,180730,5
5.97,9.2,-2.03,0.04,0.3,-0.3,180731,5
6.01,9.17,-2.04,0,0.31,-0.31,180732,5
1.17,7.8,-1.53,0.2,-0.07,-0.24,180733,245
1.07,7.76,-1.51,0.2,-0.06,-0.19,180734,5
0.96,7.73,-1.48,0.21,-0.05,-0.14,180735,5
0.87,7.67,-1.46,0.22,-0.03,-0.1,180736,5
0.77,7.62,-1.42,0.23,-0.01,-0.04,180737,5
0.69,7.57,-1.4,0.24,0.01,0.02,180738,5
0.63,7.54,-1.37,0.25,0.03,0.08,180739,5
0.58,7.5,-1.35,0.26,0.05,0.13,180740,5
0.52,7.47,-1.36,0.27,0.08,0.19,180741,5
0.47,7.46,-1.36,0.28,0.1,0.25,180742,5
0.42,7.45,-1.36,0.29,0.12,0.31,180743,5
0.38,7.46,-1.4,0.31,0.14,0.36,180744,5
0.34,7.47,-1.44,0.33,0.15,0.42,180745,5
0.32,7.5,-1.49,0.36,0.15,0.48,180746,5
0.32,7.56,-1.52,0.39,0.14,0.53,180747,5
0.33,7.64,-1.56,0.43,0.13,0.58,180748,5
0.34,7.75,-1.61,0.47,0.12,0.63,180749,5
0.37,7.88,-1.66,0.51,0.09,0.68,180750,5
0.41,8.03,-1.71,0.56,0.07,0.71,180751,5
0.46,8.19,-1.78,0.6,0.04,0.75,180752,5
0.53,8.36,-1.84,0.65,0.01,0.77,180753,5
0.6,8.54,-1.9,0.69,-0.01,0.8,180754,5
0.68,8.74,-1.97,0.72,-0.04,0.82,180755,5
0.78,8.94,-2.06,0.75,-0.07,0.84,180756,5
0.88,9.15,-2.15,0.77,-0.1,0.86,180757,5
0.97,9.34,-2.26,0.79,-0.12,0.87,180758,5
1.08,9.53,-2.37,0.8,-0.14,0.87,180759,5
1.19,9.7,-2.48,0.81,-0.16,0.88,180760,5
1.31,9.87,-2.61,0.82,-0.18,0.87,180761,5
1.43,10.04,-2.75,0.82,-0.2,0.87,180762,5
1.57,10.21,-2.9,0.82,-0.22,0.86,180763,5
1.71,10.37,-3.06,0.81,-0.23,0.84,180764,5
1.85,10.52,-3.21,0.79,-0.25,0.82,180765,5
1.99,10.64,-3.38,0.77,-0.26,0.8,180766,5
2.14,10.75,-3.57,0.74,-0.27,0.78,180767,5
2.29,10.85,-3.75,0.71,-0.28,0.75,180768,5
2.44,10.93,-3.93,0.67,-0.3,0.73,180769,5
2.61,11,-4.12,0.63,-0.31,0.7,180770,5
2.77,11.05,-4.33,0.59,-0.32,0.67,180771,5
2.92,11.08,-4.53,0.54,-0.33,0.63,180772,5
3.09,11.1,-4.73,0.49,-0.34,0.61,180773,5
3.25,11.11,-4.93,0.43,-0.35,0.58,180774,5
3.41,11.11,-5.12,0.37,-0.36,0.56,180775,5
3.58,11.09,-5.32,0.31,-0.37,0.53,180776,5
3.74,11.04,-5.49,0.25,-0.38,0.51,180777,5
3.9,10.99,-5.67,0.18,-0.39,0.48,180778,5
4.06,10.93,-5.84,0.12,-0.39,0.46,180779,5
4.21,10.87,-6,0.06,-0.4,0.44,180780,5
4.36,10.79,-6.14,-0.01,-0.4,0.43,180781,5
4.51,10.71,-6.27,-0.07,-0.4,0.41,180782,5
4.66,10.61,-6.36,-0.13,-0.4,0.39,180783,5
4.81,10.51,-6.45,-0.18,-0.4,0.37,180784,5
4.95,10.4,-6.5,-0.24,-0.4,0.35,180785,5
5.11,10.31,-6.54,-0.29,-0.39,0.33,180786,5
5.25,10.2,-6.55,-0.34,-0.39,0.31,180787,5
5.4,10.1,-6.55,-0.4,-0.38,0.28,180788,5
5.54,9.98,-6.53,-0.45,-0.36,0.25,180789,5
5.67,9.85,-6.5,-0.5,-0.35,0.23,180790,5
5.81,9.75,-6.43,-0.55,-0.33,0.2,180791,5
5.94,9.64,-6.35,-0.61,-0.31,0.17,180792,5
6.05,9.53,-6.27,-0.67,-0.29,0.14,180793,5
6.15,9.42,-6.17,-0.73,-0.26,0.11,180794,5
6.23,9.32,-6.07,-0.79,-0.23,0.08,180795,5
6.3,9.21,-5.95,-0.86,-0.2,0.05,180796,5
6.36,9.11,-5.81,-0.93,-0.17,0.02,180797,5
6.4,9.01,-5.66,-1,-0.14,-0.01,180798,5
6.42,8.91,-5.49,-1.07,-0.11,-0.04,180799,5
6.43,8.78,-5.29,-1.14,-0.07,-0.07,180800,6
6.43,8.67,-5.07,-1.2,-0.04,-0.12,180801,6
6.41,8.57,-4.87,-1.24,-0.01,-0.15,180802,5
6.38,8.47,-4.65,-1.26,0.01,-0.2,180803,5
6.32,8.36,-4.39,-1.28,0.04,-0.25,180804,6
6.26,8.26,-4.11,-1.28,0.07,-0.3,180805,6
6.19,8.18,-3.86,-1.28,0.1,-0.35,180806,5
6.1,8.08,-3.57,-1.27,0.13,-0.41,180807,6
6,7.99,-3.32,-1.25,0.16,-0.45,180808,5
5.9,7.91,-3.05,-1.24,0.2,-0.49,180809,5
5.78,7.82,-2.77,-1.22,0.24,-0.52,180810,5
5.65,7.73,-2.48,-1.21,0.29,-0.55,180811,5
5.52,7.64,-2.2,-1.19,0.35,-0.58,180812,5
5.38,7.56,-1.95,-1.17,0.41,-0.59,180813,5
5.25,7.5,-1.7,-1.16,0.47,-0.6,180814,5
5.12,7.46,-1.45,-1.16,0.53,-0.6,180815,5
5,7.43,-1.21,-1.16,0.59,-0.61,180816,5
4.88,7.39,-0.96,-1.16,0.66,-0.61,180817,5
4.77,7.34,-0.73,-1.17,0.72,-0.61,180818,5
4.65,7.27,-0.51,-1.17,0.79,-0.61,180819,5
4.55,7.2,-0.31,-1.17,0.85,-0.6,180820,5
4.44,7.14,-0.1,-1.17,0.91,-0.59,180821,5
4.35,7.08,0.11,-1.15,0.96,-0.58,180822,5
4.25,7.02,0.29,-1.13,1.01,-0.57,180823,5
4.17,6.95,0.47,-1.1,1.06,-0.56,180824,5
4.07,6.89,0.64,-1.07,1.11,-0.55,180825,5
3.99,6.82,0.8,-1.02,1.14,-0.54,180826,5
3.9,6.75,0.96,-0.98,1.18,-0.53,180827,5
3.82,6.69,1.1,-0.92,1.21,-0.52,180828,5
3.74,6.62,1.24,-0.86,1.23,-0.5,180829,5
3.66,6.56,1.36,-0.79,1.26,-0.49,180830,5
3.56,6.5,1.46,-0.72,1.27,-0.48,180831,5
3.45,6.45,1.55,-0.64,1.28,-0.47,180832,5
3.36,6.4,1.6,-0.58,1.29,-0.46,180833,5
3.24,6.34,1.65,-0.5,1.28,-0.44,180834,5
3.12,6.28,1.71,-0.42,1.27,-0.41,180835,5
3,6.23,1.75,-0.33,1.26,-0.39,180836,5
2.88,6.17,1.78,-0.24,1.24,-0.36,180837,5
2.76,6.12,1.78,-0.15,1.2,-0.33,180838,5
2.62,6.06,1.77,-0.05,1.17,-0.31,180839,5
2.48,6.01,1.73,0.06,1.12,-0.27,180840,5
2.35,5.99,1.66,0.16,1.06,-0.24,180841,5
2.21,5.96,1.58,0.27,0.98,-0.21,180842,5
2.1,5.96,1.47,0.38,0.9,-0.18,180843,5
1.98,5.98,1.36,0.5,0.81,-0.15,180844,5
1.89,6.02,1.24,0.61,0.7,-0.12,180845,5
1.81,6.08,1.13,0.72,0.6,-0.1,180846,5
1.74,6.17,1,0.84,0.49,-0.07,180847,5
1.69,6.29,0.87,0.95,0.37,-0.05,180848,5
