ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
6.33,9.36,-0.73,0.15,0.22,0.12,397258,5
6.3,9.27,-0.74,0.09,0.2,0.12,397259,5
6.27,9.18,-0.74,0.02,0.17,0.12,397260,5
6.23,9.09,-0.74,-0.04,0.15,0.11,397261,5
6.2,8.99,-0.74,-0.09,0.12,0.11,397262,5
6.16,8.89,-0.72,-0.14,0.09,0.1,397263,5
6.12,8.78,-0.71,-0.19,0.06,0.08,397264,5
6.09,8.67,-0.7,-0.23,0.03,0.07,397265,5
6.04,8.56,-0.68,-0.27,0,0.05,397266,5
6,8.46,-0.66,-0.29,-0.04,0.02,397267,5
5.97,8.34,-0.64,-0.32,-0.07,0,397268,5
5.93,8.23,-0.62,-0.33,-0.11,-0.03,397269,5
5.9,8.13,-0.59,-0.35,-0.14,-0.06,397270,5
5.85,8.02,-0.56,-0.36,-0.18,-0.09,397271,5
5.82,7.92,-0.53,-0.37,-0.22,-0.12,397272,5
5.78,7.81,-0.51,-0.37,-0.25,-0.15,397273,5
5.75,7.71,-0.49,-0.38,-0.29,-0.18,397274,5
5.71,7.61,-0.47,-0.38,-0.32,-0.21,397275,5
5.67,7.52,-0.45,-0.38,-0.35,-0.24,397276,5
5.32,6.89,-0.38,-0.25,-0.53,-0.47,397277,65
6.06,8.45,-1.35,-0.02,0.27,0.05,397278,511
6.02,8.41,-1.33,-0.03,0.27,0.07,397279,5
5.98,8.37,-1.31,-0.03,0.27,0.09,397280,5
5.92,8.32,-1.27,-0.03,0.26,0.1,397281,6
5.86,8.28,-1.24,-0.03,0.25,0.11,397282,5
5.81,8.24,-1.21,-0.03,0.24,0.12,397283,5
5.75,8.2,-1.18,-0.03,0.22,0.13,397284,5
5.68,8.15,-1.14,-0.02,0.2,0.13,397285,5
5.62,8.11,-1.09,-0.01,0.19,0.13,397286,5
5.56,8.07,-1.05,-0.01,0.17,0.13,397287,5
5.51,8.03,-1,0,0.14,0.13,397288,5
5.45,7.99,-0.94,0,0.13,0.13,397289,5
5.4,7.95,-0.89,0,0.11,0.12,397290,5
5.32,7.89,-0.82,0,0.08,0.12,397291,7
5.26,7.86,-0.76,-0.01,0.07,0.12,397292,5
5.21,7.82,-0.69,-0.02,0.05,0.11,397293,6
5.16,7.79,-0.63,-0.03,0.04,0.11,397294,5
5.12,7.75,-0.56,-0.04,0.03,0.11,397295,5
5.08,7.72,-0.5,-0.05,0.03,0.11,397296,5
5.04,7.7,-0.43,-0.07,0.02,0.11,397297,5
5,7.67,-0.36,-0.09,0.02,0.1,397298,5
4.97,7.64,-0.28,-0.11,0.02,0.1,397299,5
4.93,7.61,-0.22,-0.14,0.03,0.1,397300,5
4.9,7.58,-0.15,-0.16,0.03,0.1,397301,5
4.87,7.55,-0.07,-0.18,0.04,0.1,397302,5
4.84,7.52,0,-0.2,0.05,0.1,397303,5
4.81,7.49,0.09,-0.23,0.06,0.1,397304,6
4.8,7.47,0.17,-0.24,0.06,0.09,397305,5
4.78,7.44,0.25,-0.26,0.07,0.09,397306,5
4.76,7.42,0.34,-0.27,0.08,0.08,397307,6
4.75,7.41,0.42,-0.27,0.1,0.07,397308,6
4.75,7.39,0.49,-0.27,0.1,0.05,397309,5
4.74,7.38,0.57,-0.27,0.11,0.04,397310,6
4.74,7.39,0.63,-0.26,0.12,0.03,397311,5
4.75,7.39,0.68,-0.25,0.13,0.01,397312,5
4.75,7.41,0.73,-0.23,0.14,0,397313,5
4.75,7.43,0.77,-0.21,0.15,-0.02,397314,5
4.76,7.46,0.79,-0.18,0.15,-0.04,397315,5
4.77,7.49,0.81,-0.15,0.16,-0.05,397316,5
4.78,7.53,0.83,-0.12,0.16,-0.07,397317,5
4.8,7.58,0.83,-0.08,0.16,-0.09,397318,5
4.81,7.64,0.83,-0.04,0.16,-0.11,397319,5
4.82,7.69,0.82,0.01,0.16,-0.13,397320,5
4.85,7.76,0.79,0.06,0.16,-0.15,397321,5
4.87,7.83,0.75,0.1,0.16,-0.17,397322,5
4.9,7.91,0.71,0.15,0.16,-0.19,397323,5
4.92,7.99,0.65,0.2,0.16,-0.2,397324,5
4.95,8.08,0.59,0.24,0.17,-0.21,397325,5
4.98,8.18,0.52,0.28,0.17,-0.22,397326,5
5.02,8.27,0.45,0.32,0.18,-0.22,397327,5
5.05,8.36,0.38,0.35,0.18,-0.22,397328,5
5.09,8.45,0.3,0.37,0.19,-0.22,397329,5
5.12,8.54,0.22,0.39,0.2,-0.21,397330,5
5.16,8.62,0.13,0.4,0.21,-0.2,397331,5
5.2,8.7,0.05,0.41,0.22,-0.19,397332,5
5.24,8.78,-0.04,0.42,0.23,-0.17,397333,5
5.28,8.85,-0.13,0.42,0.25,-0.16,397334,5
5.32,8.92,-0.22,0.42,0.26,-0.14,397335,5
5.37,8.98,-0.29,0.41,0.27,-0.12,397336,5
5.4,9.04,-0.37,0.41,0.28,-0.1,397337,5
5.44,9.09,-0.45,0.4,0.29,-0.07,397338,5
5.48,9.13,-0.52,0.39,0.3,-0.05,397339,5
5.51,9.16,-0.6,0.38,0.3,-0.03,397340,5
5.55,9.19,-0.67,0.37,0.31,-0.01,397341,5
5.58,9.21,-0.74,0.36,0.3,0.01,397342,5
5.61,9.22,-0.81,0.36,0.3,0.02,397343,5
5.65,9.23,-0.87,0.36,0.29,0.04,397344,5
5.68,9.23,-0.93,0.36,0.28,0.05,397345,5
5.7,9.23,-0.97,0.36,0.26,0.06,397346,5
5.73,9.23,-1.02,0.36,0.24,0.07,397347,5
5.75,9.23,-1.07,0.37,0.22,0.08,397348,5
5.76,9.22,-1.11,0.37,0.2,0.08,397349,5
5.77,9.21,-1.15,0.37,0.18,0.09,397350,5
5.78,9.2,-1.18,0.37,0.16,0.1,397351,5
5.79,9.19,-1.21,0.37,0.13,0.1,397352,5
5.8,9.17,-1.24,0.37,0.11,0.11,397353,5
5.81,9.16,-1.26,0.37,0.08,0.11,397354,5
5.81,9.14,-1.27,0.37,0.06,0.12,397355,5
5.8,9.12,-1.29,0.36,0.03,0.12,397356,5
5.8,9.11,-1.31,0.35,0.01,0.12,397357,5
5.79,9.09,-1.31,0.33,-0.01,0.13,397358,5
5.77,9.07,-1.32,0.32,-0.03,0.13,397359,5
5.75,9.05,-1.31,0.29,-0.04,0.13,397360,5
5.72,9.02,-1.3,0.27,-0.06,0.13,397361,5
5.69,9,-1.29,0.24,-0.07,0.14,397362,5
5.66,8.97,-1.27,0.21,-0.08,0.14,397363,5
5.63,8.94,-1.25,0.18,-0.09,0.14,397364,5
5.6,8.91,-1.22,0.14,-0.1,0.14,397365,5
5.57,8.88,-1.18,0.11,-0.1,0.13,397366,5
5.53,8.86,-1.14,0.07,-0.11,0.13,397367,5
5.48,8.82,-1.1,0.03,-0.11,0.13,397368,5
5.43,8.79,-1.05,-0.01,-0.11,0.13,397369,5
5.4,8.76,-1,-0.05,-0.11,0.13,397370,5
5.36,8.73,-0.95,-0.1,-0.11,0.12,397371,5
5.31,8.68,-0.9,-0.14,-0.11,0.11,397372,5
5.26,8.64,-0.83,-0.18,-0.1,0.1,397373,5
5.22,8.6,-0.76,-0.21,-0.1,0.1,397374,5
5.17,8.56,-0.68,-0.25,-0.09,0.08,397375,5
5.13,8.52,-0.62,-0.28,-0.08,0.07,397376,5
5.08,8.46,-0.55,-0.32,-0.07,0.05,397377,6
5.04,8.41,-0.47,-0.35,-0.06,0.04,397378,5
5.01,8.36,-0.4,-0.38,-0.05,0.02,397379,5
4.98,8.3,-0.31,-0.4,-0.04,0,397380,6
4.95,8.26,-0.23,-0.42,-0.03,-0.01,397381,5
4.92,8.21,-0.17,-0.44,-0.01,-0.03,397382,5
4.89,8.15,-0.1,-0.45,0,-0.06,397383,6
4.87,8.09,-0.03,-0.46,0.02,-0.08,397384,6
4.85,8.05,0.02,-0.46,0.04,-0.1,397385,5
4.82,8.01,0.08,-0.46,0.05,-0.13,397386,6
4.81,7.98,0.12,-0.45,0.07,-0.15,397387,5
4.8,7.95,0.15,-0.44,0.08,-0.17,397388,5
4.79,7.92,0.17,-0.42,0.09,-0.19,397389,5
4.78,7.9,0.2,-0.4,0.1,-0.21,397390,5
4.78,7.88,0.21,-0.37,0.11,-0.23,397391,5
4.77,7.86,0.22,-0.35,0.11,-0.25,397392,5
4.78,7.86,0.22,-0.31,0.12,-0.28,397393,5
4.79,7.86,0.22,-0.28,0.12,-0.3,397394,5
4.8,7.86,0.22,-0.24,0.12,-0.31,397395,5
4.82,7.87,0.21,-0.2,0.12,-0.33,397396,5
4.84,7.89,0.2,-0.16,0.11,-0.34,397397,5
4.86,7.91,0.19,-0.12,0.11,-0.36,397398,5
4.88,7.92,0.17,-0.08,0.1,-0.37,397399,5
4.9,7.95,0.15,-0.04,0.09,-0.38,397400,5
4.92,7.98,0.12,0,0.08,-0.38,397401,5
4.95,8.01,0.1,0.04,0.07,-0.38,397402,5
4.97,8.04,0.07,0.07,0.06,-0.38,397403,5
4.98,8.08,0.03,0.11,0.05,-0.38,397404,5
5.01,8.12,0,0.14,0.03,-0.37,397405,5
