ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
4.71,9.52,-0.55,0.24,0.04,0.26,370852,5
4.81,9.55,-0.59,0.24,0.04,0.24,370853,5
4.9,9.58,-0.63,0.24,0.03,0.22,370854,5
4.99,9.6,-0.68,0.24,0.03,0.2,370855,5
5.09,9.62,-0.73,0.24,0.02,0.18,370856,5
5.2,9.64,-0.77,0.24,0.01,0.17,370857,5
5.31,9.65,-0.81,0.24,0.01,0.15,370858,5
5.41,9.66,-0.84,0.23,0,0.13,370859,5
5.53,9.66,-0.88,0.23,-0.01,0.12,370860,5
5.64,9.66,-0.91,0.22,-0.01,0.1,370861,5
5.75,9.65,-0.94,0.21,-0.02,0.08,370862,5
5.86,9.65,-0.97,0.2,-0.02,0.07,370863,5
5.97,9.63,-1,0.19,-0.03,0.06,370864,5
6.08,9.62,-1.02,0.18,-0.03,0.04,370865,5
6.18,9.6,-1.05,0.16,-0.03,0.03,370866,5
6.28,9.58,-1.07,0.15,-0.03,0.02,370867,5
6.38,9.55,-1.08,0.13,-0.02,0.01,370868,5
6.45,9.51,-1.09,0.11,-0.02,-0.01,370869,5
6.54,9.48,-1.11,0.09,-0.02,-0.02,370870,5
6.61,9.44,-1.13,0.07,-0.01,-0.03,370871,5
6.68,9.39,-1.14,0.05,0,-0.04,370872,5
6.74,9.35,-1.17,0.03,0,-0.06,370873,5
6.87,9.22,-1.23,-0.02,0.02,-0.1,370874,14
6.9,9.17,-1.25,-0.03,0.03,-0.12,370875,5
6.93,9.1,-1.29,-0.06,0.04,-0.14,370876,6
6.93,9.05,-1.32,-0.07,0.04,-0.15,370877,5
6.94,8.99,-1.35,-0.09,0.05,-0.17,370878,5
6.93,8.94,-1.38,-0.11,0.05,-0.19,370879,5
6.92,8.88,-1.41,-0.13,0.06,-0.2,370880,5
6.88,8.83,-1.43,-0.15,0.06,-0.22,370881,5
6.84,8.78,-1.46,-0.17,0.07,-0.24,370882,5
6.78,8.73,-1.48,-0.19,0.07,-0.26,370883,5
6.73,8.68,-1.52,-0.2,0.07,-0.28,370884,5
6.65,8.62,-1.54,-0.22,0.07,-0.3,370885,5
6.57,8.57,-1.56,-0.23,0.06,-0.32,370886,5
6.49,8.52,-1.59,-0.24,0.06,-0.35,370887,5
6.39,8.47,-1.6,-0.25,0.05,-0.37,370888,5
6.27,8.43,-1.63,-0.25,0.04,-0.4,370889,5
6.16,8.38,-1.64,-0.25,0.03,-0.43,370890,5
6.04,8.34,-1.67,-0.25,0.02,-0.46,370891,5
5.91,8.3,-1.68,-0.25,0,-0.48,370892,5
5.79,8.26,-1.69,-0.25,-0.01,-0.51,370893,5
5.67,8.23,-1.69,-0.25,-0.03,-0.54,370894,5
5.53,8.2,-1.7,-0.25,-0.05,-0.56,370895,5
5.4,8.17,-1.7,-0.24,-0.06,-0.58,370896,5
5.26,8.15,-1.7,-0.24,-0.08,-0.6,370897,5
5.13,8.13,-1.69,-0.24,-0.09,-0.62,370898,5
4.98,8.12,-1.69,-0.25,-0.11,-0.63,370899,5
4.84,8.1,-1.67,-0.26,-0.12,-0.64,370900,5
4.7,8.09,-1.65,-0.27,-0.14,-0.65,370901,5
4.55,8.09,-1.62,-0.28,-0.15,-0.65,370902,5
4.41,8.08,-1.59,-0.29,-0.16,-0.65,370903,5
4.27,8.07,-1.54,-0.31,-0.18,-0.64,370904,5
4.13,8.06,-1.49,-0.33,-0.19,-0.64,370905,5
3.99,8.05,-1.44,-0.34,-0.2,-0.63,370906,5
3.85,8.04,-1.37,-0.36,-0.22,-0.62,370907,5
3.73,8.04,-1.31,-0.37,-0.23,-0.61,370908,5
3.58,8.03,-1.22,-0.38,-0.25,-0.59,370909,6
3.46,8.02,-1.14,-0.39,-0.26,-0.58,370910,5
3.36,8.01,-1.05,-0.4,-0.27,-0.56,370911,5
3.26,7.99,-0.96,-0.4,-0.28,-0.55,370912,5
3.17,7.98,-0.87,-0.39,-0.29,-0.53,370913,5
3.08,7.97,-0.77,-0.39,-0.3,-0.51,370914,5
3,7.96,-0.68,-0.38,-0.3,-0.49,370915,5
2.92,7.94,-0.58,-0.37,-0.3,-0.46,370916,5
2.85,7.93,-0.47,-0.35,-0.29,-0.44,370917,5
2.79,7.92,-0.37,-0.34,-0.28,-0.41,370918,5
2.73,7.9,-0.26,-0.32,-0.27,-0.38,370919,5
2.67,7.88,-0.15,-0.3,-0.25,-0.34,370920,5
2.61,7.86,-0.03,-0.28,-0.23,-0.31,370921,5
2.54,7.83,0.08,-0.26,-0.21,-0.27,370922,5
2.49,7.81,0.19,-0.24,-0.18,-0.23,370923,5
2.43,7.79,0.3,-0.22,-0.16,-0.18,370924,5
2.37,7.77,0.41,-0.19,-0.13,-0.14,370925,5
2.32,7.74,0.52,-0.17,-0.1,-0.1,370926,5
2.26,7.7,0.62,-0.15,-0.07,-0.05,370927,5
