ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
4.79,7.68,0.54,-0.28,0.25,-0.1,376765,5
4.78,7.67,0.59,-0.23,0.27,-0.09,376766,5
4.77,7.67,0.65,-0.18,0.29,-0.07,376767,5
4.77,7.67,0.7,-0.12,0.31,-0.06,376768,5
4.77,7.68,0.75,-0.07,0.33,-0.04,376769,5
4.77,7.7,0.81,-0.02,0.35,-0.03,376770,5
4.77,7.72,0.87,0.03,0.37,-0.01,376771,5
4.77,7.74,0.93,0.08,0.4,0.01,376772,5
4.76,7.77,0.99,0.12,0.42,0.03,376773,5
4.75,7.8,1.05,0.16,0.45,0.05,376774,5
4.73,7.83,1.11,0.19,0.48,0.08,376775,5
4.71,7.87,1.17,0.22,0.52,0.11,376776,5
4.68,7.91,1.24,0.24,0.55,0.14,376777,5
4.64,7.95,1.31,0.26,0.59,0.17,376778,5
4.6,7.99,1.38,0.28,0.62,0.21,376779,5
4.55,8.03,1.44,0.3,0.65,0.24,376780,5
4.49,8.07,1.51,0.32,0.68,0.27,376781,5
4.42,8.12,1.57,0.34,0.71,0.3,376782,5
4.35,8.16,1.65,0.36,0.73,0.33,376783,5
4.28,8.21,1.71,0.38,0.75,0.35,376784,5
4.19,8.26,1.77,0.4,0.77,0.37,376785,5
4.09,8.31,1.84,0.43,0.78,0.39,376786,5
3.97,8.34,1.89,0.45,0.79,0.41,376787,5
3.88,8.4,1.96,0.47,0.79,0.43,376788,5
3.79,8.45,2.02,0.5,0.79,0.44,376789,5
3.69,8.51,2.06,0.53,0.79,0.45,376790,5
3.61,8.56,2.11,0.56,0.78,0.45,376791,5
3.52,8.61,2.14,0.58,0.77,0.45,376792,5
3.43,8.66,2.15,0.6,0.76,0.45,376793,5
3.36,8.7,2.16,0.62,0.75,0.45,376794,5
3.28,8.73,2.18,0.63,0.74,0.45,376795,5
3.23,8.75,2.16,0.64,0.72,0.45,376796,5
3.18,8.76,2.14,0.64,0.7,0.45,376797,5
3.12,8.75,2.12,0.64,0.68,0.46,376798,5
3.08,8.74,2.09,0.64,0.66,0.46,376799,5
3.05,8.73,2.07,0.64,0.63,0.46,376800,5
3.02,8.72,2.04,0.64,0.6,0.46,376801,5
2.99,8.71,1.99,0.64,0.57,0.46,376802,5
2.96,8.7,1.94,0.64,0.54,0.46,376803,5
2.94,8.69,1.87,0.64,0.49,0.45,376804,5
2.92,8.67,1.79,0.64,0.45,0.44,376805,5
2.91,8.66,1.7,0.65,0.4,0.43,376806,5
2.9,8.67,1.6,0.66,0.34,0.42,376807,5
2.89,8.68,1.49,0.67,0.28,0.4,376808,5
2.89,8.71,1.38,0.68,0.22,0.37,376809,5
2.9,8.74,1.26,0.7,0.15,0.34,376810,5
2.91,8.78,1.13,0.71,0.07,0.31,376811,5
2.95,8.84,0.99,0.73,0,0.28,376812,5
3,8.9,0.84,0.75,-0.08,0.24,376813,5
3.05,8.98,0.68,0.77,-0.15,0.2,376814,5
3.12,9.06,0.51,0.78,-0.23,0.17,376815,5
3.21,9.17,0.33,0.79,-0.31,0.14,376816,5
3.31,9.27,0.16,0.79,-0.38,0.11,376817,5
3.42,9.39,-0.03,0.77,-0.45,0.08,376818,5
3.54,9.51,-0.22,0.76,-0.52,0.06,376819,5
3.67,9.62,-0.41,0.73,-0.58,0.05,376820,5
3.8,9.73,-0.6,0.69,-0.65,0.04,376821,5
3.94,9.84,-0.79,0.66,-0.7,0.03,376822,5
4.07,9.93,-0.99,0.62,-0.76,0.02,376823,5
4.21,10.02,-1.18,0.6,-0.8,0.01,376824,5
4.34,10.08,-1.38,0.58,-0.85,-0.01,376825,5
