ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
5.81,8.29,-0.98,-0.03,0.19,-0.35,509948,5
5.75,8.29,-0.98,-0.04,0.18,-0.37,509949,5
5.69,8.3,-0.97,-0.05,0.17,-0.38,509950,5
5.63,8.3,-0.97,-0.06,0.15,-0.4,509951,5
5.56,8.3,-0.97,-0.07,0.14,-0.41,509952,5
5.49,8.29,-0.97,-0.09,0.12,-0.42,509953,5
5.43,8.28,-0.97,-0.1,0.11,-0.43,509954,5
5.35,8.27,-0.97,-0.11,0.09,-0.44,509955,5
5.26,8.26,-0.97,-0.13,0.08,-0.44,509956,6
5.19,8.25,-0.98,-0.14,0.06,-0.45,509957,5
5.12,8.23,-0.98,-0.16,0.05,-0.45,509958,5
5.05,8.2,-0.98,-0.18,0.04,-0.45,509959,5
4.97,8.18,-0.98,-0.2,0.03,-0.44,509960,5
4.91,8.15,-0.98,-0.22,0.02,-0.44,509961,5
4.84,8.11,-0.98,-0.24,0.01,-0.43,509962,5
4.77,8.08,-0.98,-0.26,-0.01,-0.42,509963,5
4.7,8.03,-0.98,-0.28,-0.02,-0.41,509964,6
4.65,7.98,-0.97,-0.3,-0.03,-0.4,509965,5
4.59,7.94,-0.97,-0.32,-0.04,-0.39,509966,5
4.53,7.88,-0.96,-0.34,-0.05,-0.38,509967,6
4.47,7.82,-0.94,-0.35,-0.07,-0.37,509968,6
4.43,7.77,-0.92,-0.36,-0.08,-0.36,509969,5
4.38,7.71,-0.9,-0.37,-0.09,-0.35,509970,6
4.35,7.67,-0.87,-0.37,-0.11,-0.35,509971,5
4.32,7.61,-0.84,-0.37,-0.12,-0.34,509972,6
4.3,7.57,-0.8,-0.36,-0.14,-0.34,509973,5
4.28,7.54,-0.77,-0.35,-0.15,-0.33,509974,5
4.26,7.51,-0.72,-0.34,-0.17,-0.33,509975,5
4.25,7.47,-0.69,-0.32,-0.18,-0.33,509976,5
4.25,7.44,-0.65,-0.31,-0.19,-0.33,509977,5
4.26,7.42,-0.61,-0.29,-0.2,-0.32,509978,5
4.26,7.4,-0.57,-0.27,-0.21,-0.32,509979,5
4.28,7.39,-0.52,-0.25,-0.22,-0.32,509980,5
4.29,7.38,-0.48,-0.23,-0.22,-0.31,509981,5
4.32,7.38,-0.44,-0.21,-0.23,-0.3,509982,5
4.34,7.37,-0.4,-0.19,-0.23,-0.29,509983,5
4.37,7.38,-0.36,-0.17,-0.22,-0.28,509984,5
4.4,7.39,-0.32,-0.15,-0.22,-0.27,509985,5
4.43,7.4,-0.27,-0.14,-0.21,-0.25,509986,5
4.47,7.42,-0.24,-0.12,-0.2,-0.24,509987,5
4.51,7.44,-0.2,-0.1,-0.19,-0.22,509988,5
4.54,7.47,-0.17,-0.08,-0.17,-0.2,509989,5
4.57,7.5,-0.13,-0.06,-0.16,-0.19,509990,5
4.6,7.53,-0.1,-0.05,-0.14,-0.17,509991,5
4.64,7.56,-0.07,-0.03,-0.12,-0.15,509992,5
4.68,7.59,-0.04,-0.01,-0.1,-0.13,509993,5
4.72,7.63,-0.01,0.01,-0.07,-0.12,509994,5
4.76,7.67,0.01,0.03,-0.05,-0.1,509995,5
4.8,7.71,0.03,0.04,-0.03,-0.08,509996,5
4.85,7.75,0.04,0.06,0,-0.06,509997,5
4.89,7.8,0.06,0.08,0.03,-0.05,509998,5
4.94,7.84,0.06,0.09,0.06,-0.03,509999,5
4.99,7.89,0.06,0.1,0.09,-0.01,510000,5
5.04,7.94,0.06,0.11,0.12,0,510001,5
5.09,7.98,0.06,0.12,0.15,0.02,510002,5
5.15,8.03,0.05,0.13,0.19,0.04,510003,5
5.19,8.07,0.05,0.13,0.22,0.06,510004,5
5.25,8.12,0.04,0.14,0.26,0.07,510005,5
5.3,8.16,0.03,0.14,0.29,0.09,510006,5
5.35,8.2,0.03,0.14,0.33,0.11,510007,5
5.4,8.24,0.01,0.14,0.36,0.12,510008,5
5.44,8.28,0,0.15,0.39,0.13,510009,5
5.48,8.32,-0.03,0.15,0.42,0.15,510010,5
5.53,8.36,-0.04,0.15,0.46,0.16,510011,5
5.57,8.4,-0.06,0.15,0.49,0.17,510012,6
5.61,8.43,-0.09,0.16,0.52,0.17,510013,5
5.65,8.46,-0.11,0.16,0.54,0.18,510014,5
5.68,8.49,-0.14,0.17,0.56,0.18,510015,5
5.71,8.53,-0.17,0.17,0.58,0.18,510016,5
5.75,8.57,-0.2,0.19,0.6,0.18,510017,7
5.77,8.6,-0.23,0.19,0.62,0.17,510018,5
5.79,8.63,-0.27,0.2,0.63,0.17,510019,5
5.81,8.66,-0.3,0.21,0.63,0.16,510020,6
5.82,8.69,-0.32,0.22,0.64,0.15,510021,5
5.83,8.72,-0.35,0.22,0.64,0.14,510022,5
5.83,8.74,-0.38,0.23,0.64,0.14,510023,5
5.83,8.77,-0.42,0.24,0.64,0.13,510024,5
5.84,8.8,-0.44,0.24,0.63,0.12,510025,5
5.84,8.81,-0.48,0.24,0.63,0.11,510026,5
5.83,8.82,-0.51,0.24,0.62,0.1,510027,5
5.83,8.84,-0.54,0.23,0.61,0.09,510028,5
5.83,8.85,-0.57,0.22,0.59,0.08,510029,5
5.83,8.86,-0.61,0.21,0.58,0.07,510030,5
5.83,8.87,-0.63,0.2,0.57,0.06,510031,5
5.83,8.86,-0.66,0.19,0.56,0.05,510032,5
5.83,8.86,-0.68,0.17,0.54,0.04,510033,5
5.82,8.85,-0.68,0.15,0.53,0.03,510034,5
5.82,8.83,-0.69,0.13,0.51,0.02,510035,5
5.82,8.81,-0.7,0.1,0.49,0.01,510036,5
5.82,8.78,-0.69,0.08,0.48,0,510037,5
5.82,8.75,-0.68,0.05,0.46,-0.01,510038,5
5.81,8.71,-0.67,0.02,0.44,-0.03,510039,5
5.81,8.68,-0.65,0,0.42,-0.04,510040,5
5.8,8.63,-0.62,-0.03,0.4,-0.06,510041,5
5.8,8.59,-0.58,-0.05,0.37,-0.08,510042,5
5.81,8.54,-0.54,-0.07,0.35,-0.09,510043,5
5.8,8.49,-0.5,-0.1,0.33,-0.11,510044,5
5.81,8.44,-0.45,-0.12,0.31,-0.13,510045,5
5.8,8.39,-0.39,-0.13,0.29,-0.15,510046,5
5.8,8.33,-0.33,-0.15,0.27,-0.17,510047,5
5.81,8.28,-0.27,-0.16,0.26,-0.19,510048,5
5.81,8.23,-0.2,-0.17,0.24,-0.21,510049,5
5.81,8.18,-0.13,-0.18,0.23,-0.23,510050,5
5.8,8.12,-0.07,-0.19,0.22,-0.25,510051,5
5.8,8.08,0.01,-0.19,0.21,-0.27,510052,5
5.78,8.03,0.08,-0.19,0.2,-0.29,510053,5
5.77,7.99,0.15,-0.19,0.2,-0.3,510054,5
5.75,7.95,0.23,-0.19,0.2,-0.32,510055,5
5.73,7.91,0.31,-0.19,0.21,-0.33,510056,5
5.7,7.87,0.39,-0.18,0.21,-0.35,510057,5
5.66,7.84,0.46,-0.18,0.22,-0.36,510058,5
5.62,7.81,0.52,-0.17,0.23,-0.37,510059,5
5.59,7.78,0.58,-0.17,0.24,-0.39,510060,5
5.54,7.75,0.64,-0.16,0.25,-0.4,510061,5
5.5,7.73,0.69,-0.15,0.27,-0.41,510062,5
5.47,7.72,0.74,-0.14,0.28,-0.42,510063,5
5.43,7.71,0.79,-0.13,0.3,-0.42,510064,5
5.38,7.71,0.83,-0.11,0.32,-0.43,510065,5
5.34,7.71,0.86,-0.1,0.34,-0.43,510066,5
5.29,7.72,0.88,-0.09,0.36,-0.44,510067,5
5.25,7.73,0.9,-0.07,0.38,-0.44,510068,5
5.2,7.75,0.91,-0.06,0.4,-0.44,510069,5
5.15,7.77,0.91,-0.04,0.42,-0.43,510070,5
5.09,7.8,0.92,-0.02,0.44,-0.43,510071,5
5.04,7.83,0.91,0,0.46,-0.43,510072,5
5,7.87,0.91,0.01,0.47,-0.42,510073,5
4.95,7.91,0.89,0.03,0.49,-0.42,510074,5
4.9,7.96,0.87,0.05,0.5,-0.41,510075,5
4.86,8.01,0.84,0.07,0.51,-0.4,510076,5
4.8,8.07,0.81,0.09,0.51,-0.39,510077,5
4.75,8.13,0.78,0.11,0.52,-0.38,510078,5
4.7,8.19,0.74,0.14,0.51,-0.37,510079,5
4.66,8.26,0.7,0.16,0.51,-0.36,510080,5
4.61,8.33,0.66,0.18,0.5,-0.35,510081,5
4.56,8.4,0.62,0.21,0.48,-0.34,510082,5
4.51,8.48,0.56,0.23,0.47,-0.33,510083,5
4.47,8.55,0.52,0.26,0.44,-0.32,510084,5
4.43,8.63,0.47,0.28,0.42,-0.31,510085,5
4.39,8.71,0.43,0.31,0.39,-0.3,510086,5
4.35,8.79,0.38,0.33,0.35,-0.29,510087,5
4.32,8.87,0.33,0.35,0.32,-0.28,510088,5
4.3,8.95,0.28,0.37,0.28,-0.27,510089,5
4.28,9.03,0.24,0.38,0.24,-0.25,510090,5
4.26,9.11,0.2,0.39,0.2,-0.24,510091,5
4.24,9.18,0.15,0.4,0.16,-0.23,510092,5
4.22,9.26,0.11,0.41,0.12,-0.21,510093,5
4.21,9.32,0.07,0.42,0.07,-0.2,510094,5
4.2,9.38,0.05,0.42,0.03,-0.18,510095,5
4.2,9.45,-0.01,0.42,-0.03,-0.16,510096,6
4.19,9.51,-0.05,0.42,-0.08,-0.14,510097,5
4.19,9.56,-0.07,0.42,-0.13,-0.12,510098,5
4.2,9.61,-0.11,0.42,-0.17,-0.1,510099,5
4.21,9.66,-0.14,0.42,-0.22,-0.08,510100,5
4.23,9.7,-0.16,0.42,-0.27,-0.06,510101,5
4.24,9.73,-0.2,0.42,-0.31,-0.04,510102,5
4.24,9.76,-0.22,0.41,-0.35,-0.02,510103,5
4.26,9.79,-0.26,0.41,-0.39,0,510104,5
4.26,9.81,-0.28,0.4,-0.43,0.02,510105,5
4.27,9.84,-0.31,0.4,-0.47,0.04,510106,5
4.27,9.85,-0.34,0.39,-0.51,0.06,510107,5
4.27,9.87,-0.36,0.38,-0.54,0.08,510108,5
4.27,9.87,-0.38,0.36,-0.58,0.1,510109,5
4.26,9.87,-0.4,0.35,-0.61,0.12,510110,5
4.25,9.87,-0.41,0.33,-0.64,0.14,510111,5
4.24,9.87,-0.43,0.31,-0.67,0.16,510112,5
4.22,9.86,-0.45,0.28,-0.7,0.18,510113,5
4.2,9.85,-0.45,0.26,-0.72,0.2,510114,5
4.19,9.84,-0.45,0.23,-0.75,0.21,510115,5
4.18,9.82,-0.45,0.2,-0.77,0.23,510116,5
4.18,9.8,-0.46,0.18,-0.79,0.24,510117,5
4.17,9.79,-0.45,0.15,-0.81,0.25,510118,5
4.17,9.76,-0.44,0.12,-0.82,0.26,510119,5
4.17,9.74,-0.44,0.1,-0.84,0.27,510120,5
4.18,9.72,-0.43,0.07,-0.85,0.28,510121,5
4.19,9.69,-0.42,0.04,-0.86,0.28,510122,5
4.2,9.68,-0.4,0.02,-0.86,0.29,510123,5
4.21,9.66,-0.4,0,-0.86,0.29,510124,5
4.22,9.64,-0.39,-0.03,-0.86,0.29,510125,5
4.23,9.62,-0.37,-0.05,-0.86,0.29,510126,5
4.23,9.61,-0.35,-0.07,-0.85,0.29,510127,5
4.24,9.6,-0.32,-0.09,-0.85,0.29,510128,5
4.25,9.59,-0.31,-0.11,-0.84,0.29,510129,5
4.26,9.58,-0.28,-0.12,-0.83,0.28,510130,5
4.27,9.58,-0.27,-0.13,-0.81,0.28,510131,5
4.29,9.58,-0.24,-0.13,-0.8,0.27,510132,6
4.3,9.58,-0.22,-0.13,-0.78,0.26,510133,5
4.32,9.58,-0.2,-0.13,-0.76,0.26,510134,5
4.33,9.58,-0.18,-0.13,-0.74,0.25,510135,5
4.35,9.59,-0.18,-0.12,-0.72,0.24,510136,5
4.37,9.6,-0.17,-0.11,-0.69,0.23,510137,6
4.39,9.61,-0.16,-0.1,-0.67,0.22,510138,6
4.41,9.62,-0.16,-0.09,-0.64,0.21,510139,5
4.42,9.63,-0.18,-0.08,-0.61,0.2,510140,6
4.42,9.64,-0.18,-0.07,-0.58,0.2,510141,5
4.43,9.65,-0.2,-0.06,-0.56,0.19,510142,5
4.42,9.66,-0.21,-0.05,-0.54,0.18,510143,5
4.42,9.68,-0.23,-0.03,-0.51,0.17,510144,5
4.41,9.7,-0.26,-0.02,-0.49,0.17,510145,5
4.4,9.71,-0.29,-0.01,-0.47,0.16,510146,5
4.39,9.71,-0.32,0,-0.45,0.15,510147,5
4.37,9.72,-0.37,0.01,-0.44,0.15,510148,5
4.38,9.72,-0.44,0.02,-0.42,0.14,510149,5
4.41,9.73,-0.5,0.03,-0.41,0.14,510150,5
4.42,9.73,-0.55,0.04,-0.39,0.14,510151,5
4.42,9.71,-0.62,0.05,-0.38,0.14,510152,5
4.39,9.69,-0.69,0.06,-0.37,0.14,510153,5
4.38,9.68,-0.76,0.06,-0.36,0.15,510154,5
4.38,9.68,-0.84,0.06,-0.36,0.15,510155,5
4.36,9.67,-0.9,0.06,-0.35,0.16,510156,5
4.33,9.64,-0.97,0.07,-0.34,0.16,510157,5
4.31,9.61,-1.05,0.06,-0.34,0.18,510158,5
4.3,9.59,-1.11,0.06,-0.35,0.19,510159,5
4.31,9.56,-1.18,0.05,-0.35,0.2,510160,5
4.3,9.52,-1.23,0.04,-0.35,0.22,510161,5
4.28,9.46,-1.29,0.02,-0.35,0.23,510162,5
4.25,9.41,-1.33,0.01,-0.35,0.25,510163,5
4.23,9.35,-1.38,-0.01,-0.36,0.27,510164,5
4.24,9.3,-1.41,-0.03,-0.37,0.29,510165,5
4.25,9.24,-1.45,-0.05,-0.37,0.31,510166,5
4.26,9.17,-1.47,-0.07,-0.38,0.32,510167,5
4.25,9.08,-1.48,-0.08,-0.38,0.34,510168,5
4.24,9,-1.49,-0.1,-0.39,0.35,510169,5
4.24,8.93,-1.5,-0.11,-0.4,0.37,510170,5
4.27,8.86,-1.5,-0.12,-0.4,0.39,510171,5
4.31,8.78,-1.48,-0.13,-0.41,0.4,510172,5
4.33,8.68,-1.46,-0.14,-0.41,0.41,510173,5
4.35,8.59,-1.43,-0.15,-0.41,0.42,510174,5
4.38,8.5,-1.39,-0.15,-0.41,0.43,510175,5
4.42,8.42,-1.35,-0.15,-0.41,0.44,510176,5
4.46,8.35,-1.31,-0.15,-0.4,0.45,510177,5
4.5,8.26,-1.25,-0.15,-0.39,0.45,510178,5
4.52,8.18,-1.18,-0.14,-0.38,0.46,510179,5
4.55,8.1,-1.09,-0.13,-0.37,0.46,510180,5
4.58,8.03,-1.02,-0.12,-0.36,0.47,510181,5
4.62,7.96,-0.93,-0.11,-0.34,0.47,510182,5
4.66,7.9,-0.83,-0.09,-0.32,0.47,510183,5
4.7,7.84,-0.73,-0.07,-0.29,0.47,510184,5
4.72,7.78,-0.64,-0.05,-0.26,0.47,510185,5
4.76,7.73,-0.52,-0.03,-0.23,0.47,510186,5
4.79,7.69,-0.4,-0.01,-0.19,0.47,510187,5
4.82,7.65,-0.29,0.01,-0.15,0.47,510188,5
4.84,7.62,-0.18,0.02,-0.11,0.47,510189,5
4.87,7.6,-0.06,0.04,-0.06,0.47,510190,5
4.9,7.58,0.06,0.06,-0.01,0.47,510191,5
4.97,7.55,0.38,0.1,0.15,0.47,510192,14
4.98,7.55,0.49,0.11,0.21,0.47,510193,5
5,7.56,0.59,0.12,0.27,0.47,510194,5
5.02,7.57,0.7,0.13,0.34,0.47,510195,5
5.04,7.58,0.78,0.14,0.4,0.47,510196,5
5.08,7.6,0.86,0.15,0.46,0.47,510197,5
5.1,7.61,0.94,0.15,0.52,0.46,510198,5
5.11,7.63,1,0.16,0.58,0.46,510199,5
5.12,7.65,1.06,0.17,0.64,0.45,510200,5
5.14,7.67,1.11,0.18,0.7,0.44,510201,6
5.15,7.7,1.13,0.18,0.74,0.43,510202,5
5.16,7.73,1.14,0.19,0.79,0.42,510203,5
5.17,7.76,1.13,0.21,0.82,0.4,510204,5
5.19,7.79,1.11,0.23,0.85,0.38,510205,5
