ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
4.88,8.86,-1.2,-0.1,0.23,-0.3,263626,5
4.83,8.86,-1.21,-0.09,0.22,-0.31,263627,5
4.76,8.86,-1.22,-0.07,0.22,-0.33,263628,5
4.7,8.85,-1.25,-0.06,0.21,-0.34,263629,5
4.62,8.85,-1.27,-0.05,0.2,-0.35,263630,5
4.55,8.85,-1.31,-0.04,0.18,-0.36,263631,5
4.47,8.84,-1.36,-0.03,0.17,-0.37,263632,5
4.4,8.83,-1.41,-0.02,0.15,-0.38,263633,5
4.31,8.83,-1.47,-0.01,0.13,-0.39,263634,5
4.24,8.83,-1.54,0,0.1,-0.39,263635,5
4.18,8.83,-1.6,0.02,0.08,-0.4,263636,5
4.11,8.83,-1.66,0.03,0.05,-0.4,263637,5
4.04,8.84,-1.73,0.04,0.02,-0.4,263638,5
3.98,8.84,-1.79,0.05,-0.02,-0.4,263639,5
3.92,8.85,-1.87,0.06,-0.05,-0.4,263640,5
3.87,8.86,-1.94,0.07,-0.09,-0.4,263641,5
3.83,8.87,-2,0.09,-0.12,-0.4,263642,5
3.78,8.88,-2.06,0.1,-0.16,-0.4,263643,5
3.75,8.9,-2.14,0.11,-0.19,-0.4,263644,5
3.71,8.93,-2.21,0.13,-0.23,-0.39,263645,6
3.68,8.95,-2.28,0.14,-0.26,-0.38,263646,5
3.64,8.97,-2.36,0.15,-0.29,-0.38,263647,5
3.61,9,-2.41,0.17,-0.32,-0.37,263648,5
3.58,9.02,-2.49,0.18,-0.34,-0.36,263649,5
3.54,9.05,-2.56,0.18,-0.37,-0.35,263650,5
3.52,9.08,-2.63,0.19,-0.39,-0.34,263651,5
3.48,9.1,-2.68,0.19,-0.41,-0.33,263652,5
3.46,9.12,-2.74,0.19,-0.42,-0.31,263653,5
3.43,9.14,-2.81,0.18,-0.43,-0.3,263654,5
3.4,9.16,-2.88,0.17,-0.44,-0.28,263655,5
3.37,9.18,-2.94,0.16,-0.44,-0.26,263656,5
2.75,9.11,-3.22,-0.34,-0.22,0.07,263657,97
2.7,9.1,-3.17,-0.35,-0.22,0.08,263658,5
2.66,9.07,-3.13,-0.36,-0.23,0.08,263659,5
2.62,9.05,-3.07,-0.38,-0.24,0.08,263660,5
2.57,9.03,-3.01,-0.39,-0.26,0.08,263661,5
2.53,9.01,-2.95,-0.4,-0.27,0.08,263662,5
2.34,8.91,-2.55,-0.44,-0.37,0.07,263663,27
2.32,8.88,-2.47,-0.45,-0.39,0.07,263664,5
2.3,8.86,-2.38,-0.46,-0.4,0.07,263665,5
2.28,8.84,-2.3,-0.47,-0.41,0.07,263666,5
2.27,8.82,-2.21,-0.49,-0.42,0.07,263667,5
2.27,8.78,-2.12,-0.5,-0.43,0.08,263668,5
2.27,8.75,-2.03,-0.51,-0.44,0.08,263669,5
2.32,8.65,-1.59,-0.6,-0.41,0.12,263670,22
2.34,8.61,-1.47,-0.61,-0.4,0.13,263671,5
2.35,8.57,-1.36,-0.63,-0.39,0.13,263672,5
2.37,8.51,-1.25,-0.64,-0.37,0.14,263673,5
2.42,8.45,-1.12,-0.65,-0.35,0.15,263674,6
2.47,8.41,-0.99,-0.66,-0.32,0.16,263675,6
2.52,8.39,-0.88,-0.66,-0.3,0.17,263676,5
2.57,8.36,-0.77,-0.67,-0.27,0.18,263677,5
2.64,8.33,-0.63,-0.68,-0.23,0.19,263678,6
2.68,8.29,-0.51,-0.68,-0.19,0.21,263679,5
2.72,8.25,-0.4,-0.68,-0.15,0.22,263680,5
2.77,8.2,-0.28,-0.68,-0.12,0.24,263681,5
2.81,8.15,-0.17,-0.67,-0.08,0.25,263682,5
2.85,8.11,-0.06,-0.66,-0.04,0.26,263683,5
2.89,8.09,0.04,-0.63,-0.01,0.27,263684,5
2.94,8.07,0.15,-0.61,0.03,0.28,263685,5
2.98,8.04,0.24,-0.58,0.06,0.28,263686,5
3.02,8,0.33,-0.55,0.09,0.29,263687,5
3.06,7.98,0.42,-0.51,0.12,0.3,263688,5
3.09,7.97,0.49,-0.47,0.15,0.3,263689,5
3.12,7.97,0.57,-0.42,0.17,0.31,263690,5
3.17,7.97,0.63,-0.38,0.2,0.31,263691,5
3.21,7.98,0.7,-0.33,0.22,0.31,263692,5
3.23,7.98,0.75,-0.28,0.23,0.31,263693,5
3.26,7.97,0.78,-0.23,0.25,0.31,263694,5
3.29,7.97,0.81,-0.17,0.26,0.32,263695,5
3.34,8,0.85,-0.12,0.26,0.32,263696,5
3.39,8.06,0.88,-0.06,0.27,0.32,263697,5
3.43,8.1,0.89,-0.01,0.27,0.31,263698,5
3.47,8.13,0.89,0.05,0.27,0.31,263699,5
3.52,8.17,0.89,0.11,0.27,0.3,263700,5
3.58,8.21,0.87,0.17,0.26,0.3,263701,5
3.63,8.27,0.85,0.22,0.25,0.3,263702,5
3.7,8.35,0.83,0.28,0.24,0.3,263703,5
3.77,8.43,0.79,0.33,0.24,0.29,263704,5
3.84,8.51,0.75,0.38,0.23,0.29,263705,5
3.91,8.59,0.7,0.43,0.22,0.29,263706,5
3.99,8.67,0.64,0.48,0.22,0.28,263707,5
4.06,8.75,0.57,0.53,0.21,0.28,263708,5
4.14,8.83,0.5,0.57,0.2,0.28,263709,5
4.22,8.92,0.42,0.62,0.2,0.27,263710,5
4.3,9,0.33,0.66,0.19,0.27,263711,5
4.38,9.09,0.23,0.7,0.19,0.27,263712,5
4.47,9.2,0.13,0.73,0.19,0.26,263713,5
4.54,9.31,0.02,0.76,0.19,0.26,263714,5
4.61,9.41,-0.09,0.79,0.19,0.25,263715,5
4.65,9.49,-0.18,0.81,0.19,0.25,263716,5
4.71,9.57,-0.29,0.83,0.19,0.25,263717,5
4.75,9.65,-0.4,0.85,0.2,0.24,263718,5
4.79,9.73,-0.52,0.87,0.2,0.24,263719,5
4.83,9.8,-0.65,0.88,0.2,0.23,263720,5
4.87,9.88,-0.77,0.89,0.2,0.22,263721,5
4.9,9.95,-0.89,0.9,0.2,0.22,263722,5
4.94,10.01,-1.02,0.9,0.2,0.21,263723,5
4.97,10.07,-1.15,0.9,0.2,0.2,263724,5
5.01,10.12,-1.29,0.89,0.2,0.2,263725,5
5.11,10.21,-1.73,0.82,0.2,0.18,263726,17
5.15,10.23,-1.86,0.79,0.2,0.18,263727,5
5.18,10.24,-1.97,0.77,0.2,0.17,263728,5
5.21,10.24,-2.08,0.74,0.2,0.16,263729,5
5.22,10.24,-2.19,0.71,0.2,0.15,263730,5
5.25,10.23,-2.31,0.68,0.2,0.14,263731,5
5.25,10.2,-2.42,0.64,0.2,0.13,263732,5
5.26,10.17,-2.51,0.61,0.2,0.12,263733,5
5.27,10.13,-2.61,0.56,0.2,0.1,263734,6
5.28,10.08,-2.7,0.52,0.19,0.09,263735,5
5.3,10.03,-2.79,0.46,0.18,0.08,263736,6
5.32,9.99,-2.88,0.41,0.18,0.07,263737,5
5.33,9.93,-2.96,0.35,0.17,0.06,263738,6
5.34,9.89,-3.02,0.3,0.16,0.04,263739,5
5.33,9.81,-3.07,0.25,0.16,0.03,263740,5
5.31,9.74,-3.13,0.2,0.15,0.01,263741,5
5.31,9.67,-3.16,0.16,0.13,0,263742,5
5.3,9.62,-3.19,0.12,0.12,-0.02,263743,5
5.29,9.55,-3.22,0.08,0.11,-0.04,263744,5
5.25,9.47,-3.24,0.05,0.09,-0.07,263745,5
5.23,9.39,-3.25,0.02,0.07,-0.09,263746,5
5.2,9.32,-3.26,-0.01,0.05,-0.11,263747,5
5.17,9.27,-3.25,-0.04,0.02,-0.14,263748,5
5.13,9.2,-3.26,-0.06,0,-0.17,263749,5
5.08,9.14,-3.26,-0.09,-0.02,-0.2,263750,5
5.04,9.08,-3.25,-0.12,-0.05,-0.23,263751,5
4.99,9.02,-3.23,-0.14,-0.07,-0.26,263752,5
4.92,8.97,-3.22,-0.16,-0.09,-0.28,263753,5
4.85,8.92,-3.2,-0.18,-0.12,-0.31,263754,5
4.78,8.87,-3.19,-0.2,-0.14,-0.34,263755,5
4.71,8.82,-3.16,-0.22,-0.17,-0.36,263756,5
4.62,8.77,-3.13,-0.23,-0.19,-0.39,263757,5
4.53,8.71,-3.1,-0.25,-0.22,-0.41,263758,5
4.44,8.66,-3.07,-0.26,-0.25,-0.44,263759,5
4.36,8.6,-3.03,-0.28,-0.27,-0.46,263760,5
4.26,8.55,-3,-0.29,-0.3,-0.48,263761,5
4.17,8.5,-2.97,-0.3,-0.33,-0.5,263762,5
4.06,8.45,-2.93,-0.31,-0.36,-0.52,263763,5
3.96,8.41,-2.89,-0.32,-0.38,-0.54,263764,5
3.87,8.37,-2.86,-0.33,-0.41,-0.55,263765,5
3.77,8.32,-2.82,-0.35,-0.43,-0.56,263766,5
3.68,8.29,-2.78,-0.36,-0.45,-0.57,263767,5
3.57,8.23,-2.73,-0.38,-0.48,-0.58,263768,6
3.48,8.19,-2.68,-0.4,-0.5,-0.58,263769,5
3.39,8.15,-2.65,-0.42,-0.52,-0.58,263770,5
3.28,8.1,-2.61,-0.44,-0.53,-0.58,263771,5
3.2,8.07,-2.56,-0.46,-0.55,-0.57,263772,5
3.11,8.03,-2.51,-0.47,-0.57,-0.57,263773,5
3.02,7.99,-2.47,-0.49,-0.59,-0.56,263774,5
2.94,7.96,-2.43,-0.51,-0.6,-0.55,263775,5
2.86,7.93,-2.39,-0.52,-0.62,-0.53,263776,5
2.79,7.91,-2.35,-0.53,-0.64,-0.52,263777,5
2.72,7.87,-2.31,-0.54,-0.66,-0.5,263778,5
2.66,7.83,-2.26,-0.54,-0.68,-0.48,263779,5
2.61,7.81,-2.21,-0.54,-0.7,-0.46,263780,5
2.57,7.8,-2.15,-0.54,-0.72,-0.44,263781,5
2.52,7.78,-2.1,-0.53,-0.74,-0.42,263782,5
2.49,7.78,-2.04,-0.52,-0.76,-0.39,263783,5
2.48,7.77,-1.96,-0.5,-0.78,-0.36,263784,6
2.46,7.77,-1.89,-0.48,-0.8,-0.34,263785,5
2.45,7.77,-1.82,-0.47,-0.81,-0.31,263786,5
2.45,7.79,-1.75,-0.44,-0.83,-0.29,263787,5
3.09,7.95,-1.69,-0.42,0.02,-0.19,263788,791
3.03,7.89,-1.63,-0.43,0.01,-0.18,263789,5
2.97,7.82,-1.58,-0.44,0.01,-0.17,263790,5
2.91,7.77,-1.52,-0.44,0,-0.16,263791,5
2.86,7.71,-1.46,-0.44,0,-0.14,263792,5
3.29,8.62,-0.53,-0.3,-0.38,0.04,263793,625
3.3,8.67,-0.48,-0.27,-0.36,0.05,263794,5
3.33,8.73,-0.42,-0.24,-0.34,0.05,263795,6
3.34,8.75,-0.37,-0.21,-0.33,0.04,263796,5
3.37,8.77,-0.34,-0.18,-0.31,0.04,263797,5
3.41,8.81,-0.31,-0.15,-0.3,0.05,263798,5
3.46,8.88,-0.26,-0.12,-0.29,0.05,263799,5
3.52,8.93,-0.23,-0.1,-0.27,0.04,263800,5
3.56,8.97,-0.21,-0.08,-0.25,0.04,263801,5
3.62,9.01,-0.18,-0.06,-0.23,0.04,263802,5
3.68,9.04,-0.16,-0.03,-0.21,0.04,263803,5
3.73,9.07,-0.14,-0.01,-0.19,0.04,263804,5
3.8,9.1,-0.12,0.02,-0.17,0.04,263805,6
3.87,9.14,-0.11,0.04,-0.15,0.03,263806,5
3.94,9.17,-0.1,0.07,-0.13,0.03,263807,5
4.01,9.2,-0.1,0.09,-0.1,0.02,263808,5
4.08,9.22,-0.1,0.12,-0.08,0.01,263809,5
4.16,9.24,-0.09,0.14,-0.05,0.01,263810,5
4.23,9.26,-0.1,0.16,-0.02,0,263811,5
