ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.13726,-3.20606,0.066992,9.68363,15.1964
9.14683,-3.22041,0.090918,9.69762,15.3138
9.17075,-3.20606,0.100488,9.71553,15.4322
9.21143,-3.17256,0.117236,9.74316,15.5499
9.26406,-3.12231,0.126807,9.7769,15.6652
9.31909,-3.06011,0.119629,9.80939,15.7759
9.37891,-2.99311,0.136377,9.84587,15.8799
9.45308,-2.92373,0.129199,9.89573,15.9747
9.5105,-2.86631,0.110059,9.93365,16.0582
9.55117,-2.81128,0.071777,9.95657,16.1282
9.58945,-2.78018,0.016748,9.98435,16.1831
9.64209,-2.77061,-0.052637,10.0324,16.2216
9.66841,-2.76343,-0.119629,10.0563,16.2427
9.68994,-2.773,-0.191406,10.0807,16.2459
9.69951,-2.79214,-0.265576,10.0969,16.2309
9.70908,-2.81606,-0.339746,10.1149,16.1978
9.71387,-2.85195,-0.421094,10.1326,16.1471
9.71626,-2.89023,-0.488086,10.1488,16.0797
9.72105,-2.92612,-0.562256,10.1675,15.9968
9.72583,-2.9644,-0.631641,10.1872,15.9002
9.72583,-3.00029,-0.693848,10.2017,15.7914
9.72583,-3.04575,-0.746484,10.2189,15.6728
9.71865,-3.09121,-0.772803,10.2277,15.5467
9.70669,-3.13906,-0.775195,10.2311,15.4156
9.69473,-3.18691,-0.775195,10.2345,15.2824
9.67319,-3.24194,-0.77041,10.2311,15.1497
9.64448,-3.30176,-0.763232,10.2225,15.0201
9.60859,-3.35918,-0.748877,10.2064,14.8955
9.5751,-3.42139,-0.732129,10.1943,14.7778
9.54639,-3.46924,-0.712988,10.1822,14.6682
9.50571,-3.52188,-0.708203,10.1619,14.5679
9.4794,-3.56255,-0.684277,10.1498,14.4779
9.45308,-3.6104,-0.669922,10.1412,14.3993
9.4124,-3.64629,-0.645996,10.1146,14.3333
9.37651,-3.67739,-0.6125,10.0905,14.2811
9.34302,-3.70371,-0.583789,10.0673,14.2438
9.30713,-3.7396,-0.557471,10.0458,14.2225
9.26885,-3.76113,-0.52876,10.0168,14.2177
9.22817,-3.78267,-0.488086,9.98529,14.2297
9.19468,-3.79941,-0.461768,9.95946,14.2581
9.154,-3.81616,-0.430664,9.92695,14.3022
9.12769,-3.8377,-0.397168,9.90961,14.3606
9.11811,-3.8377,-0.366064,9.89959,14.4318
9.11094,-3.81616,-0.342139,9.88379,14.514
9.12769,-3.78027,-0.330176,9.88505,14.6054
9.14204,-3.73721,-0.313428,9.88139,14.7044
9.16597,-3.7085,-0.299072,9.89229,14.8096
9.19946,-3.66065,-0.287109,9.90519,14.9198
9.24253,-3.61279,-0.277539,9.92742,15.0337
9.29277,-3.56016,-0.263184,9.95488,15.15
9.33345,-3.49795,-0.239258,9.97026,15.267
9.37173,-3.45249,-0.212939,9.98971,15.3829
9.40044,-3.40703,-0.186621,10.0005,15.4957
9.42915,-3.34961,-0.172266,10.0079,15.6034
9.46265,-3.30176,-0.181836,10.0238,15.7041
9.49854,-3.26108,-0.210547,10.045,15.7962
9.51289,-3.22998,-0.265576,10.0498,15.8786
9.52725,-3.21323,-0.330176,10.0599,15.9503
9.53682,-3.22519,-0.397168,10.0752,16.011
9.53442,-3.26348,-0.471338,10.0885,16.0605
9.52246,-3.32568,-0.543115,10.1011,16.099
9.51528,-3.39268,-0.605322,10.1201,16.1266
9.49614,-3.48599,-0.662744,10.1375,16.1432
9.48179,-3.58408,-0.722559,10.1623,16.1492
9.47222,-3.675,-0.765625,10.189,16.145
9.45786,-3.75874,-0.794336,10.2083,16.1309
9.45308,-3.82573,-0.820654,10.2309,16.1077
9.44111,-3.87119,-0.83501,10.2381,16.0762
9.4459,-3.89512,-0.832617,10.2514,16.0366
9.45068,-3.90708,-0.815869,10.259,15.9894
9.46743,-3.91426,-0.796729,10.2756,15.9346
9.48418,-3.8999,-0.772803,10.2838,15.8723
9.49854,-3.8688,-0.734521,10.2825,15.8024
9.51289,-3.8353,-0.689063,10.2801,15.7256
9.54399,-3.79224,-0.631641,10.2892,15.6423
9.56792,-3.73481,-0.571826,10.2869,15.5536
9.59902,-3.67261,-0.512012,10.2904,15.4605
9.63491,-3.60083,-0.442627,10.2953,15.3642
9.67559,-3.52666,-0.38042,10.3053,15.2657
