ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.18271,-3.15103,-0.782373,9.73978,15.7064
9.26646,-3.27305,-0.784766,9.8588,15.7705
9.36216,-3.42856,-0.808691,10.003,15.8316
9.45068,-3.60083,-0.873291,10.1511,15.8878
9.5416,-3.74917,-0.978564,10.2984,15.9379
9.63013,-3.86401,-1.11973,10.4367,15.9815
9.72583,-3.94297,-1.29438,10.5742,16.019
9.81914,-4.00278,-1.48579,10.7073,16.051
9.89092,-4.04585,-1.67481,10.8168,16.0781
9.95073,-4.08174,-1.89731,10.9214,16.1009
9.99858,-4.10566,-2.13179,11.0169,16.1189
10.0321,-4.1272,-2.36387,11.1024,16.1313
10.0464,-4.14873,-2.59595,11.1751,16.1368
10.0369,-4.16069,-2.82564,11.2265,16.1342
10.0177,-4.17505,-3.06489,11.2774,16.1222
9.99858,-4.1894,-3.25391,11.3186,16.1001
9.96509,-4.21094,-3.42617,11.3478,16.0678
9.91724,-4.24443,-3.56973,11.3626,16.0256
9.86938,-4.29228,-3.68218,11.3748,15.9747
9.81675,-4.34253,-3.73242,11.3647,15.9163
9.75215,-4.3832,-3.73721,11.3262,15.8518
9.7019,-4.41431,-3.69175,11.2802,15.7824
9.66123,-4.4167,-3.60083,11.2166,15.709
9.62773,-4.40234,-3.47642,11.1427,15.6318
9.59902,-4.36885,-3.30654,11.0527,15.5505
9.5751,-4.32817,-3.10317,10.9565,15.4646
9.55356,-4.24922,-2.87827,10.8449,15.3732
9.55835,-4.13677,-2.65098,10.7472,15.2756
9.57749,-4.00039,-2.4165,10.657,15.1714
9.58945,-3.87837,-2.17485,10.5702,15.0601
9.60142,-3.78745,-1.94038,10.5022,14.9419
9.60859,-3.68696,-1.69634,10.4305,14.8172
9.63013,-3.5769,-1.46426,10.3768,14.6868
9.66362,-3.44531,-1.25132,10.3355,14.5521
9.69233,-3.30654,-1.05273,10.2948,14.4148
9.72344,-3.18213,-0.873291,10.2681,14.2768
