ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.36934,-3.7061,-1.33506,10.1638,14.9657
9.3478,-3.68935,-1.19629,10.1205,14.9201
9.35259,-3.66304,-1.05991,10.1001,14.8802
9.30952,-3.60801,-0.906787,10.0253,14.8467
9.30234,-3.5458,-0.756055,9.98388,14.8205
9.30952,-3.49795,-0.624463,9.96458,14.8017
9.27363,-3.40942,-0.507227,9.89352,14.79
9.24492,-3.30415,-0.416309,9.82646,14.7845
9.26167,-3.20366,-0.342139,9.80607,14.7835
9.29038,-3.0936,-0.301465,9.79655,14.7849
9.2856,-2.9668,-0.267969,9.75172,14.7864
9.29277,-2.81128,-0.217725,9.71115,14.7858
9.35498,-2.6438,-0.153125,9.72259,14.7811
9.41001,-2.51939,-0.110059,9.74206,14.771
9.41958,-2.33037,-0.07417,9.70385,14.7545
9.42197,-2.15571,-0.050244,9.66557,14.7311
9.51289,-2.02651,-0.023926,9.72638,14.7012
9.57988,-1.90688,0.014355,9.76783,14.6655
9.61338,-1.80879,0.086133,9.78244,14.6252
9.65166,-1.74658,0.172266,9.80993,14.5817
9.63491,-1.70352,0.244043,9.78739,14.5361
9.66841,-1.58389,0.330176,9.80285,14.4895
9.72822,-1.35659,0.459375,9.83309,14.4423
9.74976,-1.16519,0.605322,9.83778,14.3947
9.53682,-0.887646,0.772803,9.60916,14.3468
9.45547,-0.712988,0.911572,9.52603,14.2985
9.45308,-0.62207,1.0312,9.52948,14.2499
9.31191,-0.483301,1.17715,9.39846,14.2011
9.19468,-0.423486,1.30874,9.297,14.1522
9.0894,-0.303857,1.45229,9.20971,14.1032
8.99609,-0.107666,1.58867,9.13593,14.0543
8.93628,0.090918,1.71069,9.099,14.0056
8.87646,0.23208,1.83032,9.06618,13.9573
8.85493,0.318213,1.94517,9.07165,13.9099
8.81904,0.490479,2.10068,9.07904,13.8636
8.87886,0.593359,2.24663,9.17788,13.8191
8.83818,0.509619,2.40454,9.1736,13.7768
8.60132,0.313428,2.51939,8.96818,13.7371
8.41709,0.069385,2.5792,8.80366,13.7003
8.44819,-0.181836,2.58877,8.8378,13.6668
8.52236,-0.418701,2.57202,8.91186,13.637
8.48408,-0.614893,2.55049,8.88047,13.6113
8.4123,-0.815869,2.49785,8.81316,13.5909
8.44819,-1.00727,2.44282,8.85178,13.5769
8.5439,-1.22739,2.38779,8.95579,13.5708
8.59175,-1.45947,2.34473,9.02474,13.5743
8.54629,-1.68198,2.29209,9.00676,13.589
8.57261,-1.9021,2.22988,9.0598,13.6162
8.64917,-2.127,2.15093,9.1629,13.6568
8.69224,-2.33755,2.06958,9.23592,13.7113
8.68984,-2.51939,1.98345,9.26254,13.7795
8.7353,-2.71558,1.88057,9.33897,13.8604
8.82383,-2.89741,1.77769,9.45596,13.9526
8.88125,-3.03379,1.6772,9.53381,14.0542
8.97456,-3.11992,1.56953,9.63016,14.1631
9.05112,-3.20845,1.46186,9.7136,14.2773
9.13486,-3.29458,1.34941,9.80413,14.3952
9.20425,-3.38071,1.24175,9.88379,14.5156
9.28799,-3.45249,1.13169,9.97332,14.6377
9.40283,-3.49795,1.01685,10.0838,14.7613
9.48897,-3.48599,0.899609,10.149,14.8864
9.58945,-3.43813,0.796729,10.2183,15.0136
9.68994,-3.38789,0.681885,10.2877,15.1436
9.78086,-3.34243,0.557471,10.3512,15.277
9.82393,-3.32568,0.423486,10.3802,15.4145
9.8957,-3.3209,0.272754,10.4416,15.5561
9.95313,-3.34482,0.110059,10.5007,15.7014
10.001,-3.33525,-0.043066,10.5425,15.8495
10.0464,-3.31133,-0.191406,10.5798,15.9987
10.0943,-3.28501,-0.349316,10.6211,16.1471
10.1589,-3.22519,-0.509619,10.6707,16.2928
10.1828,-3.17495,-0.691455,10.6887,16.4337
10.2283,-3.20606,-0.885254,10.7555,16.568
10.2522,-3.26348,-1.03599,10.8088,16.6943
10.2283,-3.33525,-1.1939,10.8244,16.8118
10.2546,-3.43335,-1.34463,10.8974,16.9199
10.2689,-3.49316,-1.48101,10.9475,17.0186
10.1876,-3.58648,-1.60781,10.9195,17.1081
10.2307,-3.73003,-1.72744,11.0256,17.1889
10.1876,-3.85205,-1.84946,11.0474,17.2613
10.111,-3.93579,-1.95952,11.0256,17.3251
10.0728,-4.0937,-2.04805,11.0641,17.3792
10.0417,-4.23965,-2.11025,11.1024,17.4221
9.98184,-4.33774,-2.15093,11.0941,17.4516
9.94116,-4.45019,-2.17246,11.1063,17.4658
9.91963,-4.53394,-2.19878,11.1261,17.4634
9.8981,-4.55547,-2.20596,11.1171,17.4441
9.85981,-4.55786,-2.20596,11.0841,17.4088
9.81196,-4.58657,-2.18442,11.0491,17.3592
9.77368,-4.64639,-2.18203,11.0397,17.2976
9.7043,-4.68227,-2.18682,10.9945,17.2266
9.65884,-4.68945,-2.19399,10.9589,17.149
9.61338,-4.67031,-2.21074,10.914,17.0672
9.5727,-4.62485,-2.2251,10.8617,16.9832
9.54878,-4.56025,-2.22988,10.8142,16.8978
9.51768,-4.4813,-2.24424,10.7566,16.8107
9.52007,-4.39038,-2.25381,10.7232,16.721
9.49854,-4.30185,-2.25381,10.6681,16.6281
9.46504,-4.21094,-2.27773,10.6069,16.5326
9.47461,-4.12481,-2.2873,10.5837,16.4363
9.48179,-4.04585,-2.29688,10.5617,16.3419
9.4459,-3.95972,-2.31123,10.4998,16.2521
9.44111,-3.89512,-2.31841,10.4729,16.1684
9.45547,-3.84009,-2.32798,10.4676,16.0917
9.43394,-3.78984,-2.33516,10.4314,16.0218
9.40762,-3.74199,-2.34233,10.3919,15.9593
9.41958,-3.71328,-2.34473,10.393,15.9057
9.37651,-3.67978,-2.31602,10.3356,15.8639
9.36216,-3.6415,-2.27534,10.2999,15.8373
9.35498,-3.62236,-2.23945,10.2787,15.8279
