ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.29517,-3.53862,-0.289502,9.95017,15.2038
9.30952,-3.52427,-0.289502,9.95849,15.2105
9.32627,-3.5147,-0.299072,9.97105,15.216
9.34062,-3.50273,-0.308643,9.98057,15.22
9.36934,-3.48838,-0.322998,10.0029,15.2227
9.38608,-3.4812,-0.332568,10.0164,15.2242
9.40283,-3.47881,-0.351709,10.0319,15.2246
9.42197,-3.47402,-0.356494,10.0484,15.2242
9.4459,-3.46445,-0.366064,10.0678,15.2231
9.45786,-3.45967,-0.392383,10.0784,15.2213
9.4794,-3.45249,-0.409131,10.0968,15.2188
9.49614,-3.43813,-0.421094,10.1082,15.2154
9.52246,-3.43574,-0.425879,10.1323,15.2109
9.53203,-3.43574,-0.440234,10.1419,15.2055
9.54878,-3.42856,-0.459375,10.156,15.1993
9.56314,-3.42617,-0.47373,10.1694,15.1923
9.57988,-3.42139,-0.480908,10.1839,15.1848
9.59663,-3.42139,-0.490479,10.2001,15.1769
9.59902,-3.41421,-0.500049,10.2004,15.1688
9.61338,-3.40942,-0.497656,10.2122,15.1605
9.62056,-3.4166,-0.495264,10.2212,15.152
9.62773,-3.4166,-0.516797,10.2291,15.1433
9.62534,-3.41899,-0.526367,10.2281,15.1346
9.62295,-3.4166,-0.52876,10.2252,15.1258
9.62534,-3.41899,-0.521582,10.2278,15.1174
9.62295,-3.42617,-0.521582,10.228,15.1095
9.61338,-3.41899,-0.521582,10.2166,15.1022
9.60381,-3.42378,-0.523975,10.2093,15.0956
9.59663,-3.42856,-0.531152,10.2045,15.0897
9.58227,-3.43574,-0.523975,10.1931,15.0843
9.56792,-3.44053,-0.521582,10.1811,15.0792
9.54878,-3.44771,-0.521582,10.1655,15.0743
9.53682,-3.46206,-0.519189,10.1591,15.0696
9.52485,-3.46685,-0.516797,10.1493,15.065
9.50571,-3.47402,-0.507227,10.1333,15.0608
9.49136,-3.47642,-0.502441,10.1205,15.0574
9.48418,-3.47881,-0.488086,10.1139,15.0551
9.46504,-3.48838,-0.468945,10.0983,15.0541
9.45308,-3.49556,-0.461768,10.0892,15.0546
9.43872,-3.50273,-0.44502,10.0775,15.0565
9.42915,-3.50273,-0.447412,10.0687,15.0598
9.41001,-3.50273,-0.442627,10.0505,15.0641
9.39565,-3.50513,-0.435449,10.0376,15.0692
9.38848,-3.50273,-0.433057,10.03,15.075
9.37651,-3.50273,-0.418701,10.0182,15.0811
9.36934,-3.50034,-0.416309,10.0105,15.0876
9.36694,-3.49556,-0.411523,10.0064,15.0946
9.36694,-3.48359,-0.411523,10.0022,15.1024
9.36694,-3.4812,-0.413916,10.0015,15.1111
9.36455,-3.47402,-0.409131,9.99655,15.121
9.36694,-3.46445,-0.413916,9.99567,15.1322
9.36934,-3.45967,-0.406738,9.99596,15.1445
9.36934,-3.44771,-0.409131,9.99192,15.1577
9.37173,-3.44292,-0.406738,9.99242,15.1717
9.37651,-3.43335,-0.404346,9.99352,15.1863
9.3813,-3.42617,-0.394775,9.99516,15.2011
9.38608,-3.4166,-0.385205,9.99601,15.216
9.40283,-3.40942,-0.394775,10.0097,15.2308
9.41479,-3.40225,-0.394775,10.0185,15.245
9.41958,-3.39268,-0.406738,10.0202,15.2583
9.43394,-3.38311,-0.411523,10.0306,15.2704
9.44351,-3.37593,-0.413916,10.0373,15.281
