ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.07505,-1.90449,-3.68218,9.97707,9.28204
9.21621,-1.65806,-3.59365,10.0301,9.79538
9.40044,-1.44512,-3.53384,10.1462,10.0978
9.58467,-1.26807,-3.50752,10.2848,10.1644
9.69473,-1.10776,-3.45249,10.3506,10.0041
9.82393,-0.985742,-3.43574,10.454,9.574
9.93398,-0.885254,-3.42617,10.5454,8.89598
9.98184,-0.806299,-3.39746,10.575,8.08149
10.0464,-0.789551,-3.41899,10.6416,7.19184
10.0751,-0.837402,-3.42856,10.6754,6.25257
10.068,-1.02402,-3.37832,10.6689,5.25294
10.1158,-1.17476,-3.37593,10.7288,4.19813
10.1374,-1.1915,-3.3855,10.7539,3.15059
10.178,-1.16758,-3.38071,10.7882,2.13483
10.2666,-1.13647,-3.36157,10.8625,1.20334
10.3048,-1.11255,-3.30894,10.8801,0.481369
10.3024,-1.16758,-3.23955,10.8627,0.066688
10.2881,-1.28003,-3.17495,10.8427,0.044603
10.2235,-1.42119,-3.09121,10.7747,0.479526
10.1541,-1.62217,-2.9979,10.711,1.3205
10.111,-1.81597,-2.9333,10.6834,2.40686
10.0488,-1.97627,-2.86631,10.6349,3.51617
9.96987,-2.13418,-2.80171,10.5737,4.44137
9.91484,-2.2897,-2.75386,10.5418,5.05957
9.85503,-2.42129,-2.71558,10.5052,5.34689
9.7665,-2.53374,-2.67969,10.4396,5.36453
9.80957,-2.62944,-2.70361,10.5096,5.18834
10.1661,-2.75625,-2.88066,10.9199,4.84059
10.4604,-2.88545,-3.0625,11.2749,4.31961
10.2857,-2.92612,-3.07446,11.127,3.70795
9.91724,-2.91894,-3.01226,10.7678,3.12901
9.7354,-2.93809,-2.99551,10.6011,2.67231
9.52485,-2.92373,-2.94766,10.3904,2.40867
9.16836,-2.85195,-2.8376,10.0122,2.36677
9.00806,-2.79453,-2.79453,9.83686,2.50706
8.96499,-2.72036,-2.79932,9.77791,2.76819
8.80947,-2.58398,-2.78018,9.59235,3.11464
8.66831,-2.42607,-2.79214,9.42451,3.45918
8.59893,-2.27773,-2.87349,9.34808,3.62963
8.48887,-2.11265,-2.93809,9.22803,3.53626
8.37881,-1.94517,-3.029,9.11937,3.20619
8.37163,-1.83032,-3.15342,9.13117,2.6632
8.4793,-1.78726,-3.31133,9.27673,1.9675
8.65635,-1.82315,-3.45249,9.4961,1.24707
8.85254,-1.90688,-3.58887,9.74082,0.621924
9.01523,-2.01934,-3.67739,9.94361,0.192155
9.24971,-2.15093,-3.79463,10.2266,0.009887
9.53682,-2.29209,-3.89512,10.5535,0.043698
9.65405,-2.36147,-3.88555,10.6712,0.233628
9.62773,-2.34951,-3.76831,10.6025,0.529335
9.62056,-2.32319,-3.6415,10.5458,0.914872
9.53203,-2.27295,-3.44292,10.3865,1.38957
9.35737,-2.23706,-3.17017,10.1299,1.90422
9.23535,-2.24663,-2.93091,9.94632,2.41485
9.21621,-2.30645,-2.72754,9.88421,2.94076
9.08462,-2.31362,-2.50024,9.70229,3.46429
8.90518,-2.29209,-2.26577,9.47046,4.00292
8.83579,-2.28252,-2.0959,9.36343,4.6179
8.85015,-2.29209,-1.96431,9.35079,5.20358
8.89321,-2.3208,-1.89253,9.38387,5.67009
9.03438,-2.33994,-1.84946,9.51398,6.12957
9.22817,-2.3208,-1.82075,9.68816,6.55373
9.31909,-2.22988,-1.74419,9.73961,6.79
9.35498,-2.07676,-1.62456,9.71945,6.85644
9.49614,-1.9356,-1.56235,9.81653,6.76136
9.60142,-1.75615,-1.50972,9.87677,6.4428
9.60142,-1.5456,-1.45708,9.83357,5.94921
9.72822,-1.44751,-1.47861,9.94585,5.30642
10.0034,-1.40205,-1.5791,10.2238,4.52913
10.0536,-1.23696,-1.62217,10.2585,3.73357
9.89331,-1.03838,-1.56953,10.0707,2.95493
9.8646,-0.892432,-1.55278,10.0259,2.16778
10.1062,-0.856543,-1.59346,10.2669,1.45144
10.2474,-0.897217,-1.56235,10.4046,0.871289
10.1158,-0.980957,-1.43555,10.2642,0.431323
10.0393,-1.11494,-1.34941,10.1907,0.147723
10.1565,-1.31113,-1.29917,10.3229,0.015128
10.2546,-1.43555,-1.22022,10.4262,0.017109
10.2091,-1.4834,-1.07427,10.3721,0.135186
10.1685,-1.53843,-0.911572,10.3245,0.330771
10.1996,-1.65566,-0.765625,10.3614,0.563109
10.2091,-1.78965,-0.598145,10.382,0.799448
10.1637,-1.93799,-0.411523,10.355,0.990935
10.1541,-2.10547,-0.246436,10.373,1.09246
10.178,-2.28252,-0.124414,10.4316,1.11386
10.1876,-2.46675,-0.071777,10.4822,1.09233
10.1732,-2.6103,-0.078955,10.5031,1.06343
